path	size_bytes	sha256
supplementary_data/README.md	726	3ee239de7a9a4a8c8314fbdfb0acee9a5523756e491eee0fc1b959efceeef91f
supplementary_data/S_cellline_group_tumour_rankings.tsv	5476804	ef959c89e451c4b998c35ffbddc6a008697cbf220cbf50cf74394658c2a0d4c9
supplementary_data/archive/stale_171_gene_panel/README.md	273	76e65b449356cbea3f00938f0dbcc289638cf2a47f8ce81640959ba2d56c55af
supplementary_data/component_composition/all_top50_component_composition.tsv	7491	72cff265079a88e13f5c8dc6212adb8a46958aff75267024a8c5c34094eedf7a
supplementary_data/component_composition/same_cancer_top50_component_composition.tsv	7697	bfd34910ec62dd128f4730b3f20e508d7f9e87354d44f3cc25bf0aa28156b5d5
supplementary_data/data_description/README.md	2951	2536fc2bd1ca7ce09a98ec815778b7c556a2f6bd753ad98bc4a3156392ea55de
supplementary_data/data_description/analysis_input_files.tsv	3907	840b82d11f561e575c86ee71bff081da1618ba400d9a4d28539df120ba29307e
supplementary_data/data_description/cell_line_sample_ids_by_cohort.tsv	11081	a720df741268c16393e6877037cbae4e668f141f59b4ae2647dafd5602884c11
supplementary_data/data_description/data_availability_statement.md	697	8f44a701072a68003751203e5ad58f1257b0ff99a2f221eb79a0260bb4522f4f
supplementary_data/data_description/dsmz_167_cell_line_ids.tsv	19291	cfc997920f5363171e2a038e3103826858086211d7db231ccc0914bd8131e8e0
supplementary_data/data_description/dsmz_167_cell_line_metadata.tsv	48532	940c8e2302356f1309d612b5f3010fd810d2f414270a91030f41e0bf685802fd
supplementary_data/data_description/dsmz_rbl_cell_line_subset.tsv	3339	bc947ab837fcb58ae6ec5f7a957567653c31615a21ad02dc660e8b6edd54a498
supplementary_data/data_description/excluded_or_not_available_sources.tsv	650	1fe352baa05aebd1aa06153cd107d9f3a5fdf8e7a0881f9ffe2599384a6f31f6
supplementary_data/data_description/processing_summary.md	754	a78204851833db251831e5dcce9f3ec9dbdb742905f350d2f3b95aa4d629e79b
supplementary_data/data_description/reproducibility_checksums.tsv	3117	02fb91fd3193ee13bfa13807794ac34e2b42f598ea4b76d99aec9527128396dd
supplementary_data/data_description/tumour_purity_passed_sample_ids.tsv	134157	f327697d0f01359aa1d737993bec377da60e36436fc8931bd7df004749c11f58
supplementary_data/enrichment/ranked_marker_source_panel_enrichment_background_manifest.tsv	10178	4e87fbab68d92c740e47310f99ec7e40835a0fc06a252d55b48db4b16234309e
supplementary_data/enrichment/ranked_marker_source_panel_enrichment_query_manifest.tsv	113502	98b6073d5ce9d42c777168605f6e9cbbc3e266752be7bc36b3568c25666c9d20
