sample_id,organ,sample_name,Cell_Line,group1,group2,Disease,Origin,Stage,Primary.Metastatic,MYCN.amplification
NG-A2798_CCLF_PEDS_0051_T_libLAI2540,Adrenal/SNS,NG-A2798_CCLF_PEDS_0051_T_libLAI2540,CCLF_PEDS_0051_T,Nb2,Neuroblastoma,Neuroblastoma,pleural cavity,NONE,NONE,No
NG-A0611_CHP126_libLAB6088,Adrenal/SNS,NG-A0611_CHP126_libLAB6088,CHP-126,Nb1,Neuroblastoma,Neuroblastoma,abdomen,NONE,NONE,Yes
NG-A0611_CHP134_libLAB6074,Adrenal/SNS,NG-A0611_CHP134_libLAB6074,CHP-134,Nb1,Neuroblastoma,Neuroblastoma,adrenal gland,NONE,NONE,Yes
NG-A0611_GIMEN_libLAB6073,Adrenal/SNS,NG-A0611_GIMEN_libLAB6073,GI-ME-N,Nb2,Neuroblastoma,Neuroblastoma,bone marrow,NONE,NONE,No
NG-A0611_IMR32_libLAB6079,Adrenal/SNS,NG-A0611_IMR32_libLAB6079,IMR-32,Nb1,Neuroblastoma,Neuroblastoma,abdomen,NONE,NONE,Yes
NG-A0611_KELLY_libLAB6075,Adrenal/SNS,NG-A0611_KELLY_libLAB6075,KELLY,Nb1,Neuroblastoma,Neuroblastoma,brain,NONE,NONE,Yes
NG-A0611_LAN1_libLAB6085,Adrenal/SNS,NG-A0611_LAN1_libLAB6085,LAN-1,Nb1,Neuroblastoma,Neuroblastoma,bone marrow,NONE,NONE,Yes
NG-A0611_LAN2_libLAB6083,Adrenal/SNS,NG-A0611_LAN2_libLAB6083,LAN-2,Nb2,Neuroblastoma,Neuroblastoma,primary tumour,NONE,NONE,Yes
NG-A0611_LAN5_libLAB6087,Adrenal/SNS,NG-A0611_LAN5_libLAB6087,LAN-5,Nb1,Neuroblastoma,Neuroblastoma,bone marrow,NONE,NONE,Yes
NG-A0611_LAN6_libLAB6089,Adrenal/SNS,NG-A0611_LAN6_libLAB6089,LAN-6,Nb2,Neuroblastoma,Neuroblastoma,bone marrow,NONE,NONE,No
NG-A0611_LS_libLAB6078,Adrenal/SNS,NG-A0611_LS_libLAB6078,LS,Nb1,Neuroblastoma,Neuroblastoma,abdomen,NONE,NONE,Yes
NG-A0611_MHHNB11_libLAB6084,Adrenal/SNS,NG-A0611_MHHNB11_libLAB6084,MHH-NB-11,Nb2,Neuroblastoma,Neuroblastoma,adrenal gland,NONE,NONE,Yes
NG-A0611_NBLS_libLAB6077,Adrenal/SNS,NG-A0611_NBLS_libLAB6077,NBL-S,Nb2,Neuroblastoma,Neuroblastoma,adrenal gland,NONE,NONE,No
NG-A0611_NGP_libLAB6082,Adrenal/SNS,NG-A0611_NGP_libLAB6082,NGP,Nb1,Neuroblastoma,Neuroblastoma,lung,NONE,NONE,Yes
NG-A0611_NMB_libLAB6080,Adrenal/SNS,NG-A0611_NMB_libLAB6080,NMB,Nb1,Neuroblastoma,Neuroblastoma,bone marrow,NONE,NONE,Yes
NG-A0611_SHSY5Y_libLAB6081,Adrenal/SNS,NG-A0611_SHSY5Y_libLAB6081,SH-SY5Y,Nb2,Neuroblastoma,Neuroblastoma,bone marrow,NONE,NONE,No
NG-A0611_SIMA_libLAB6086,Adrenal/SNS,NG-A0611_SIMA_libLAB6086,SIMA,Nb2,Neuroblastoma,Neuroblastoma,adrenal gland,NONE,NONE,Yes
NG-A0611_SKNBE2_libLAB6076,Adrenal/SNS,NG-A0611_SKNBE2_libLAB6076,SK-N-BE-2,Nb1,Neuroblastoma,Neuroblastoma,NONE,NONE,NONE,NONE
NG-29643_CAL_120_lib581301_8005_3,Breast,NG-29643_CAL_120_lib581301_8005_3,CAL-120,Breast adenocarcinoma,Breast cancer,Breast cancer,Breast adenocarcinoma,invasive,M,NONE
