id	filename	md5	size	state
8a9bd3b2-504d-428e-b0bb-efe3f13ef748	3339d3ad-0ace-4e90-80c4-13aa9ffb0617.rna_seq.augmented_star_gene_counts.tsv	7eba772d05a3413a8556f63d124e2baa	4260863	released
a95056ea-3968-4b0a-b6f6-24d3cb1d00d6	b0a13a47-8b26-4ee7-bfed-3c9f9256a1b7.rna_seq.augmented_star_gene_counts.tsv	72d86b7a8b2e7bddef155f1f85f54c5c	4266420	released
2669e096-ea0e-42fd-81bd-a3d3eabf1cf0	ea5a9230-d394-46c8-a6bd-cd1857082394.rna_seq.augmented_star_gene_counts.tsv	53d83786cff94f69c1ee6312ef86746e	4248595	released
9f310f91-dfc9-4b34-857d-881ddfbd5f88	95d793e9-faa2-46e7-a69e-945df363f30f.rna_seq.augmented_star_gene_counts.tsv	14d9cd586611791f44c941e3f6ab4ab9	4275252	released
955e62d8-cc8b-4e13-8ccd-ad1eac1a58e0	2315361e-9278-4358-bd5d-f1f91349ee1f.rna_seq.augmented_star_gene_counts.tsv	b67c772e9a63124a4a1642fc02e30d9a	4263160	released
a86a8c27-4004-4ed9-972b-21e6233b0053	f905cbd1-1180-4905-aef0-214af85c6afd.rna_seq.augmented_star_gene_counts.tsv	9a9fac2afcc0c2b20f3f8ed03d9ddd0c	4253651	released
8049ef59-40de-4857-8717-a4e5f2b3f354	eeb86ed2-1432-4f6c-8f54-b4f326d27427.rna_seq.augmented_star_gene_counts.tsv	8938c8638407334acbb634e411ab7774	4258020	released
fd82a48e-1ee6-4deb-bd56-92697d1db784	56070314-9966-4ce5-89cf-4eb50992b5ed.rna_seq.augmented_star_gene_counts.tsv	9da3a93ba348c16dc82e0722b038b4ab	4271224	released
78d4a14c-076e-449a-87c1-09ce9fbc3c63	44ff3028-d64f-48bb-a014-42a1e36c4e0e.rna_seq.augmented_star_gene_counts.tsv	09c627f3be8080fa97f5fb064779ae55	4274301	released
945c7073-28ad-4f82-abdc-87a00dc50635	99a052d7-6091-479d-ad63-11bc73a2c0df.rna_seq.augmented_star_gene_counts.tsv	e999b2f562ea9d982b5b6f06193d9a25	4268211	released
97787b33-694f-48fa-ab20-2eb3fd8ba0ea	309988d6-99c4-4323-b736-062af701b7d3.rna_seq.augmented_star_gene_counts.tsv	5b255a394adb2b9af4153e6e0511aa9b	4282117	released
852e6545-4574-49fb-9740-f3c8e6214d65	2ff1e95c-5116-44ca-9600-b9b6725bdf3a.rna_seq.augmented_star_gene_counts.tsv	fb23af94956464945f62a144eeff7416	4248571	released
30388177-846d-4b12-9c18-41ef8334e6b8	a34607a6-2e78-4582-a864-27b4a54bb112.rna_seq.augmented_star_gene_counts.tsv	b8e9199fbe00cc04315d7012e100fe59	4236638	released
