Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37
NALM_6_1	(1, 0.9872291628996407)	(2, 0.03572330022320428)	(3, 0.0021651465708754907)	(4, 0.012259454724179907)	(5, 0.0)	(6, 0.00024272943619680387)	(7, 0.0)	(8, 6.472784965248102e-06)	(9, 0.0)	(10, 0.0005081136197719761)	(15, 0.0017877832074015261)	(20, 0.0007741450818436731)	(25, 2.5243861364467602e-05)	(30, 0.0011748104711925306)	(35, 0.07836406573876921)	(40, 0.0056902252629496075)	(45, 0.04926954459847551)	(50, 0.05295450107919126)	(55, 0.07821066073509284)	(60, 0.16106166101177202)	(65, 0.1855145480534863)	(70, 0.12448524773014803)	(75, 0.00100651806209608)	(80, 0.0010414711009084198)	(85, 0.00046733507449091304)	(90, 0.0005935543813132511)	(95, 0.0058468666591086115)	(100, 0.0011812832561577788)	(105, 0.000627860141629066)	(110, 0.00023431481574198135)	(115, 0.0008887133757285646)	(120, 0.0013113862339592657)	(125, 0.001054416670838916)	(130, 0.0028163087383794496)	(135, 0.004987280815723663)	(140, 0.00018706348549567018)	(145, 0.0009942197706621085)	(150, 6.796424213510509e-05)
NALM_6_2	(1, 0.9742318106894224)	(2, 0.0009676813523045914)	(3, 0.0004595677325326153)	(4, 2.9127532343616465e-05)	(5, 0.0014013579449762145)	(6, 0.0)	(7, 0.0012330655358797635)	(8, 0.00044985855508474317)	(9, 0.00045309494756736715)	(10, 0.0010790132537068589)	(15, 0.0014188344643823842)	(20, 0.001395532438507491)	(25, 0.0027975376619802303)	(30, 0.0034279869175953956)	(35, 0.024467127168637828)	(40, 0.006000918941281516)	(45, 0.003646119770924256)	(50, 0.004883068977783169)	(55, 0.00013981215524935903)	(60, 0.004085621870064603)	(65, 0.0062436483774783195)	(70, 7.702614108645242e-05)	(75, 0.005204766390555999)	(80, 0.003706316671101064)	(85, 0.0010453547718875687)	(90, 0.0028201924093585982)	(95, 0.0037703972422570204)	(100, 4.077854528106305e-05)	(105, 0.0004621568465187145)	(110, 0.0035936902127057468)	(115, 0.0009502048328984215)	(120, 0.005317392848951317)	(125, 0.0056818106424947855)	(130, 0.005346520381294933)	(135, 0.00015469956066942964)	(140, 0.006949181938690364)	(145, 0.0021761503053164123)	(150, 0.007953434526048606)
NG-13640_BC3_lib236396_5774_5_1	(1, 0.28122665270282565)	(2, 0.007471427863349341)	(3, 0.005018035798503437)	(4, 0.004321249030683239)	(5, 0.0)	(6, 1.4638377475214226e-05)	(7, 0.0)	(8, 0.0)	(9, 9.368561584137104e-05)	(10, 3.1033360247454154e-05)	(15, 1.8151588069265643e-05)	(20, 2.927675495042845e-06)	(25, 0.00043446704346435826)	(30, 0.00019205551247481064)	(35, 0.0005439621069789607)	(40, 7.0264211881028285e-06)	(45, 0.00031618895346462725)	(50, 0.00046374379841478667)	(55, 6.967867678201971e-05)	(60, 0.0007237213823745913)	(65, 0.005804994971570954)	(70, 0.0009046517279682392)	(75, 0.00016746303831645073)	(80, 0.0010170744669778845)	(85, 0.000610127573166929)	(90, 0.0008888422802950077)	(95, 0.0003501499892071243)	(100, 0.00046023058782073523)	(105, 0.00014521270455412514)	(110, 0.0010967072404430497)	(115, 0.0012044456986606265)	(120, 0.00467315562518739)	(125, 0.0014041131674225485)	(130, 0.00010012650193046531)	(135, 0.0015481548017786566)	(140, 0.0009081649385622906)	(145, 0.0015903133289072735)	(150, 2.195756621282134e-05)
NG-13640_BC3_lib236396_5774_5_2	(1, 0.5528124700004752)	(2, 0.030441969797455504)	(3, 0.00046550040371181245)	(4, 0.0003425380329200129)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.00023128636410838478)	(10, 0.00011827808999973096)	(15, 0.0010785556523737843)	(20, 0.006495340853302056)	(25, 0.0015317598190064167)	(30, 0.0011230563198984353)	(35, 0.0008121371823248852)	(40, 6.440886089094259e-06)	(45, 0.0006376477228203317)	(50, 0.00035776194549423564)	(55, 0.0008103805770278595)	(60, 0.0009708171941562075)	(65, 0.0006429175387114087)	(70, 0.00038293995475160417)	(75, 0.001669946102372439)	(80, 0.0008455126829683737)	(85, 0.001296374709204972)	(90, 0.0007887157783645425)	(95, 0.000945639184898839)	(100, 0.0017595329725207498)	(105, 0.00022250333762325624)	(110, 0.0010586474590074928)	(115, 8.138937876219109e-05)	(120, 0.0005685545811373205)	(125, 0.0011564318205419238)	(130, 0.0005492319228700377)	(135, 9.368561584137106e-06)	(140, 2.342140396034276e-05)	(145, 0.00022660208331631623)	(150, 3.952361918307841e-05)
NG-13640_BCBL_1_lib241208_5808_6_1	(1, 0.2699602317973069)	(2, 0.11840877888560652)	(3, 0.0002585278880947006)	(4, 0.001283621025772525)	(5, 0.0)	(6, 0.0)	(7, 0.00024650333516006335)	(8, 0.0016112900932413895)	(9, 0.00021343581458981093)	(10, 0.0)	(15, 0.0002248591398777163)	(20, 0.000713055989023988)	(25, 0.0014188972462871937)	(30, 0.0024265547822097944)	(35, 0.0013882346363038689)	(40, 0.004024617867223083)	(45, 0.0008970316489239378)	(50, 0.00044370600328811396)	(55, 0.0009800010641729346)	(60, 0.001270394017544424)	(65, 0.0004533256456358238)	(70, 0.00033909239275677007)	(75, 0.0009144672506791618)	(80, 0.001883646217210923)	(85, 0.00051344841030901)	(90, 0.022800356047012395)	(95, 0.002546800311556167)	(100, 0.0006385037608292372)	(105, 0.00181811240371715)	(110, 0.1756372336674255)	(115, 0.002792702419069498)	(120, 0.003860482719665285)	(125, 0.0009848108853467896)	(130, 0.0025948985232947157)	(135, 0.0032291936905968293)	(140, 0.0021313520076644502)	(145, 0.0010136698123899188)	(150, 0.004585863875447275)
NG-13640_BCBL_1_lib241208_5808_6_2	(1, 0.3104559199429315)	(2, 0.00609043606139376)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0050593306472486175)	(8, 0.0)	(9, 0.0)	(10, 8.717800877611997e-05)	(15, 0.0006487246308236789)	(20, 9.1386602303243e-05)	(25, 0.0009427249500755593)	(30, 0.0011916331958225501)	(35, 0.0006637553219919754)	(40, 0.0006018288743785936)	(45, 0.00013768113110159636)	(50, 0.0003823807833214641)	(55, 0.0007894119001589345)	(60, 0.0)	(65, 0.0002627364816218236)	(70, 0.0009854121129935214)	(75, 0.0007725775260504423)	(80, 0.0002723561239695334)	(85, 0.0003835832386149278)	(90, 0.0008922218277500829)	(95, 0.0014555721327378375)	(100, 3.847856939083915e-05)	(105, 0.0004647489709237292)	(110, 0.0010274980482647517)	(115, 0.001708688972011951)	(120, 0.0006998289807958871)	(125, 0.0013924432298309918)	(130, 0.0013978542786515788)	(135, 0.0013858297257169413)	(140, 0.0018770327130968724)	(145, 0.0006342951673021141)	(150, 0.0008417187054246064)
NG-13640_BJAB_lib227474_5697_7_1	(1, 1.0966943085467629)	(2, 0.03804675394506918)	(3, 0.0)	(4, 0.016002335947239946)	(5, 0.0)	(6, 0.0003584098470140842)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0006234561412874625)	(15, 0.002136742162013596)	(20, 0.0008225727229619538)	(25, 0.0)	(30, 0.0014858521805843146)	(35, 0.09872996585747974)	(40, 0.0068230615320459004)	(45, 0.062036762186504495)	(50, 0.06564962194066498)	(55, 0.09671667597610432)	(60, 0.20297324862087984)	(65, 0.2326805576441287)	(70, 0.1565582884699707)	(75, 0.000954432148159728)	(80, 0.001320364177148182)	(85, 0.0004951365664305682)	(90, 0.0006398279491140319)	(95, 0.006949168700439745)	(100, 0.0014000108098179784)	(105, 0.0008150505409875842)	(110, 3.716842857923837e-05)	(115, 0.0010389460750482343)	(120, 0.0015920476908107101)	(125, 0.0010256716362699349)	(130, 0.003256662313609457)	(135, 0.005979692188331277)	(140, 0.00014823123302434347)	(145, 0.0008831926600495211)	(150, 0.0)
NG-13640_BJAB_lib227474_5697_7_2	(1, 1.057992682288631)	(2, 1.3274438778299417e-05)	(3, 0.0)	(4, 3.539850340879844e-05)	(5, 0.0)	(6, 0.0)	(7, 0.0012544344645492949)	(8, 0.0)	(9, 2.212406463049903e-05)	(10, 0.0013106295887107624)	(15, 0.0018075360803117705)	(20, 0.0015433747486236122)	(25, 0.0030588731758127955)	(30, 0.004000030885194224)	(35, 0.030010851189979322)	(40, 0.007137223249798986)	(45, 0.0042557850723227925)	(50, 0.00591066510668412)	(55, 0.00017522259187355228)	(60, 0.0048823385826585255)	(65, 0.007664660950590083)	(70, 0.0)	(75, 0.006242083594848995)	(80, 0.004297820795120741)	(85, 0.0012495671703305852)	(90, 0.0034022386588781406)	(95, 0.004394281716909716)	(100, 0.0)	(105, 0.00026327636910293843)	(110, 0.0042703869549789225)	(115, 0.000954432148159728)	(120, 0.006038542200248404)	(125, 0.00636996068841328)	(130, 0.005862877127082242)	(135, 3.4513540823578487e-05)	(140, 0.008227054673497368)	(145, 0.002815065983584696)	(150, 0.009533259449282032)
NG-13640_BONNA12_lib236392_5774_5_1	(1, 0.2890443529096518)	(2, 0.007435315647217892)	(3, 0.00522456105833735)	(4, 0.004258536884350019)	(5, 0.0)	(6, 1.6533421070687814e-05)	(7, 0.0)	(8, 0.0)	(9, 9.920052642412689e-05)	(10, 4.156974440630079e-05)	(15, 2.0784872203150395e-05)	(20, 2.361917295812545e-06)	(25, 0.0004161698275221704)	(30, 0.0001889533836650036)	(35, 0.0005626086998625482)	(40, 9.44766918325018e-06)	(45, 0.0003325579552504063)	(50, 0.0005026160005489096)	(55, 6.896798503772632e-05)	(60, 0.000705268504529626)	(65, 0.00552972077295633)	(70, 0.0008753265498281293)	(75, 0.00016864089492101572)	(80, 0.0010501084297182574)	(85, 0.0006207118653395368)	(90, 0.0009499631363758057)	(95, 0.0003420056244336565)	(100, 0.00046435294035674637)	(105, 0.0001417150377487527)	(110, 0.0011110458959502213)	(115, 0.0010652247004114578)	(120, 0.004623216914823475)	(125, 0.001517295670829979)	(130, 9.069762415920173e-05)	(135, 0.0015059584678100786)	(140, 0.000868713181399854)	(145, 0.0015437491445430792)	(150, 2.361917295812545e-05)
NG-13640_BONNA12_lib236392_5774_5_2	(1, 0.5632629509534883)	(2, 0.031366261688390594)	(3, 0.0005361552261494478)	(4, 0.0003920782711048825)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.00021493447391894162)	(10, 0.00011856824824978975)	(15, 0.0010567217981465326)	(20, 0.006480156292791299)	(25, 0.0014483276857922528)	(30, 0.001075617136513033)	(35, 0.00079076991063804)	(40, 5.668601509950108e-06)	(45, 0.0006027612938913615)	(50, 0.00033775417330119393)	(55, 0.0007671507376799146)	(60, 0.0009320125649276304)	(65, 0.0006122089630746116)	(70, 0.00035759427858601936)	(75, 0.001580595054357755)	(80, 0.0008011623467396152)	(85, 0.0012494542494848363)	(90, 0.0007647888203841021)	(95, 0.0009424050010292055)	(100, 0.0017090833552499576)	(105, 0.0002050144212765289)	(110, 0.0010586113319831828)	(115, 7.794327076181398e-05)	(120, 0.0005536334141384605)	(125, 0.0011238002493476089)	(130, 0.0005144255870279722)	(135, 1.1809586479062725e-05)	(140, 2.456393987645047e-05)	(145, 0.00022390975964302928)	(150, 3.6609718085094446e-05)
