Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37
NALM_6_1	(1, 31.231651135273083)	(2, 31.50665970281308)	(3, 35.33989134330062)	(4, 35.972902850844285)	(5, 36.21080847640966)	(6, 39.618851610789754)	(7, 39.72403724686435)	(8, 39.74825164414402)	(9, 39.80809729864469)	(10, 39.873253148257426)	(15, 39.8357777622359)	(20, 39.82262173617505)	(25, 39.71781099086007)	(30, 39.64539763466961)	(35, 39.590080353476196)	(40, 39.575416602195034)	(45, 39.50907073106643)	(50, 39.454812921788914)	(55, 39.37395157146435)	(60, 39.304096687095964)	(65, 39.218222028887325)	(70, 39.15846149798174)	(75, 38.73470949056885)	(80, 39.07362680271512)	(85, 39.0511008896487)	(90, 38.90371901303881)	(95, 38.84763207887632)	(100, 38.76448861875656)	(105, 38.612464091820854)	(110, 38.42980838517576)	(115, 38.27073561680025)	(120, 38.068145117638174)	(125, 37.81471308684817)	(130, 37.55662758970867)	(135, 37.22341155834207)	(140, 36.909041033929014)	(145, 36.61615645964035)	(150, 34.780253481379305)
NALM_6_2	(1, 30.93331164087332)	(2, 31.16708348704849)	(3, 34.72277812836899)	(4, 35.53945539476043)	(5, 35.84263128935837)	(6, 38.99177176338825)	(7, 39.10224767134279)	(8, 39.193256484330796)	(9, 39.27079348997063)	(10, 39.21558737238621)	(15, 39.18795941602664)	(20, 39.09211824833105)	(25, 39.027100016599455)	(30, 39.06652911567096)	(35, 38.977631006659486)	(40, 38.92066472524112)	(45, 38.79839555842674)	(50, 38.74408577915874)	(55, 38.65770808846653)	(60, 38.60333419626345)	(65, 38.494881383140935)	(70, 38.383778987275186)	(75, 37.89515837302796)	(80, 38.31857483774103)	(85, 38.23605766487616)	(90, 38.042917276416496)	(95, 37.883777721845725)	(100, 37.70170616462538)	(105, 37.403718498452406)	(110, 37.08595038979273)	(115, 36.67283550475311)	(120, 36.32025230527427)	(125, 35.864569894280976)	(130, 35.4933520582372)	(135, 35.10863963711496)	(140, 34.66492397503693)	(145, 34.25886459390184)	(150, 31.339996833513595)
NG-13640_BC3_lib236396_5774_5_1	(1, 31.508365554597912)	(2, 31.56877901674077)	(3, 35.35407518229684)	(4, 36.00013148190648)	(5, 36.22955847930797)	(6, 39.59882291050116)	(7, 39.75136062986713)	(8, 39.8146625366534)	(9, 39.88290633039854)	(10, 39.88627008315857)	(15, 39.825254462575245)	(20, 39.802383028312)	(25, 39.68087245081073)	(30, 39.65042694438128)	(35, 39.655204676575146)	(40, 39.62327089216314)	(45, 39.5909554325522)	(50, 39.56260911044014)	(55, 39.511620696452425)	(60, 39.43920913413675)	(65, 39.39792396774042)	(70, 39.350433317930836)	(75, 38.9553884789704)	(80, 39.2698089407755)	(85, 39.25718612735019)	(90, 39.19940175878934)	(95, 39.110803020108065)	(100, 39.01920101335047)	(105, 38.98961948152565)	(110, 38.88325434903999)	(115, 38.77991008581573)	(120, 38.59388806167418)	(125, 38.41434689224758)	(130, 38.36828873063632)	(135, 38.22559192401886)	(140, 38.034613930799296)	(145, 37.80577282567323)	(150, 36.439737518082424)
NG-13640_BC3_lib236396_5774_5_2	(1, 31.208767240458858)	(2, 31.23492798254965)	(3, 34.94674256723941)	(4, 35.681384032826735)	(5, 35.941259880063086)	(6, 39.10896963359351)	(7, 39.23652716673531)	(8, 39.36935111966461)	(9, 39.41348869687437)	(10, 39.40275147627305)	(15, 39.35305927890006)	(20, 39.29734430848613)	(25, 39.189451028933014)	(30, 39.233429867577435)	(35, 39.17624105262114)	(40, 39.09071471028997)	(45, 39.0292405454599)	(50, 38.955453537775256)	(55, 38.91256139957644)	(60, 38.8548353444561)	(65, 38.783693157826214)	(70, 38.70939818673247)	(75, 38.25363885032409)	(80, 38.68215399391588)	(85, 38.66025789717776)	(90, 38.57727666512935)	(95, 38.496919959489176)	(100, 38.34173857257258)	(105, 38.16505501351107)	(110, 38.0500530158117)	(115, 37.8351468380036)	(120, 37.586684814741524)	(125, 37.29254822562225)	(130, 37.01305424739696)	(135, 36.679989569277744)	(140, 36.35101663970717)	(145, 35.80563725087641)	(150, 33.42003316412247)
NG-13640_BCBL_1_lib241208_5808_6_1	(1, 31.46541555201566)	(2, 31.377570962147608)	(3, 35.25097045657528)	(4, 35.875413156123486)	(5, 36.14474447374093)	(6, 39.49080587651927)	(7, 39.62641009677661)	(8, 39.756026660838764)	(9, 39.78575920171398)	(10, 39.77715377629582)	(15, 39.70441940798917)	(20, 39.65210890517348)	(25, 39.50129524275618)	(30, 39.42881817583323)	(35, 39.40351557645556)	(40, 39.356612226505305)	(45, 39.332257107788394)	(50, 39.27605933154909)	(55, 39.2154748781537)	(60, 39.124413588105554)	(65, 39.100597001016375)	(70, 39.00275088703624)	(75, 38.58769594234467)	(80, 38.98498932370006)	(85, 38.99216234228671)	(90, 38.84123760306169)	(95, 38.72560633958479)	(100, 38.67394507244343)	(105, 38.5536741592658)	(110, 38.269781601051186)	(115, 38.17815552376398)	(120, 38.00285982347354)	(125, 37.7865710033317)	(130, 37.460674360977684)	(135, 37.199058050633596)	(140, 36.88690181681976)	(145, 36.528675456414454)	(150, 34.553595942555106)
NG-13640_BCBL_1_lib241208_5808_6_2	(1, 30.910820835063117)	(2, 31.03751149472107)	(3, 34.25899519228312)	(4, 35.07548638565086)	(5, 35.40627783871888)	(6, 38.511527037056965)	(7, 38.64679075203659)	(8, 38.70075850879912)	(9, 38.74604739417416)	(10, 38.6370526618302)	(15, 38.514659264752694)	(20, 38.36468325674194)	(25, 38.24879853372602)	(30, 38.15673182872107)	(35, 37.996743468488305)	(40, 37.770491879368485)	(45, 37.51436739277932)	(50, 37.29884384524761)	(55, 37.14200670549194)	(60, 36.87090090656111)	(65, 36.737359155659945)	(70, 36.38024325670587)	(75, 35.47456253924889)	(80, 36.20825702602143)	(85, 35.92056261079498)	(90, 35.28016854214621)	(95, 34.65598978153491)	(100, 34.139176125731126)	(105, 33.437634301480195)	(110, 32.61927241835103)	(115, 31.860441108699852)	(120, 31.053837753308482)	(125, 30.651010955269566)	(130, 29.96323708179732)	(135, 29.275483992764826)	(140, 28.557591878857437)	(145, 28.093448716935107)	(150, 25.04637219237962)
NG-13640_BJAB_lib227474_5697_7_1	(1, 31.24317977587924)	(2, 31.572043266440264)	(3, 35.4423952742467)	(4, 36.0388435742568)	(5, 36.281937508765274)	(6, 39.69966279164412)	(7, 39.80895321514761)	(8, 39.822078404985916)	(9, 39.90428824328754)	(10, 39.95293064984064)	(15, 39.91591203215263)	(20, 39.89948073271628)	(25, 39.7925145041496)	(30, 39.72934846775697)	(35, 39.66172965804537)	(40, 39.669828463941016)	(45, 39.604729439172004)	(50, 39.54542860076508)	(55, 39.477861508266955)	(60, 39.41908971819274)	(65, 39.34919704136654)	(70, 39.319289500708756)	(75, 39.043283714734876)	(80, 39.28869734857024)	(85, 39.258834095865026)	(90, 39.12529724178623)	(95, 39.095732743600166)	(100, 39.03902216413131)	(105, 38.91071619999898)	(110, 38.747434204746405)	(115, 38.61666050474593)	(120, 38.449471660743576)	(125, 38.205934997152966)	(130, 37.96783416314431)	(135, 37.684930925683474)	(140, 37.38090847648359)	(145, 37.09091638340304)	(150, 35.212020873789484)
NG-13640_BJAB_lib227474_5697_7_2	(1, 30.994875491405896)	(2, 31.315818721697653)	(3, 34.94848349603407)	(4, 35.76998253813951)	(5, 35.95199954088141)	(6, 39.30881059236497)	(7, 39.30147571272176)	(8, 39.345884706056694)	(9, 39.42694418149379)	(10, 39.41201779190729)	(15, 39.363681476213166)	(20, 39.302696279668176)	(25, 39.188939268579745)	(30, 39.239016190633855)	(35, 39.09727433957399)	(40, 39.027817480272134)	(45, 38.94709425964373)	(50, 38.87088416678261)	(55, 38.762932766892376)	(60, 38.70921571496205)	(65, 38.60974898235387)	(70, 38.51387663590588)	(75, 38.03999442827556)	(80, 38.41127829062221)	(85, 38.30394647073713)	(90, 38.131066290755214)	(95, 37.95297915906475)	(100, 37.73978166778323)	(105, 37.403123001989556)	(110, 37.03553683191049)	(115, 36.589182358952286)	(120, 36.22538764735153)	(125, 35.768479517684774)	(130, 35.40291175257083)	(135, 35.008966140026175)	(140, 34.606123144623396)	(145, 34.26115732176782)	(150, 31.271295711995652)
NG-13640_BONNA12_lib236392_5774_5_1	(1, 31.436881834576745)	(2, 31.563890984762445)	(3, 35.33782940036706)	(4, 35.99484523359775)	(5, 36.22842307654608)	(6, 39.59610219874424)	(7, 39.72408063254979)	(8, 39.80780148368559)	(9, 39.88092018408311)	(10, 39.86968922010318)	(15, 39.81741410917278)	(20, 39.8046324047731)	(25, 39.688739311290895)	(30, 39.660018293049454)	(35, 39.66643914159895)	(40, 39.634941765157635)	(45, 39.60765929154054)	(50, 39.58032540370776)	(55, 39.53355255862367)	(60, 39.46717566771697)	(65, 39.43143288665148)	(70, 39.39334214249754)	(75, 39.05675217240296)	(80, 39.32723318748888)	(85, 39.31696408126082)	(90, 39.2705568987648)	(95, 39.19618633968599)	(100, 39.12328042914148)	(105, 39.103389783550355)	(110, 39.01938647072516)	(115, 38.93725593157148)	(120, 38.78223841972617)	(125, 38.632781782342946)	(130, 38.59012317989176)	(135, 38.473041706617515)	(140, 38.31143803563118)	(145, 38.11848562838278)	(150, 36.835980940272194)
NG-13640_BONNA12_lib236392_5774_5_2	(1, 31.174429103922826)	(2, 31.298643302895698)	(3, 34.90026166500762)	(4, 35.71573392387564)	(5, 35.933122051958165)	(6, 39.13230442704787)	(7, 39.249520335930775)	(8, 39.30689784955697)	(9, 39.37393501444372)	(10, 39.3719630591411)	(15, 39.31675067258548)	(20, 39.25877502702328)	(25, 39.1648241074285)	(30, 39.207451178283776)	(35, 39.105859300350495)	(40, 38.998938913378694)	(45, 38.93409105687177)	(50, 38.860729064821285)	(55, 38.81984744612379)	(60, 38.7637490382568)	(65, 38.690628169619195)	(70, 38.61834735938237)	(75, 38.140626260009064)	(80, 38.58282500661042)	(85, 38.56128686229562)	(90, 38.47510766150466)	(95, 38.39635541044986)	(100, 38.24451748332516)	(105, 38.06726143838165)	(110, 37.95073651785132)	(115, 37.735145549020004)	(120, 37.484565118473185)	(125, 37.19439739990696)	(130, 36.9166739291687)	(135, 36.58809228530497)	(140, 36.26525614697833)	(145, 35.72829570543207)	(150, 33.37018080594996)
