Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37
NG-13640_BV_173_lib227468_5681_8_1	(1, 31.20731780830932)	(2, 31.365423713764702)	(3, 35.197981154580795)	(4, 35.863796708479775)	(5, 36.0748308628866)	(6, 39.437116086583416)	(7, 39.57089434896577)	(8, 39.67821734597943)	(9, 39.62608328991573)	(10, 39.737386631599065)	(15, 39.66182275295863)	(20, 39.63297750614983)	(25, 39.541708720899315)	(30, 39.481559451847474)	(35, 39.43584087094514)	(40, 39.35470810411391)	(45, 39.32845371653201)	(50, 39.32264001839765)	(55, 39.27741173343513)	(60, 39.18414723503467)	(65, 39.150417147039654)	(70, 39.099881465429824)	(75, 38.73506447514424)	(80, 39.0619875577011)	(85, 39.010923585990746)	(90, 38.87917670417106)	(95, 38.8830295227699)	(100, 38.77237995219857)	(105, 38.719252245170956)	(110, 38.65369179975139)	(115, 38.50340020696226)	(120, 38.341687673125826)	(125, 38.152525028597026)	(130, 37.97663272919764)	(135, 37.671298983397044)	(140, 37.52190869840929)	(145, 37.27132188468164)	(150, 35.5068218926816)
NG-13640_BV_173_lib227468_5681_8_2	(1, 30.80374748395727)	(2, 31.12302981347256)	(3, 34.532284191589724)	(4, 35.36660742567251)	(5, 35.64426107892599)	(6, 38.83336940825559)	(7, 38.912888696489304)	(8, 38.93956905923213)	(9, 39.01323528053032)	(10, 38.90882919731815)	(15, 38.88037563289798)	(20, 38.80071049193198)	(25, 38.73370089942049)	(30, 38.69245183237319)	(35, 38.61593316453049)	(40, 38.528903471846014)	(45, 38.441092143952346)	(50, 38.33308183234615)	(55, 38.2284422687066)	(60, 38.194444993424256)	(65, 38.068340836015764)	(70, 38.027178410753386)	(75, 37.584092745188535)	(80, 37.962315646067495)	(85, 37.91819838608196)	(90, 37.78010116677679)	(95, 37.643705752351984)	(100, 37.49746615454925)	(105, 37.34094545742175)	(110, 37.10298104866588)	(115, 36.871332938142984)	(120, 36.5206046603917)	(125, 36.249296139018064)	(130, 35.85474953487575)	(135, 35.35131437035608)	(140, 34.89013171534397)	(145, 34.352890908308325)	(150, 31.792779050321755)
NG-13640_CCRF_CEM_lib241217_5826_6_1	(1, 31.183293468795885)	(2, 31.435843762140454)	(3, 35.145590800791624)	(4, 35.859631674831135)	(5, 36.06246835304219)	(6, 39.40471227104484)	(7, 39.516643526753136)	(8, 39.63194917145178)	(9, 39.690580274476496)	(10, 39.74345709021604)	(15, 39.66852864760203)	(20, 39.63212025839262)	(25, 39.5188377095524)	(30, 39.43431272793772)	(35, 39.42684649183128)	(40, 39.34423294959892)	(45, 39.33633095074906)	(50, 39.28610328406033)	(55, 39.232212899630255)	(60, 39.169134703415786)	(65, 39.1223055116861)	(70, 39.01189890783813)	(75, 38.60382082662504)	(80, 38.908996187758476)	(85, 38.91679539135887)	(90, 38.82998611479675)	(95, 38.72335161965431)	(100, 38.60735631798713)	(105, 38.47937293140642)	(110, 38.381168343318066)	(115, 38.19172666429384)	(120, 37.97315120500288)	(125, 37.720413746486145)	(130, 37.4834278839394)	(135, 37.24075462005184)	(140, 36.89690824460261)	(145, 36.55789564945464)	(150, 34.74428542663652)
NG-13640_CCRF_CEM_lib241217_5826_6_2	(1, 30.50795466101933)	(2, 30.582114153747995)	(3, 33.565824558318525)	(4, 34.517272096483694)	(5, 34.78369014675214)	(6, 37.66659176670925)	(7, 37.85765719648173)	(8, 37.89931490857138)	(9, 37.923557015607905)	(10, 37.882154628593014)	(15, 37.760487125224486)	(20, 37.58380329683443)	(25, 37.484911499283456)	(30, 37.40323404021384)	(35, 37.13568344108792)	(40, 36.929875773070634)	(45, 36.75315496851393)	(50, 36.56827760566267)	(55, 36.43749854600889)	(60, 36.25264986290672)	(65, 36.108597796548054)	(70, 35.91986234850056)	(75, 35.19306918405831)	(80, 35.948894011288715)	(85, 35.742719292688356)	(90, 35.44819746678742)	(95, 35.08078545611642)	(100, 34.62570279113264)	(105, 34.13230141462392)	(110, 33.586027828707344)	(115, 32.89227500917265)	(120, 32.283256790722895)	(125, 31.427563836995226)	(130, 30.640742476656992)	(135, 30.12874302339216)	(140, 29.57287739184479)	(145, 29.001149311135332)	(150, 26.42793830226617)
NG-13640_CMK_lib259808_5981_3_1	(1, 31.477107613598164)	(2, 31.600404954766905)	(3, 35.573986096001605)	(4, 35.941250927359036)	(5, 36.31171683334049)	(6, 39.74847822606243)	(7, 39.886311522990276)	(8, 40.02213587455681)	(9, 40.04021921409892)	(10, 40.07139835465027)	(15, 40.031695197824035)	(20, 39.995180350292586)	(25, 39.88589978204415)	(30, 39.822612708426995)	(35, 39.80240258834328)	(40, 39.7559902321823)	(45, 39.71573891080575)	(50, 39.64620289864377)	(55, 39.57812528633374)	(60, 39.442423090451875)	(65, 39.40045488356775)	(70, 39.3102284396465)	(75, 38.91111470930206)	(80, 39.2752066808463)	(85, 39.23500997439042)	(90, 39.14136578411112)	(95, 39.04921533353692)	(100, 38.95520552336133)	(105, 38.869049855098126)	(110, 38.76147193564883)	(115, 38.644315814691296)	(120, 38.49570456257301)	(125, 38.27477483105111)	(130, 38.13786217608869)	(135, 37.950904637372574)	(140, 37.74046016358973)	(145, 37.41870959865814)	(150, 36.04167655946243)
NG-13640_CMK_lib259808_5981_3_2	(1, 30.901504850847406)	(2, 31.06351139206428)	(3, 34.398692198038546)	(4, 35.29757725822041)	(5, 35.4858227040677)	(6, 38.629746373908574)	(7, 38.77799661199334)	(8, 38.784697094521)	(9, 38.87709999809613)	(10, 38.90108537401367)	(15, 38.81271706800318)	(20, 38.74283405112115)	(25, 38.57962932123449)	(30, 38.62983549935957)	(35, 38.48857129837666)	(40, 38.259076142402215)	(45, 38.30611996546985)	(50, 38.208662294708596)	(55, 38.163555439807055)	(60, 38.074703611839105)	(65, 38.007474370023424)	(70, 37.72588389649927)	(75, 37.29729643881201)	(80, 37.966399687140196)	(85, 37.89976159198236)	(90, 37.74440315219363)	(95, 37.53588620745636)	(100, 37.38452599541366)	(105, 37.13596246948616)	(110, 36.866128168631825)	(115, 36.45205374439924)	(120, 36.029317248394264)	(125, 35.56891850106409)	(130, 35.18236971594847)	(135, 34.592782028948974)	(140, 34.03273369280465)	(145, 33.54145205151949)	(150, 30.947521332434633)
NG-13640_CML_T1_lib259818_5981_7_1	(1, 31.49057782159695)	(2, 31.64205305931831)	(3, 35.72189051153131)	(4, 36.246965119403896)	(5, 36.408531505129815)	(6, 39.92149966746726)	(7, 39.934617153681344)	(8, 40.07928862237199)	(9, 40.10159106929623)	(10, 40.128813398195526)	(15, 40.08341711853293)	(20, 40.05406933003218)	(25, 39.95295945718455)	(30, 39.88905856298277)	(35, 39.84089863402629)	(40, 39.78604498884026)	(45, 39.707610636995696)	(50, 39.64012460843601)	(55, 39.53553353492834)	(60, 39.419180702606454)	(65, 39.291533958803726)	(70, 39.12919064728754)	(75, 38.38572719612466)	(80, 38.99114753333323)	(85, 38.93996152112986)	(90, 38.82445364409333)	(95, 38.701225621332)	(100, 38.59004449667131)	(105, 38.50390255145892)	(110, 38.362830281047366)	(115, 38.3001727121457)	(120, 38.18180031622197)	(125, 38.006737064430766)	(130, 37.89189420735132)	(135, 37.73161170874935)	(140, 37.58271202618921)	(145, 37.39199409579379)	(150, 35.86634757257927)
NG-13640_CML_T1_lib259818_5981_7_2	(1, 30.976529186790977)	(2, 31.276035185299218)	(3, 34.83013512678302)	(4, 35.63070710814206)	(5, 35.866940918441436)	(6, 39.19118011391594)	(7, 39.27381858110788)	(8, 39.34181534080594)	(9, 39.41867132368065)	(10, 39.38516941982682)	(15, 39.31451339527028)	(20, 39.20925781173081)	(25, 39.1302949177865)	(30, 39.17829254481281)	(35, 39.136075949727285)	(40, 39.072490007228865)	(45, 39.02272111378606)	(50, 38.9595439583473)	(55, 38.90001920187362)	(60, 38.8072274349814)	(65, 38.69703553803547)	(70, 38.58453678923047)	(75, 38.11483213954287)	(80, 38.65158600760494)	(85, 38.60218270781931)	(90, 38.476141609435714)	(95, 38.26422538879241)	(100, 38.09509456666653)	(105, 37.86410491894635)	(110, 37.591451225704425)	(115, 37.214473154426194)	(120, 36.83644625336389)	(125, 36.4538035997765)	(130, 36.01230008965807)	(135, 35.410599511632725)	(140, 34.89833517820807)	(145, 34.46919668216209)	(150, 31.603603783053657)
NG-13640_CRO_AP2_lib241209_5808_6_1	(1, 31.43786820486479)	(2, 31.44976904617696)	(3, 35.19938936708575)	(4, 35.8812915307631)	(5, 36.14863951479439)	(6, 39.46128519943894)	(7, 39.60316773987014)	(8, 39.683654334634376)	(9, 39.76457385186868)	(10, 39.762772176071365)	(15, 39.6820244802296)	(20, 39.63478187875885)	(25, 39.48652187534831)	(30, 39.41388084495425)	(35, 39.38849494807528)	(40, 39.34101682015849)	(45, 39.3179199121629)	(50, 39.258309459274344)	(55, 39.19638871124606)	(60, 39.10532355723058)	(65, 39.08029251726829)	(70, 38.98131701337815)	(75, 38.56308377339202)	(80, 38.97105713968109)	(85, 38.9752180158675)	(90, 38.82526010744848)	(95, 38.70937397807961)	(100, 38.647234800851955)	(105, 38.52537013832296)	(110, 38.23783575571537)	(115, 38.143672188790404)	(120, 37.96388904183735)	(125, 37.73411760026489)	(130, 37.40613646303974)	(135, 37.13530362083175)	(140, 36.81614672287189)	(145, 36.44591513087037)	(150, 34.446730411297125)
NG-13640_CRO_AP2_lib241209_5808_6_2	(1, 30.976245275438572)	(2, 31.009149846829743)	(3, 34.046194326533964)	(4, 35.012221117860136)	(5, 35.24724945817905)	(6, 38.29136249175748)	(7, 38.479150100617)	(8, 38.5117889226167)	(9, 38.6016356069159)	(10, 38.507383069006245)	(15, 38.354957505476094)	(20, 38.22638922030471)	(25, 38.07595688703662)	(30, 38.01292249084919)	(35, 37.79170857743042)	(40, 37.55869155008655)	(45, 37.307483568759345)	(50, 37.097766443596086)	(55, 36.938240785333534)	(60, 36.67525249828323)	(65, 36.534142171620445)	(70, 36.1782132338329)	(75, 35.24955072383539)	(80, 36.0088178574805)	(85, 35.71322026492718)	(90, 35.05768349820353)	(95, 34.41307260823693)	(100, 33.874111518275576)	(105, 33.15586002044843)	(110, 32.3097466802475)	(115, 31.541112083879806)	(120, 30.733195583745562)	(125, 30.31588795782442)	(130, 29.627507035917723)	(135, 28.94356584154147)	(140, 28.224492755709583)	(145, 27.751156407601332)	(150, 24.771817162756438)
NG-13640_CRO_AP5_lib227485_5684_6_1	(1, 31.50074333313711)	(2, 31.52964517905579)	(3, 35.35712304232446)	(4, 36.01545662171261)	(5, 36.22385014562421)	(6, 39.58810150420271)	(7, 39.71025303286543)	(8, 39.78745984896134)	(9, 39.85047278426403)	(10, 39.91024498888483)	(15, 39.869104172303494)	(20, 39.80425293209128)	(25, 39.714519617130044)	(30, 39.668330767863715)	(35, 39.629024331695014)	(40, 39.605733578533915)	(45, 39.584944246455436)	(50, 39.524493305049724)	(55, 39.448645315051365)	(60, 39.421806494819506)	(65, 39.36254917923852)	(70, 39.29996255633804)	(75, 38.94627651287034)	(80, 39.23525985276204)	(85, 39.2309158587248)	(90, 39.17022708909357)	(95, 39.0828350057942)	(100, 39.02218450310268)	(105, 38.963583172747754)	(110, 38.84294811239437)	(115, 38.74268812685558)	(120, 38.62520677734615)	(125, 38.43089891034549)	(130, 38.29111837452538)	(135, 38.071287418205344)	(140, 37.8464600790458)	(145, 37.66670944306376)	(150, 36.29792254838257)
NG-13640_CRO_AP5_lib227485_5684_6_2	(1, 31.27957329700512)	(2, 31.219649773316974)	(3, 34.771650471307936)	(4, 35.59007334723744)	(5, 35.82290209488282)	(6, 39.10679103855372)	(7, 39.18137783514724)	(8, 39.26298948117223)	(9, 39.298589743804015)	(10, 39.26419574400073)	(15, 39.210060537531035)	(20, 39.16479217158198)	(25, 39.06924922393693)	(30, 39.09907421799293)	(35, 38.99456154177513)	(40, 38.86575573460918)	(45, 38.765951656140786)	(50, 38.68463521399062)	(55, 38.5936868834586)	(60, 38.49373050479862)	(65, 38.40940454301988)	(70, 38.33569852052038)	(75, 37.799488413356244)	(80, 38.29235365325163)	(85, 38.30873550915116)	(90, 38.15566492769362)	(95, 37.948943648000615)	(100, 37.779702093545765)	(105, 37.55606461046552)	(110, 37.24776103738443)	(115, 36.90958840012808)	(120, 36.478178642850786)	(125, 36.05947632602962)	(130, 35.425332723365)	(135, 34.845896282356286)	(140, 34.400548983880284)	(145, 33.98430044945394)	(150, 30.977699170228888)
NG-13640_DAUDI_lib227475_5697_7_1	(1, 31.28470711103315)	(2, 31.488081494360436)	(3, 35.40866429514043)	(4, 36.01112072808378)	(5, 36.257600678647705)	(6, 39.677318723925325)	(7, 39.756441907731194)	(8, 39.83817312362914)	(9, 39.861534180704865)	(10, 39.91832952165015)	(15, 39.90596310281354)	(20, 39.88732517670714)	(25, 39.781595241052294)	(30, 39.719721917121504)	(35, 39.65015218910237)	(40, 39.65466903731889)	(45, 39.58922952666403)	(50, 39.528835072298165)	(55, 39.46192517575738)	(60, 39.3987225420645)	(65, 39.32568493544785)	(70, 39.290884505402246)	(75, 39.00174551113015)	(80, 39.2571434106796)	(85, 39.2282587327487)	(90, 39.090382400957495)	(95, 39.05668486083693)	(100, 38.99723284648611)	(105, 38.86427861590525)	(110, 38.69398209122163)	(115, 38.558065040626246)	(120, 38.38245159153614)	(125, 38.12527671083569)	(130, 37.874135875966516)	(135, 37.57655003909572)	(140, 37.25886926251512)	(145, 36.95511288347751)	(150, 35.09023081637552)
NG-13640_DAUDI_lib227475_5697_7_2	(1, 31.00919206038352)	(2, 31.321139326627208)	(3, 34.88329615751395)	(4, 35.733638728297684)	(5, 35.860476517645544)	(6, 39.20183141420686)	(7, 39.28787476877823)	(8, 39.30218200399007)	(9, 39.38340900617692)	(10, 39.34742711312144)	(15, 39.294381837981476)	(20, 39.22493255955888)	(25, 39.08839053101393)	(30, 39.158220747600325)	(35, 38.99586350145031)	(40, 38.932450424738946)	(45, 38.85143848031905)	(50, 38.77517517617254)	(55, 38.67434608009019)	(60, 38.62082280557421)	(65, 38.52256633853882)	(70, 38.427450073825774)	(75, 37.94277864551946)	(80, 38.32791452320486)	(85, 38.22198956198666)	(90, 38.04811477182443)	(95, 37.86864927797977)	(100, 37.65225335633366)	(105, 37.3119606443529)	(110, 36.94300649872537)	(115, 36.490422663472586)	(120, 36.12756557946514)	(125, 35.667065580208046)	(130, 35.30508422047066)	(135, 34.91342938710867)	(140, 34.5183674709643)	(145, 34.17811052328422)	(150, 31.234796406707456)
NG-13640_DEL_lib250969_5908_5_1	(1, 31.4800672453405)	(2, 31.544939884687537)	(3, 35.362757677875365)	(4, 35.99994863704053)	(5, 36.216604987488786)	(6, 39.6663320415423)	(7, 39.77922676002044)	(8, 39.881736291397715)	(9, 39.929383434497424)	(10, 39.96272580142941)	(15, 39.90324197997636)	(20, 39.84917012755872)	(25, 39.72207266856324)	(30, 39.67928795930658)	(35, 39.62442168148213)	(40, 39.64332766363044)	(45, 39.62558135201541)	(50, 39.57026435985902)	(55, 39.524407145124755)	(60, 39.54096472512547)	(65, 39.46696302454422)	(70, 39.37832829408216)	(75, 39.028977725286346)	(80, 39.40884304962889)	(85, 39.410920505863686)	(90, 39.345303574770846)	(95, 39.23178764950979)	(100, 39.21818519831192)	(105, 39.20543703974381)	(110, 39.14585365287105)	(115, 38.85338408513369)	(120, 38.91798316485449)	(125, 38.84095918552656)	(130, 38.74013928804733)	(135, 38.61501690062407)	(140, 38.524614985757104)	(145, 38.27778879299004)	(150, 37.276403901017744)
NG-13640_DEL_lib250969_5908_5_2	(1, 30.575276663410964)	(2, 30.625198066837036)	(3, 33.5902377492313)	(4, 34.518757320409335)	(5, 34.846468649176074)	(6, 37.75547382465834)	(7, 37.735169110265765)	(8, 37.623006115216945)	(9, 37.69185239398411)	(10, 37.9202651150826)	(15, 37.823486704991694)	(20, 37.55169639600908)	(25, 37.44419465642572)	(30, 37.51478933498656)	(35, 37.292397163221224)	(40, 37.082028713193445)	(45, 37.00396109824904)	(50, 36.848073740689884)	(55, 36.80314619358298)	(60, 36.80496640845)	(65, 36.66467797198561)	(70, 36.498366970061014)	(75, 35.87694282623976)	(80, 36.61969652964196)	(85, 36.52978868029788)	(90, 36.289478378220274)	(95, 36.07863913402632)	(100, 36.02438367017759)	(105, 35.83285237709579)	(110, 35.54198578740959)	(115, 35.35778969111472)	(120, 34.795731344460265)	(125, 34.353287837268645)	(130, 33.909684740979934)	(135, 33.51816199094077)	(140, 33.058568168603756)	(145, 32.2766158173368)	(150, 30.07417722656345)
