cell_line	sample_id	cell_tech_id	cell_line_display	degree	betweenness	component	community_louv	community_leid	mean_edge_sim	max_edge_sim	is_outlier
LAN5	NG-A0611_LAN5_libLAB6087	LAN5	LAN5	6	7	1	1	1	0.7356025544197683	0.8534728829686014	FALSE
LAN2	NG-A0611_LAN2_libLAB6083	LAN2	LAN2	1	0	2	3	10	0.6546146527117032	0.6546146527117032	FALSE
LAN6	NG-A0611_LAN6_libLAB6089	LAN6	LAN6	1	0	2	3	11	0.6546146527117032	0.6546146527117032	FALSE
IMR_32	NG-A0611_IMR32_libLAB6079	IMR_32	IMR_32	5	4	1	1	2	0.7460997826757959	0.8311877734093487	FALSE
CHP_126	NG-A0611_CHP126_libLAB6088	CHP_126	CHP_126	5	13	1	2	3	0.7174828696438365	0.7410943689126683	FALSE
CHP_134	NG-A0611_CHP134_libLAB6074	CHP_134	CHP_134	3	0	1	1	4	0.7724563502913027	0.8311877734093487	FALSE
MHH_NB_11	NG-A0611_MHHNB11_libLAB6084	MHH_NB_11	MHH_NB_11	3	0	1	1	5	0.7477606006301926	0.8534728829686014	FALSE
LAN1	NG-A0611_LAN1_libLAB6085	LAN1	LAN1	3	0	1	1	6	0.7151446479722526	0.8072371351697258	FALSE
NGP	NG-A0611_NGP_libLAB6082	NGP	NGP	2	0	1	2	7	0.7100913097591773	0.7394250188277146	FALSE
KELLY	NG-A0611_KELLY_libLAB6075	KELLY	KELLY	2	7	1	2	8	0.684073109865259	0.6924510717614166	FALSE
NBL_S	NG-A0611_NBLS_libLAB6077	NBL_S	NBL_S	1	0	1	2	9	0.6756951479691014	0.6756951479691014	FALSE
CCLF_PEDS_0051_T	NG-A2798_CCLF_PEDS_0051_T_libLAI2540	CCLF_PEDS_0051_T	CCLF_PEDS_0051_T	0	0	3	4	12	NA	NA	TRUE
GI_ME_N	NG-A0611_GIMEN_libLAB6073	GI_ME_N	GI_ME_N	0	0	4	5	13	NA	NA	TRUE
LS	NG-A0611_LS_libLAB6078	LS	LS	0	0	5	6	14	NA	NA	TRUE
NMB	NG-A0611_NMB_libLAB6080	NMB	NMB	0	0	6	7	15	NA	NA	TRUE
SH_SY5Y	NG-A0611_SHSY5Y_libLAB6081	SH_SY5Y	SH_SY5Y	0	0	7	8	16	NA	NA	TRUE
SIMA	NG-A0611_SIMA_libLAB6086	SIMA	SIMA	0	0	8	9	17	NA	NA	TRUE
SK_N_BE_2	NG-A0611_SKNBE2_libLAB6076	SK_N_BE_2	SK_N_BE_2	0	0	9	10	18	NA	NA	TRUE
