analysis.workflow_type	cases.0.project.project_id	cases.0.samples.0.portions.0.analytes.0.aliquots.0.submitter_id	cases.0.samples.0.sample_type	cases.0.samples.0.submitter_id	cases.0.samples.0.tissue_type	cases.0.submitter_id	data_category	data_type	experimental_strategy	file_id	file_name	id
STAR - Counts	TARGET-NBL	TARGET-30-PANNMS-01A-01R	Primary Tumor	TARGET-30-PANNMS-01A	Tumor	TARGET-30-PANNMS	Transcriptome Profiling	Gene Expression Quantification	RNA-Seq	1fa4775c-97a0-4970-81b1-8978d713f333	52dbdf4b-a88d-4ffc-8208-08c32da9f256.rna_seq.augmented_star_gene_counts.tsv	1fa4775c-97a0-4970-81b1-8978d713f333
STAR - Counts	TARGET-NBL	TARGET-30-PANRHJ-01A-01R	Primary Tumor	TARGET-30-PANRHJ-01A	Tumor	TARGET-30-PANRHJ	Transcriptome Profiling	Gene Expression Quantification	RNA-Seq	9c89f980-dac3-4fa5-806d-19ebfbc90bd4	f534423e-b298-426e-a77b-7d1c951a03e9.rna_seq.augmented_star_gene_counts.tsv	9c89f980-dac3-4fa5-806d-19ebfbc90bd4
STAR - Counts	TARGET-NBL	TARGET-30-PASTCN-01A-01R	Primary Tumor	TARGET-30-PASTCN-01A	Tumor	TARGET-30-PASTCN	Transcriptome Profiling	Gene Expression Quantification	RNA-Seq	2c014c46-7727-489e-b38e-ba48908353c7	524db55b-d419-4426-a608-c479514bbd0f.rna_seq.augmented_star_gene_counts.tsv	2c014c46-7727-489e-b38e-ba48908353c7
STAR - Counts	TARGET-NBL	TARGET-30-PANYGR-01A-01R	Primary Tumor	TARGET-30-PANYGR-01A	Tumor	TARGET-30-PANYGR	Transcriptome Profiling	Gene Expression Quantification	RNA-Seq	6b73e53a-6ea3-4057-b789-70aad686beef	7bc6dedd-f7c7-4699-82bc-535b7dbb23a7.rna_seq.augmented_star_gene_counts.tsv	6b73e53a-6ea3-4057-b789-70aad686beef
STAR - Counts	TARGET-NBL	TARGET-30-PASXRJ-01A-01R	Primary Tumor	TARGET-30-PASXRJ-01A	Tumor	TARGET-30-PASXRJ	Transcriptome Profiling	Gene Expression Quantification	RNA-Seq	6db8b2db-c9d6-4e2f-a752-c916bfeb7e32	ee0253c1-4364-4752-9c04-047d6b8eb855.rna_seq.augmented_star_gene_counts.tsv	6db8b2db-c9d6-4e2f-a752-c916bfeb7e32
STAR - Counts	TARGET-NBL	TARGET-30-PANKFE-01A-01R	Primary Tumor	TARGET-30-PANKFE-01A	Tumor	TARGET-30-PANKFE	Transcriptome Profiling	Gene Expression Quantification	RNA-Seq	7950624f-4a23-40a8-98ca-65aeda725c72	ae72e06a-0ca8-4064-8310-71b78988210b.rna_seq.augmented_star_gene_counts.tsv	7950624f-4a23-40a8-98ca-65aeda725c72
STAR - Counts	TARGET-NBL	TARGET-30-PATEPF-01A-01R	Primary Tumor	TARGET-30-PATEPF-01A	Tumor	TARGET-30-PATEPF	Transcriptome Profiling	Gene Expression Quantification	RNA-Seq	e8349cf7-6ce1-4175-ae1b-8b50c3c1aa66	f166603b-14a1-46f6-a774-0a1df38643e9.rna_seq.augmented_star_gene_counts.tsv	e8349cf7-6ce1-4175-ae1b-8b50c3c1aa66
STAR - Counts	TARGET-NBL	TARGET-30-PASUYG-01A-01R	Primary Tumor	TARGET-30-PASUYG-01A	Tumor	TARGET-30-PASUYG	Transcriptome Profiling	Gene Expression Quantification	RNA-Seq	42356fe2-5745-4b56-ac1d-98bfe917c2ce	efcf8d5b-7254-4ecd-8b18-0850657e189a.rna_seq.augmented_star_gene_counts.tsv	42356fe2-5745-4b56-ac1d-98bfe917c2ce
STAR - Counts	TARGET-NBL	TARGET-30-PASZPI-01A-01R	Primary Tumor	TARGET-30-PASZPI-01A	Tumor	TARGET-30-PASZPI	Transcriptome Profiling	Gene Expression Quantification	RNA-Seq	3dac5610-7a93-4ec0-b119-fc8e82432d24	dad30bf4-32ac-478c-b141-829926a5f194.rna_seq.augmented_star_gene_counts.tsv	3dac5610-7a93-4ec0-b119-fc8e82432d24
STAR - Counts	TARGET-NBL	TARGET-30-PASGUT-01A-01R	Primary Tumor	TARGET-30-PASGUT-01A	Tumor	TARGET-30-PASGUT	Transcriptome Profiling	Gene Expression Quantification	RNA-Seq	43e2d941-8772-4c7e-b1e0-f3eec11ac4c6	e9ca0fd8-43ca-48a2-b114-909cb5d9a442.rna_seq.augmented_star_gene_counts.tsv	43e2d941-8772-4c7e-b1e0-f3eec11ac4c6
STAR - Counts	TARGET-NBL	TARGET-30-PASJZC-01A-01R	Primary Tumor	TARGET-30-PASJZC-01A	Tumor	TARGET-30-PASJZC	Transcriptome Profiling	Gene Expression Quantification	RNA-Seq	27a083ee-3445-4cde-8ef8-d97e6973075f	29cf1337-b0d1-4f6d-8e12-202e9685f704.rna_seq.augmented_star_gene_counts.tsv	27a083ee-3445-4cde-8ef8-d97e6973075f
