analysis.workflow_type	cases.0.project.project_id	cases.0.samples.0.portions.0.analytes.0.aliquots.0.submitter_id	cases.0.samples.0.sample_type	cases.0.samples.0.submitter_id	cases.0.samples.0.tissue_type	cases.0.submitter_id	data_category	data_type	experimental_strategy	file_id	file_name	id
STAR - Counts	TARGET-NBL	TARGET-30-PASGAP-02A-01R	Recurrent Tumor	TARGET-30-PASGAP-02A	Tumor	TARGET-30-PASGAP	Transcriptome Profiling	Gene Expression Quantification	RNA-Seq	597a7a69-9fcb-4869-8e98-e6821246680e	ef013df1-882b-4708-a8bc-92e86d4a2ee9.rna_seq.augmented_star_gene_counts.tsv	597a7a69-9fcb-4869-8e98-e6821246680e
STAR - Counts	TARGET-NBL	TARGET-30-PASGAP-01A-01R	Primary Tumor	TARGET-30-PASGAP-01A	Tumor	TARGET-30-PASGAP	Transcriptome Profiling	Gene Expression Quantification	RNA-Seq	ab5ba795-fa68-47fb-8e0b-e94057438812	a79dd814-10f5-47d8-94f6-b0dfc1e2acca.rna_seq.augmented_star_gene_counts.tsv	ab5ba795-fa68-47fb-8e0b-e94057438812
STAR - Counts	TARGET-NBL	TARGET-30-PAKZRH-01A-01R	Primary Tumor	TARGET-30-PAKZRH-01A	Tumor	TARGET-30-PAKZRH	Transcriptome Profiling	Gene Expression Quantification	RNA-Seq	9d1ad432-b63f-4a33-a5d0-0a0dcfc3dcf0	c7c76c3f-fd2e-4df6-b963-fad109de26bf.rna_seq.augmented_star_gene_counts.tsv	9d1ad432-b63f-4a33-a5d0-0a0dcfc3dcf0
STAR - Counts	TARGET-NBL	TARGET-30-PARFRE-01A-01R	Primary Tumor	TARGET-30-PARFRE-01A	Tumor	TARGET-30-PARFRE	Transcriptome Profiling	Gene Expression Quantification	RNA-Seq	8a9bd3b2-504d-428e-b0bb-efe3f13ef748	3339d3ad-0ace-4e90-80c4-13aa9ffb0617.rna_seq.augmented_star_gene_counts.tsv	8a9bd3b2-504d-428e-b0bb-efe3f13ef748
STAR - Counts	TARGET-NBL	TARGET-30-PATINJ-01A-01R	Primary Tumor	TARGET-30-PATINJ-01A	Tumor	TARGET-30-PATINJ	Transcriptome Profiling	Gene Expression Quantification	RNA-Seq	a95056ea-3968-4b0a-b6f6-24d3cb1d00d6	b0a13a47-8b26-4ee7-bfed-3c9f9256a1b7.rna_seq.augmented_star_gene_counts.tsv	a95056ea-3968-4b0a-b6f6-24d3cb1d00d6
STAR - Counts	TARGET-NBL	TARGET-30-PASWYR-01A-01R	Primary Tumor	TARGET-30-PASWYR-01A	Tumor	TARGET-30-PASWYR	Transcriptome Profiling	Gene Expression Quantification	RNA-Seq	2669e096-ea0e-42fd-81bd-a3d3eabf1cf0	ea5a9230-d394-46c8-a6bd-cd1857082394.rna_seq.augmented_star_gene_counts.tsv	2669e096-ea0e-42fd-81bd-a3d3eabf1cf0
STAR - Counts	TARGET-NBL	TARGET-30-PARBGP-01A-01R	Primary Tumor	TARGET-30-PARBGP-01A	Tumor	TARGET-30-PARBGP	Transcriptome Profiling	Gene Expression Quantification	RNA-Seq	9f310f91-dfc9-4b34-857d-881ddfbd5f88	95d793e9-faa2-46e7-a69e-945df363f30f.rna_seq.augmented_star_gene_counts.tsv	9f310f91-dfc9-4b34-857d-881ddfbd5f88
STAR - Counts	TARGET-NBL	TARGET-30-PASWFB-01A-01R	Primary Tumor	TARGET-30-PASWFB-01A	Tumor	TARGET-30-PASWFB	Transcriptome Profiling	Gene Expression Quantification	RNA-Seq	955e62d8-cc8b-4e13-8ccd-ad1eac1a58e0	2315361e-9278-4358-bd5d-f1f91349ee1f.rna_seq.augmented_star_gene_counts.tsv	955e62d8-cc8b-4e13-8ccd-ad1eac1a58e0
STAR - Counts	TARGET-NBL	TARGET-30-PAPTLV-01A-01R	Primary Tumor	TARGET-30-PAPTLV-01A	Tumor	TARGET-30-PAPTLV	Transcriptome Profiling	Gene Expression Quantification	RNA-Seq	a86a8c27-4004-4ed9-972b-21e6233b0053	f905cbd1-1180-4905-aef0-214af85c6afd.rna_seq.augmented_star_gene_counts.tsv	a86a8c27-4004-4ed9-972b-21e6233b0053
STAR - Counts	TARGET-NBL	TARGET-30-PANJLH-01A-01R	Primary Tumor	TARGET-30-PANJLH-01A	Tumor	TARGET-30-PANJLH	Transcriptome Profiling	Gene Expression Quantification	RNA-Seq	8049ef59-40de-4857-8717-a4e5f2b3f354	eeb86ed2-1432-4f6c-8f54-b4f326d27427.rna_seq.augmented_star_gene_counts.tsv	8049ef59-40de-4857-8717-a4e5f2b3f354
STAR - Counts	TARGET-NBL	TARGET-30-PANLET-01A-01R	Primary Tumor	TARGET-30-PANLET-01A	Tumor	TARGET-30-PANLET	Transcriptome Profiling	Gene Expression Quantification	RNA-Seq	fd82a48e-1ee6-4deb-bd56-92697d1db784	56070314-9966-4ce5-89cf-4eb50992b5ed.rna_seq.augmented_star_gene_counts.tsv	fd82a48e-1ee6-4deb-bd56-92697d1db784
STAR - Counts	TARGET-NBL	TARGET-30-PANRVJ-01A-01R	Primary Tumor	TARGET-30-PANRVJ-01A	Tumor	TARGET-30-PANRVJ	Transcriptome Profiling	Gene Expression Quantification	RNA-Seq	78d4a14c-076e-449a-87c1-09ce9fbc3c63	44ff3028-d64f-48bb-a014-42a1e36c4e0e.rna_seq.augmented_star_gene_counts.tsv	78d4a14c-076e-449a-87c1-09ce9fbc3c63
