node1	node2	reciprocal	support_directions	support_weight_mean	support_weight_sum	support_weight_max	methods_union
BT_474	EFM_192C	1	16	0.560959009074985	8.97534414519976	0.6619582164016214	Entropy_euc;HVG_corr;HVG_euc;MAD_corr;MX_corr;MX_euc;MeanAbsDev_corr;MeanAbsDev_euc;PCA_corr;PCA_euc;Spearman_corr;Spearman_euc;Variance_corr;Variance_euc;pam50_corr;pam50_euc
HCC_1143	HDQ_P1	1	15	0.6717212366560903	10.075818549841355	0.8133161280382112	Entropy_corr;Entropy_euc;HVG_corr;HVG_euc;MAD_corr;MAD_euc;MX_corr;MX_euc;MeanAbsDev_euc;PCA_corr;PCA_euc;Variance_corr;Variance_euc;pam50_corr;pam50_euc
CAL_148	MFM_223	1	15	0.6617968240342874	9.926952360514312	0.7928962037075589	Entropy_corr;Entropy_euc;HVG_corr;HVG_euc;MAD_corr;MAD_euc;MeanAbsDev_corr;MeanAbsDev_euc;PCA_corr;PCA_euc;Spearman_euc;Variance_corr;Variance_euc;kTotal_corr;kTotal_euc
HCC_1143	HCC_1599	1	15	0.6498601524079499	9.747902286119249	0.8532920082561715	Entropy_euc;HVG_corr;HVG_euc;MAD_euc;MX_corr;MX_euc;MeanAbsDev_corr;MeanAbsDev_euc;PCA_corr;PCA_euc;Spearman_euc;Variance_euc;kTotal_euc;pam50_corr;pam50_euc
CAL_120	MDA_MB_231	1	15	0.6334420530432412	9.501630795648618	0.7598896554777008	Entropy_corr;Entropy_euc;MAD_corr;MAD_euc;MX_corr;MeanAbsDev_corr;MeanAbsDev_euc;PCA_corr;PCA_euc;Spearman_corr;Spearman_euc;Variance_corr;Variance_euc;kTotal_euc;pam50_corr
CAL_85_1	HCC_1143	1	13	0.6521822593506853	8.478369371558909	0.7930039397142151	Entropy_euc;HVG_corr;HVG_euc;MAD_euc;MX_corr;MX_euc;MeanAbsDev_euc;PCA_corr;PCA_euc;Spearman_euc;Variance_euc;pam50_corr;pam50_euc
CAL_120	CAL_51	1	12	0.6725780851275885	8.070937021531062	0.8627724965153691	Entropy_corr;MAD_corr;MX_corr;MX_euc;MeanAbsDev_corr;PCA_corr;Spearman_corr;Spearman_euc;Variance_corr;kTotal_corr;kTotal_euc;pam50_corr
EFM_192A	IPH_926	1	12	0.5803782219124692	6.964538662949631	0.6172803010748724	Entropy_corr;Entropy_euc;HVG_corr;HVG_euc;MAD_corr;MAD_euc;MeanAbsDev_corr;MeanAbsDev_euc;PCA_euc;Spearman_corr;Variance_corr;Variance_euc
COLO_824	HCC_1599	1	11	0.6402463934141192	7.0427103275553105	0.7052631578947368	Entropy_corr;HVG_corr;HVG_euc;MAD_corr;MX_corr;MeanAbsDev_corr;MeanAbsDev_euc;PCA_corr;PCA_euc;Variance_corr;Variance_euc
HCC_1937	MDA_MB_468	1	11	0.6113192473519149	6.724511720871064	0.7793148934963928	Entropy_corr;HVG_corr;MAD_corr;MX_corr;MeanAbsDev_corr;PCA_corr;Spearman_corr;Spearman_euc;Variance_corr;pam50_corr;pam50_euc
KPL_1	T_47D	1	11	0.5934944669499794	6.528439136449774	0.8469047731793119	Entropy_corr;HVG_euc;MX_euc;MeanAbsDev_euc;PCA_corr;PCA_euc;Spearman_euc;Variance_euc;kTotal_corr;kTotal_euc;pam50_corr
EFM_192A	EFM_192C	1	11	0.591086158640158	6.501947745041738	0.6542970207292281	Entropy_euc;HVG_euc;MAD_corr;MAD_euc;MX_euc;MeanAbsDev_euc;PCA_euc;Spearman_corr;Spearman_euc;Variance_corr;Variance_euc
MCF_7	MFM_223	1	10	0.6270842064928881	6.270842064928881	0.8736113043161096	Entropy_corr;Entropy_euc;MAD_euc;MX_euc;MeanAbsDev_euc;Spearman_corr;Spearman_euc;Variance_euc;kTotal_corr;kTotal_euc
BT_474	CAL_148	1	10	0.6178795658832132	6.178795658832133	0.7259709299759459	Entropy_euc;HVG_corr;HVG_euc;MAD_euc;MX_euc;MeanAbsDev_corr;MeanAbsDev_euc;PCA_euc;Spearman_euc;Variance_euc
EFM_192A	SK_BR_3	1	10	0.6023843029420488	6.0238430294204885	0.7141947776523847	HVG_corr;HVG_euc;MAD_euc;MX_euc;MeanAbsDev_corr;MeanAbsDev_euc;PCA_euc;Variance_corr;Variance_euc;kTotal_euc
MCF_7	T_47D	1	10	0.5744891241825213	5.744891241825213	0.8368324977832905	Entropy_corr;MX_euc;PCA_euc;Spearman_corr;Spearman_euc;Variance_euc;kTotal_corr;kTotal_euc;pam50_corr;pam50_euc
EFM_192C	IPH_926	1	10	0.5558685325694868	5.558685325694867	0.6141394744360731	Entropy_euc;HVG_corr;HVG_euc;MAD_euc;MX_euc;MeanAbsDev_euc;PCA_euc;Spearman_corr;Spearman_euc;Variance_euc
