cell_line	sample_id	cell_tech_id	cell_line_display	degree	betweenness	component	community_louv	community_leid	mean_edge_sim	max_edge_sim	is_outlier
IMR_32	NG-A0611_IMR32_libLAB6079	IMR_32	IMR_32	4	0.8333333333333333	1	1	1	0.8219900531276076	0.8709386281588448	FALSE
NMB	NG-A0611_NMB_libLAB6080	NMB	NMB	2	0.3333333333333333	1	1	10	0.7623170961002497	0.791311017250932	FALSE
MHH_NB_11	NG-A0611_MHHNB11_libLAB6084	MHH_NB_11	MHH_NB_11	1	0	2	2	11	0.7507378408148669	0.7507378408148669	FALSE
LAN1	NG-A0611_LAN1_libLAB6085	LAN1	LAN1	4	0.8333333333333333	1	1	2	0.8130164623587425	0.8709386281588448	FALSE
LAN5	NG-A0611_LAN5_libLAB6087	LAN5	LAN5	4	2	1	1	3	0.7732048772284714	0.814506154171478	FALSE
KELLY	NG-A0611_KELLY_libLAB6075	KELLY	KELLY	3	1	2	2	4	0.8435619735258725	0.894404332129964	FALSE
NBL_S	NG-A0611_NBLS_libLAB6077	NBL_S	NBL_S	3	1	2	2	5	0.8435619735258725	0.894404332129964	FALSE
CHP_134	NG-A0611_CHP134_libLAB6074	CHP_134	CHP_134	3	0	1	1	6	0.8032596786954791	0.8575946867702677	FALSE
SIMA	NG-A0611_SIMA_libLAB6086	SIMA	SIMA	3	3	2	2	7	0.7682964884545345	0.8122743682310469	FALSE
CHP_126	NG-A0611_CHP126_libLAB6088	CHP_126	CHP_126	3	1	1	1	8	0.7681158803303861	0.791311017250932	FALSE
LAN6	NG-A0611_LAN6_libLAB6089	LAN6	LAN6	2	0	2	2	9	0.8592057761732852	0.894404332129964	FALSE
CCLF_PEDS_0051_T	NG-A2798_CCLF_PEDS_0051_T_libLAI2540	CCLF_PEDS_0051_T	CCLF_PEDS_0051_T	0	0	3	3	12	NA	NA	TRUE
GI_ME_N	NG-A0611_GIMEN_libLAB6073	GI_ME_N	GI_ME_N	0	0	4	4	13	NA	NA	TRUE
LAN2	NG-A0611_LAN2_libLAB6083	LAN2	LAN2	0	0	5	5	14	NA	NA	TRUE
LS	NG-A0611_LS_libLAB6078	LS	LS	0	0	6	6	15	NA	NA	TRUE
NGP	NG-A0611_NGP_libLAB6082	NGP	NGP	0	0	7	7	16	NA	NA	TRUE
SH_SY5Y	NG-A0611_SHSY5Y_libLAB6081	SH_SY5Y	SH_SY5Y	0	0	8	8	17	NA	NA	TRUE
SK_N_BE_2	NG-A0611_SKNBE2_libLAB6076	SK_N_BE_2	SK_N_BE_2	0	0	9	9	18	NA	NA	TRUE
