cell_tech_id	tumour_id	n_methods	p_consensus	sample_id	cell_line	cell_line_canonical	cell_line_display
CELL:BT_474	TCGA-A2-A0CU-01A-12R-A034-07	2	1	NG-29643_BT_474_lib581288_7997_4	BT_474	BT_474	BT_474
CELL:BT_474	TCGA-A2-A4S0-01A-21R-A266-07	2	1	NG-29643_BT_474_lib581288_7997_4	BT_474	BT_474	BT_474
CELL:BT_474	TCGA-A7-A3IZ-01A-11R-A213-07	2	1	NG-29643_BT_474_lib581288_7997_4	BT_474	BT_474	BT_474
CELL:BT_474	TCGA-A8-A09E-01A-11R-A00Z-07	2	1	NG-29643_BT_474_lib581288_7997_4	BT_474	BT_474	BT_474
CELL:BT_474	TCGA-B6-A0IB-01A-11R-A034-07	2	1	NG-29643_BT_474_lib581288_7997_4	BT_474	BT_474	BT_474
CELL:BT_474	TCGA-B6-A0RO-01A-22R-A084-07	2	1	NG-29643_BT_474_lib581288_7997_4	BT_474	BT_474	BT_474
CELL:BT_474	TCGA-B6-A0X0-01A-21R-A115-07	2	1	NG-29643_BT_474_lib581288_7997_4	BT_474	BT_474	BT_474
CELL:BT_474	TCGA-B6-A0X4-01A-11R-A109-07	2	1	NG-29643_BT_474_lib581288_7997_4	BT_474	BT_474	BT_474
CELL:BT_474	TCGA-B6-A0X5-01A-21R-A109-07	2	1	NG-29643_BT_474_lib581288_7997_4	BT_474	BT_474	BT_474
CELL:BT_474	TCGA-BH-A0HL-01A-11R-A10U-07	2	1	NG-29643_BT_474_lib581288_7997_4	BT_474	BT_474	BT_474
CELL:BT_474	TCGA-BH-A0HW-01A-11R-A034-07	2	1	NG-29643_BT_474_lib581288_7997_4	BT_474	BT_474	BT_474
CELL:BT_474	TCGA-BH-A0W3-01A-11R-A109-07	2	1	NG-29643_BT_474_lib581288_7997_4	BT_474	BT_474	BT_474
CELL:BT_474	TCGA-BH-A18N-01A-11R-A12D-07	2	1	NG-29643_BT_474_lib581288_7997_4	BT_474	BT_474	BT_474
CELL:BT_474	TCGA-C8-A274-01A-11R-A16F-07	2	1	NG-29643_BT_474_lib581288_7997_4	BT_474	BT_474	BT_474
CELL:BT_474	TCGA-E2-A156-01A-11R-A12D-07	2	1	NG-29643_BT_474_lib581288_7997_4	BT_474	BT_474	BT_474
CELL:BT_474	TCGA-E2-A15G-01A-11R-A12D-07	2	1	NG-29643_BT_474_lib581288_7997_4	BT_474	BT_474	BT_474
CELL:BT_474	TCGA-E9-A228-01A-31R-A157-07	2	1	NG-29643_BT_474_lib581288_7997_4	BT_474	BT_474	BT_474
CELL:BT_474	TCGA-E9-A247-01A-11R-A169-07	2	1	NG-29643_BT_474_lib581288_7997_4	BT_474	BT_474	BT_474
CELL:BT_474	TCGA-LQ-A4E4-01A-11R-A266-07	2	1	NG-29643_BT_474_lib581288_7997_4	BT_474	BT_474	BT_474
CELL:BT_474	TCGA-S3-AA11-01A-31R-A41B-07	2	1	NG-29643_BT_474_lib581288_7997_4	BT_474	BT_474	BT_474
CELL:BT_474	TCGA-A8-A06Z-01A-11R-A00Z-07	1	0.5	NG-29643_BT_474_lib581288_7997_4	BT_474	BT_474	BT_474
CELL:BT_474	TCGA-AC-A2FM-01A-11R-A19W-07	1	0.5	NG-29643_BT_474_lib581288_7997_4	BT_474	BT_474	BT_474
CELL:BT_474	TCGA-AO-A1KP-01A-11R-A13Q-07	1	0.5	NG-29643_BT_474_lib581288_7997_4	BT_474	BT_474	BT_474
CELL:BT_474	TCGA-B6-A0RM-01A-11R-A084-07	1	0.5	NG-29643_BT_474_lib581288_7997_4	BT_474	BT_474	BT_474
CELL:BT_474	TCGA-B6-A0WV-01A-11R-A109-07	1	0.5	NG-29643_BT_474_lib581288_7997_4	BT_474	BT_474	BT_474
CELL:BT_474	TCGA-B6-A0WZ-01A-11R-A109-07	1	0.5	NG-29643_BT_474_lib581288_7997_4	BT_474	BT_474	BT_474
CELL:BT_474	TCGA-BH-A1FJ-01A-11R-A13Q-07	1	0.5	NG-29643_BT_474_lib581288_7997_4	BT_474	BT_474	BT_474
CELL:BT_474	TCGA-D8-A13Y-01A-11R-A115-07	1	0.5	NG-29643_BT_474_lib581288_7997_4	BT_474	BT_474	BT_474
CELL:BT_474	TCGA-D8-A1XC-01A-11R-A14D-07	1	0.5	NG-29643_BT_474_lib581288_7997_4	BT_474	BT_474	BT_474
CELL:BT_474	TCGA-E2-A105-01A-11R-A10J-07	1	0.5	NG-29643_BT_474_lib581288_7997_4	BT_474	BT_474	BT_474
CELL:BT_474	TCGA-E2-A107-01A-11R-A10J-07	1	0.5	NG-29643_BT_474_lib581288_7997_4	BT_474	BT_474	BT_474
CELL:BT_474	TCGA-E2-A15J-01A-11R-A12P-07	1	0.5	NG-29643_BT_474_lib581288_7997_4	BT_474	BT_474	BT_474
CELL:BT_474	TCGA-E2-A15R-01A-11R-A115-07	1	0.5	NG-29643_BT_474_lib581288_7997_4	BT_474	BT_474	BT_474
CELL:BT_474	TCGA-E2-A1B4-01A-11R-A12P-07	1	0.5	NG-29643_BT_474_lib581288_7997_4	BT_474	BT_474	BT_474
CELL:BT_474	TCGA-E2-A1IE-01A-11R-A13Q-07	1	0.5	NG-29643_BT_474_lib581288_7997_4	BT_474	BT_474	BT_474
