gene_id	NG-A0611_CHP134_libLAB6074	NG-A0611_NGP_libLAB6082	NG-A0611_KELLY_libLAB6075	NG-A0611_NBLS_libLAB6077	NG-A0611_LAN2_libLAB6083	NG-A0611_NMB_libLAB6080	NG-A0611_SKNBE2_libLAB6076	NG-A0611_CHP126_libLAB6088	NG-A0611_GIMEN_libLAB6073	NG-A0611_LAN1_libLAB6085	NG-A2798_CCLF_PEDS_0051_T_libLAI2540	NG-A0611_IMR32_libLAB6079	NG-A0611_LAN5_libLAB6087	NG-A0611_LS_libLAB6078	NG-A0611_LAN6_libLAB6089	NG-A0611_MHHNB11_libLAB6084	NG-A0611_SHSY5Y_libLAB6081	NG-A0611_SIMA_libLAB6086
ENSG00000000003	10.776752902366859	9.828471550445549	10.048658301651667	10.086827360509444	9.419984182203136	6.6516640715191135	5.840479742327958	10.024573124296973	5.880784432568081	9.641237201082498	11.018816654240156	10.457006383696147	9.949604928741916	10.564440825891113	4.854554945920047	9.637235184526228	10.003248436300456	9.962896188595225
ENSG00000000005	2.508769588172663	2.508769588172663	2.508769588172663	2.508769588172663	2.508769588172663	2.508769588172663	2.508769588172663	2.508769588172663	2.508769588172663	2.508769588172663	2.508769588172663	6.354761727662482	2.508769588172663	2.508769588172663	2.508769588172663	2.508769588172663	2.508769588172663	2.508769588172663
ENSG00000000419	11.253145500710728	10.221947325948872	9.757804226962438	10.13296996961294	11.717515638931287	10.42197949902643	10.289879033733067	10.104194634612524	11.469717509480471	9.714216294942215	9.844954272533355	9.752885530883823	9.665721533225652	9.423808252120168	10.04244012159305	10.000937132620658	10.491671153274924	10.961332678659804
ENSG00000000457	8.626779441085736	10.051318382071747	9.302360252798529	9.803696929359045	9.911204775696104	9.338537068179667	8.816871592177609	9.752698819622932	8.802257086105474	9.324878509067158	9.139585137020926	9.520218340815678	9.25257761339752	9.82976579320813	9.586927608913197	9.146757562528755	9.492618056599726	8.880276713695048
ENSG00000000460	9.477381284066826	9.297937362618423	9.540875667785901	9.138079654533636	9.950319460129606	8.961791385762421	9.804983342217154	9.294339199862979	9.610920231684089	9.376524438913483	5.923182823635696	9.399698710787447	8.846390765077624	9.634570563277356	8.867387491892403	8.59957239319323	9.520896383831401	7.16487127916004
ENSG00000000938	3.1801306328441705	2.508769588172663	2.508769588172663	8.852545184212499	2.508769588172663	2.508769588172663	8.1417000632045191	2.508769588172663	2.508769588172663	2.508769588172663	2.508769588172663	8.326972326355074	2.508769588172663	2.508769588172663	2.508769588172663	9.219772646493809	2.508769588172663	2.508769588172663
ENSG00000000971	2.508769588172663	8.444276796464774	3.124041388323779	6.679111842310076	2.508769588172663	8.489921347104561	7.473831314108788	7.8756733173347415	11.721356674989545	2.508769588172663	15.55136234643845	2.508769588172663	2.508769588172663	7.54619267929975	2.508769588172663	2.508769588172663	3.190907379104721	3.1945266731097464
ENSG00000001036	3.1801306328441705	5.973166542995297	2.508769588172663	10.654276874419601	6.020370158720118	2.508769588172663	10.682221160107844	2.508769588172663	11.191096446791978	10.41672066890193	11.69924081396693	5.5830279448913505	5.639018147809334	10.633992245494106	9.323184811937924	9.975864104344152	10.546467793471482	9.67680864354636
ENSG00000001084	10.680753945405607	10.25377847002775	10.196823176862878	9.22586411371555	10.125724453796323	10.938641446660256	10.287645241632456	10.63577497831678	8.303127190535672	10.222579805653536	11.651280322630898	11.189306432435618	10.40470213715233	10.697252837171947	9.51078795981988	9.953775970624807	9.585611590024994	9.99474347724673
ENSG00000001167	11.383548056643159	10.167840114418079	10.447579860232478	9.471041903992022	9.56144241019189	10.420845317506876	10.346775802162943	10.057383550911435	10.108142198867329	9.730545941698699	9.359510242040342	11.129468133489446	10.58267074818117	10.869175714757148	10.146744123618742	9.514918424846035	10.095020855903746	9.918658144787072
