sample_id	cell_line	cell_line_display	Cell_Line	Disease	Project_id
NG-A0611_CHP134_libLAB6074	CHP_134	CHP-134	CHP-134	Neuroblastoma	NG-A0611
NG-A0611_NGP_libLAB6082	NGP	NGP	NGP	Neuroblastoma	NG-A0611
NG-A0611_KELLY_libLAB6075	KELLY	KELLY	KELLY	Neuroblastoma	NG-A0611
NG-A0611_NBLS_libLAB6077	NBL_S	NBL-S	NBL-S	Neuroblastoma	NG-A0611
NG-A0611_LAN2_libLAB6083	LAN2	LAN-2	LAN-2	Neuroblastoma	NG-A0611
NG-A0611_NMB_libLAB6080	NMB	NMB	NMB	Neuroblastoma	NG-A0611
NG-A0611_SKNBE2_libLAB6076	SK_N_BE_2	SK-N-BE-2	SK-N-BE-2	Neuroblastoma	NG-A0611
NG-A0611_CHP126_libLAB6088	CHP_126	CHP-126	CHP-126	Neuroblastoma	NG-A0611
NG-A0611_GIMEN_libLAB6073	GI_ME_N	GI-ME-N	GI-ME-N	Neuroblastoma	NG-A0611
NG-A0611_LAN1_libLAB6085	LAN1	LAN-1	LAN-1	Neuroblastoma	NG-A0611
NG-A2798_CCLF_PEDS_0051_T_libLAI2540	CCLF_PEDS_0051_T	CCLF_PEDS_0051_T	CCLF_PEDS_0051_T	Neuroblastoma	NG-A2798
NG-A0611_IMR32_libLAB6079	IMR_32	IMR-32	IMR-32	Neuroblastoma	NG-A0611
NG-A0611_LAN5_libLAB6087	LAN5	LAN-5	LAN-5	Neuroblastoma	NG-A0611
NG-A0611_LS_libLAB6078	LS	LS	LS	Neuroblastoma	NG-A0611
NG-A0611_LAN6_libLAB6089	LAN6	LAN-6	LAN-6	Neuroblastoma	NG-A0611
NG-A0611_MHHNB11_libLAB6084	MHH_NB_11	MHH-NB-11	MHH-NB-11	Neuroblastoma	NG-A0611
NG-A0611_SHSY5Y_libLAB6081	SH_SY5Y	SH-SY5Y	SH-SY5Y	Neuroblastoma	NG-A0611
NG-A0611_SIMA_libLAB6086	SIMA	SIMA	SIMA	Neuroblastoma	NG-A0611
