"sample_id","tcga_cohort","rho"
"NG-A0611_CHP126_libLAB6088","UVM",0.465324875389962
"NG-A0611_CHP134_libLAB6074","ACC",0.494823485062032
"NG-A0611_CHP134_libLAB6074","BLCA",0.31449306362984
"NG-A0611_CHP134_libLAB6074","BRCA",0.455474430158649
"NG-A0611_CHP134_libLAB6074","CESC",0.258088176103747
"NG-A0611_CHP134_libLAB6074","CHOL",0.318162208497955
"NG-A0611_CHP134_libLAB6074","COAD",0.217244831738092
"NG-A0611_CHP134_libLAB6074","DLBC",0.170600776260745
"NG-A0611_CHP134_libLAB6074","ESCA",0.326923968350562
"NG-A0611_CHP134_libLAB6074","GBM",0.557303887371074
"NG-A0611_CHP134_libLAB6074","HNSC",0.297433929262677
"NG-A0611_CHP134_libLAB6074","KICH",0.375017015255531
"NG-A0611_CHP134_libLAB6074","KIRC",0.395657039497394
"NG-A0611_CHP134_libLAB6074","KIRP",0.343264046397989
"NG-A0611_CHP134_libLAB6074","LAML",0.0935188141219711
"NG-A0611_CHP134_libLAB6074","LGG",0.582652384240408
"NG-A0611_CHP134_libLAB6074","LIHC",0.263108770337584
"NG-A0611_CHP134_libLAB6074","LUAD",0.302853838982134
"NG-A0611_CHP134_libLAB6074","LUSC",0.3445664437375
"NG-A0611_CHP134_libLAB6074","MESO",0.455170928167777
"NG-A0611_CHP134_libLAB6074","OV",0.394966181879653
"NG-A0611_CHP134_libLAB6074","PAAD",0.355853561390066
"NG-A0611_CHP134_libLAB6074","PCPG",0.585074959874988
"NG-A0611_CHP134_libLAB6074","PRAD",0.458119966740016
"NG-A0611_CHP134_libLAB6074","READ",0.230374098485863
"NG-A0611_CHP134_libLAB6074","SARC",0.617540304033065
"NG-A0611_CHP134_libLAB6074","SKCM",0.470021263291995
"NG-A0611_CHP134_libLAB6074","STAD",0.290266780649482
"NG-A0611_CHP134_libLAB6074","TGCT",0.449107601476102
"NG-A0611_CHP134_libLAB6074","THCA",0.393246259992697
"NG-A0611_CHP134_libLAB6074","THYM",0.303115299554483
"NG-A0611_CHP134_libLAB6074","UCEC",0.419301666543291
"NG-A0611_CHP134_libLAB6074","UCS",0.639504708091578
"NG-A0611_CHP134_libLAB6074","UVM",0.486024123319801
"NG-A0611_GIMEN_libLAB6073","ACC",0.424520476536587
"NG-A0611_GIMEN_libLAB6073","BLCA",0.394506581359028
"NG-A0611_GIMEN_libLAB6073","BRCA",0.441094908839347
"NG-A0611_GIMEN_libLAB6073","CESC",0.331501889124396
"NG-A0611_GIMEN_libLAB6073","CHOL",0.363069479603556
"NG-A0611_GIMEN_libLAB6073","COAD",0.26249632669595
"NG-A0611_GIMEN_libLAB6073","DLBC",0.0685042206420873
"NG-A0611_GIMEN_libLAB6073","ESCA",0.397513864487056
"NG-A0611_GIMEN_libLAB6073","GBM",0.413367740157136
"NG-A0611_GIMEN_libLAB6073","HNSC",0.378855857439997
"NG-A0611_GIMEN_libLAB6073","KICH",0.343540996048106
"NG-A0611_GIMEN_libLAB6073","KIRC",0.383231877870614
"NG-A0611_GIMEN_libLAB6073","KIRP",0.365785083253812
"NG-A0611_GIMEN_libLAB6073","LAML",0.0414665843721089
"NG-A0611_GIMEN_libLAB6073","LGG",0.361255140089706
"NG-A0611_GIMEN_libLAB6073","LIHC",0.271398046489623
"NG-A0611_GIMEN_libLAB6073","LUAD",0.343967527710085
"NG-A0611_GIMEN_libLAB6073","LUSC",0.385172077388534
"NG-A0611_GIMEN_libLAB6073","MESO",0.44428405811537
"NG-A0611_GIMEN_libLAB6073","OV",0.369485114026178
"NG-A0611_GIMEN_libLAB6073","PAAD",0.395728981088153
"NG-A0611_GIMEN_libLAB6073","PCPG",0.387827085110104
"NG-A0611_GIMEN_libLAB6073","PRAD",0.386441560484923
"NG-A0611_GIMEN_libLAB6073","READ",0.266718752115308
"NG-A0611_GIMEN_libLAB6073","SARC",0.554580563816715
"NG-A0611_GIMEN_libLAB6073","SKCM",0.45021240694367
"NG-A0611_GIMEN_libLAB6073","STAD",0.322292860682404
"NG-A0611_GIMEN_libLAB6073","TGCT",0.277769543747144
"NG-A0611_GIMEN_libLAB6073","THCA",0.370809895301816
"NG-A0611_GIMEN_libLAB6073","THYM",0.209173627508772
"NG-A0611_GIMEN_libLAB6073","UCEC",0.376886696196145
"NG-A0611_GIMEN_libLAB6073","UCS",0.491848118234274
"NG-A0611_GIMEN_libLAB6073","UVM",0.367960666391816
"NG-A0611_IMR32_libLAB6079","ACC",0.504914886188731
"NG-A0611_IMR32_libLAB6079","BLCA",0.314808801523259
"NG-A0611_IMR32_libLAB6079","BRCA",0.47593724989506
"NG-A0611_IMR32_libLAB6079","CESC",0.236035511509303
"NG-A0611_IMR32_libLAB6079","CHOL",0.332294533004026
"NG-A0611_IMR32_libLAB6079","COAD",0.214344515034591
"NG-A0611_IMR32_libLAB6079","DLBC",0.166192054111551
"NG-A0611_IMR32_libLAB6079","ESCA",0.315502866131999
"NG-A0611_IMR32_libLAB6079","GBM",0.596344157983134
"NG-A0611_IMR32_libLAB6079","HNSC",0.281597893734648
"NG-A0611_IMR32_libLAB6079","KICH",0.394533137404418
"NG-A0611_IMR32_libLAB6079","KIRC",0.413688280576167
"NG-A0611_IMR32_libLAB6079","KIRP",0.356354359675665
"NG-A0611_IMR32_libLAB6079","LAML",0.102775632825809
"NG-A0611_IMR32_libLAB6079","LGG",0.619952183434789
"NG-A0611_IMR32_libLAB6079","LIHC",0.264799032759855
"NG-A0611_IMR32_libLAB6079","LUAD",0.307680104381932
"NG-A0611_IMR32_libLAB6079","LUSC",0.335909689105787
"NG-A0611_IMR32_libLAB6079","MESO",0.475688885880057
"NG-A0611_IMR32_libLAB6079","OV",0.412260805077892
"NG-A0611_IMR32_libLAB6079","PAAD",0.366375992221234
"NG-A0611_IMR32_libLAB6079","PCPG",0.626291350168024
"NG-A0611_IMR32_libLAB6079","PRAD",0.484261714352066
"NG-A0611_IMR32_libLAB6079","READ",0.228180826681355
"NG-A0611_IMR32_libLAB6079","SARC",0.650613778020576
"NG-A0611_IMR32_libLAB6079","SKCM",0.476281620470937
"NG-A0611_IMR32_libLAB6079","STAD",0.28594043864417
"NG-A0611_IMR32_libLAB6079","TGCT",0.457435063583749
"NG-A0611_IMR32_libLAB6079","THCA",0.419751735589414
"NG-A0611_IMR32_libLAB6079","THYM",0.323640613194124
"NG-A0611_IMR32_libLAB6079","UCEC",0.423656581181891
"NG-A0611_IMR32_libLAB6079","UCS",0.654791102475396
"NG-A0611_IMR32_libLAB6079","UVM",0.511736294057887
"NG-A0611_KELLY_libLAB6075","ACC",0.481236774523616
"NG-A0611_KELLY_libLAB6075","BLCA",0.313730781964967
"NG-A0611_KELLY_libLAB6075","BRCA",0.454608478642784
"NG-A0611_KELLY_libLAB6075","CESC",0.249481799741973
"NG-A0611_KELLY_libLAB6075","CHOL",0.314899341458118
"NG-A0611_KELLY_libLAB6075","COAD",0.214490883995771
"NG-A0611_KELLY_libLAB6075","DLBC",0.174302092575151
"NG-A0611_KELLY_libLAB6075","ESCA",0.305563688954316
"NG-A0611_KELLY_libLAB6075","GBM",0.543895677726469
"NG-A0611_KELLY_libLAB6075","HNSC",0.280604452795317
"NG-A0611_KELLY_libLAB6075","KICH",0.369012657001953
"NG-A0611_KELLY_libLAB6075","KIRC",0.385552985522716
"NG-A0611_KELLY_libLAB6075","KIRP",0.346425682805342
"NG-A0611_KELLY_libLAB6075","LAML",0.103286592539465
"NG-A0611_KELLY_libLAB6075","LGG",0.566084332389612
"NG-A0611_KELLY_libLAB6075","LIHC",0.254961310374577
"NG-A0611_KELLY_libLAB6075","LUAD",0.299499957280482
"NG-A0611_KELLY_libLAB6075","LUSC",0.329938309758541
"NG-A0611_KELLY_libLAB6075","MESO",0.43788724723249
"NG-A0611_KELLY_libLAB6075","OV",0.40598697811966
"NG-A0611_KELLY_libLAB6075","PAAD",0.353025328859444
"NG-A0611_KELLY_libLAB6075","PCPG",0.623442806503294
"NG-A0611_KELLY_libLAB6075","PRAD",0.441771033278762
"NG-A0611_KELLY_libLAB6075","READ",0.227657332707779
"NG-A0611_KELLY_libLAB6075","SARC",0.588963145543042
"NG-A0611_KELLY_libLAB6075","SKCM",0.453298951232958
"NG-A0611_KELLY_libLAB6075","STAD",0.276439990738728
"NG-A0611_KELLY_libLAB6075","TGCT",0.423453754657553
"NG-A0611_KELLY_libLAB6075","THCA",0.389621736606356
"NG-A0611_KELLY_libLAB6075","THYM",0.326227775055254
"NG-A0611_KELLY_libLAB6075","UCEC",0.418149969340803
"NG-A0611_KELLY_libLAB6075","UCS",0.616482034429015
"NG-A0611_KELLY_libLAB6075","UVM",0.467909852320872
"NG-A0611_LAN1_libLAB6085","ACC",0.509071960239026
"NG-A0611_LAN1_libLAB6085","BLCA",0.331039699611934
"NG-A0611_LAN1_libLAB6085","BRCA",0.459905615086803
"NG-A0611_LAN1_libLAB6085","CESC",0.254785024518221
"NG-A0611_LAN1_libLAB6085","CHOL",0.327808912177402
"NG-A0611_LAN1_libLAB6085","COAD",0.220270883450989
"NG-A0611_LAN1_libLAB6085","DLBC",0.206745106258639
"NG-A0611_LAN1_libLAB6085","ESCA",0.322093777109543
"NG-A0611_LAN1_libLAB6085","GBM",0.585619510334956
"NG-A0611_LAN1_libLAB6085","HNSC",0.289438859649934
"NG-A0611_LAN1_libLAB6085","KICH",0.37842473262254
"NG-A0611_LAN1_libLAB6085","KIRC",0.393819112015957
"NG-A0611_LAN1_libLAB6085","KIRP",0.34743845647667
"NG-A0611_LAN1_libLAB6085","LAML",0.151276055983875
"NG-A0611_LAN1_libLAB6085","LGG",0.614571741910184
"NG-A0611_LAN1_libLAB6085","LIHC",0.274786865412611
"NG-A0611_LAN1_libLAB6085","LUAD",0.315230147305191
"NG-A0611_LAN1_libLAB6085","LUSC",0.340360691027614
"NG-A0611_LAN1_libLAB6085","MESO",0.467580158192957
"NG-A0611_LAN1_libLAB6085","OV",0.418480329511488
"NG-A0611_LAN1_libLAB6085","PAAD",0.361227008537916
"NG-A0611_LAN1_libLAB6085","PCPG",0.62828264465732
"NG-A0611_LAN1_libLAB6085","PRAD",0.484639676360578
"NG-A0611_LAN1_libLAB6085","READ",0.232991092590013
"NG-A0611_LAN1_libLAB6085","SARC",0.613724476345017
"NG-A0611_LAN1_libLAB6085","SKCM",0.475672044207147
"NG-A0611_LAN1_libLAB6085","STAD",0.294207673144434
"NG-A0611_LAN1_libLAB6085","TGCT",0.46472342386344
"NG-A0611_LAN1_libLAB6085","THCA",0.40508047957218
