"sample_id","ACC","BLCA","BRCA","CESC","CHOL","COAD","DLBC","ESCA","GBM","HNSC","KICH","KIRC","KIRP","LAML","LGG","LIHC","LUAD","LUSC","MESO","OV","PAAD","PCPG","PRAD","READ","SARC","SKCM","STAD","TGCT","THCA","THYM","UCEC","UCS","UVM"
"NG-A2798_CCLF_PEDS_0051_T_libLAI2540",0.446782766455131,0.432496647068359,0.477448871274328,0.359596542325626,0.417172534767974,0.301036172424619,-0.00316595474848715,0.439814316082896,0.359916168093091,0.404169372001398,0.396175607108958,0.441827576341019,0.418732451049776,-0.00999532616460265,0.306633969269043,0.30045660646214,0.400937806182315,0.409399859090432,0.546276692381341,0.39116625715437,0.457645552852179,0.36625743749961,0.455424519224176,0.308004915227718,0.569450666685708,0.413122889980699,0.364970056907844,0.244739421694256,0.457391016717273,0.211983251846854,0.408337970230797,0.469791805276109,0.382726293804782
"NG-A0611_CHP126_libLAB6088",0.461726749371603,0.312406390830575,0.428483951892674,0.24587523280116,0.334594554165542,0.219287950878468,0.19159904572195,0.315871964224324,0.541213654497462,0.276375206610495,0.366549222477656,0.380924489803366,0.348772822433276,0.113218122773278,0.576915784479682,0.274193760855422,0.304672995515534,0.33045714235415,0.434227503501962,0.40380877285878,0.362971623895287,0.604629392747437,0.442877279838194,0.230919790923687,0.56189884279699,0.446157926100996,0.291749146952025,0.42765083029196,0.382595606738555,0.315740070249759,0.402611871745931,0.59024991687202,0.465324875389962
"NG-A0611_CHP134_libLAB6074",0.494823485062032,0.31449306362984,0.455474430158649,0.258088176103747,0.318162208497955,0.217244831738092,0.170600776260745,0.326923968350562,0.557303887371074,0.297433929262677,0.375017015255531,0.395657039497394,0.343264046397989,0.0935188141219711,0.582652384240408,0.263108770337584,0.302853838982134,0.3445664437375,0.455170928167777,0.394966181879653,0.355853561390066,0.585074959874988,0.458119966740016,0.230374098485863,0.617540304033065,0.470021263291995,0.290266780649482,0.449107601476102,0.393246259992697,0.303115299554483,0.419301666543291,0.639504708091578,0.486024123319801
"NG-A0611_GIMEN_libLAB6073",0.424520476536587,0.394506581359028,0.441094908839347,0.331501889124396,0.363069479603556,0.26249632669595,0.0685042206420873,0.397513864487056,0.413367740157136,0.378855857439997,0.343540996048106,0.383231877870614,0.365785083253812,0.0414665843721089,0.361255140089706,0.271398046489623,0.343967527710085,0.385172077388534,0.44428405811537,0.369485114026178,0.395728981088153,0.387827085110104,0.386441560484923,0.266718752115308,0.554580563816715,0.45021240694367,0.322292860682404,0.277769543747144,0.370809895301816,0.209173627508772,0.376886696196145,0.491848118234274,0.367960666391816
"NG-A0611_IMR32_libLAB6079",0.504914886188731,0.314808801523259,0.47593724989506,0.236035511509303,0.332294533004026,0.214344515034591,0.166192054111551,0.315502866131999,0.596344157983134,0.281597893734648,0.394533137404418,0.413688280576167,0.356354359675665,0.102775632825809,0.619952183434789,0.264799032759855,0.307680104381932,0.335909689105787,0.475688885880057,0.412260805077892,0.366375992221234,0.626291350168024,0.484261714352066,0.228180826681355,0.650613778020576,0.476281620470937,0.28594043864417,0.457435063583749,0.419751735589414,0.323640613194124,0.423656581181891,0.654791102475396,0.511736294057887
"NG-A0611_KELLY_libLAB6075",0.481236774523616,0.313730781964967,0.454608478642784,0.249481799741973,0.314899341458118,0.214490883995771,0.174302092575151,0.305563688954316,0.543895677726469,0.280604452795317,0.369012657001953,0.385552985522716,0.346425682805342,0.103286592539465,0.566084332389612,0.254961310374577,0.299499957280482,0.329938309758541,0.43788724723249,0.40598697811966,0.353025328859444,0.623442806503294,0.441771033278762,0.227657332707779,0.588963145543042,0.453298951232958,0.276439990738728,0.423453754657553,0.389621736606356,0.326227775055254,0.418149969340803,0.616482034429015,0.467909852320872
"NG-A0611_LAN1_libLAB6085",0.509071960239026,0.331039699611934,0.459905615086803,0.254785024518221,0.327808912177402,0.220270883450989,0.206745106258639,0.322093777109543,0.585619510334956,0.289438859649934,0.37842473262254,0.393819112015957,0.34743845647667,0.151276055983875,0.614571741910184,0.274786865412611,0.315230147305191,0.340360691027614,0.467580158192957,0.418480329511488,0.361227008537916,0.62828264465732,0.484639676360578,0.232991092590013,0.613724476345017,0.475672044207147,0.294207673144434,0.46472342386344,0.40508047957218,0.338036551633113,0.425767079851773,0.629432536663906,0.511774045340165
"NG-A0611_LAN2_libLAB6083",0.46740627201812,0.293151721072939,0.42740516233583,0.220270978226681,0.296243815751366,0.195268562966409,0.166852412644809,0.284058164336468,0.538550990330268,0.246918093658804,0.375231585190181,0.376348791770813,0.339506524293389,0.0856954361306366,0.57266462370432,0.240466181967184,0.282404382702311,0.307660551039168,0.414120112541499,0.390179127894761,0.33193342093285,0.59470281296423,0.430380919997892,0.206172386761861,0.572508372742076,0.437842364202564,0.262296767870324,0.401206170282653,0.387421294499399,0.298011458221113,0.394931572261823,0.586599546764827,0.445182031646739
"NG-A0611_LAN5_libLAB6087",0.520623752403497,0.33199925144793,0.469964943178592,0.25109278354765,0.351667146070586,0.233435068540306,0.19704304348639,0.326110162154661,0.581144935933081,0.287949893453406,0.39775258555715,0.412302371077258,0.362284447524408,0.135389712061576,0.599765694281173,0.28814818835932,0.319355588950912,0.338237187677363,0.481734733972937,0.414494406864459,0.389137950330807,0.655128446871483,0.487206425802726,0.24556438357839,0.635570327973258,0.485772902377743,0.30655244451821,0.46775109137128,0.420868009199943,0.329936993651611,0.422920285991603,0.623039073338219,0.507294696419697
"NG-A0611_LAN6_libLAB6089",0.501590875818177,0.334701345784607,0.471174795073471,0.263177527732708,0.364928325289929,0.244434237400028,0.201063369272403,0.317577188453589,0.529143594491655,0.272688072993107,0.397952942140939,0.401797058829972,0.374220814288314,0.138544003495174,0.545694447562004,0.307152112007346,0.34571267597042,0.333043698720525,0.440216152275308,0.422874002121451,0.39881862448591,0.665410923761063,0.464378443257576,0.255599313269074,0.562483764565074,0.454054883666801,0.310582586366236,0.415724970311084,0.42659855750239,0.327658757938832,0.431778949630204,0.569011766790851,0.478506276046231
"NG-A0611_LS_libLAB6078",0.490657400133236,0.357966127362247,0.499357429805103,0.282606869689746,0.384358040353816,0.261762091152987,0.103531949622599,0.369880659883196,0.528243365414285,0.316400156839011,0.420589879069254,0.448331912076666,0.395234109333508,0.0546998980019916,0.518628067280838,0.303732345252938,0.348883953618523,0.372551648508942,0.481717580736876,0.426135602259739,0.408597450996384,0.545357702160705,0.485340239375299,0.272491354551594,0.645991740592847,0.48976675322666,0.335667816733412,0.408207786845202,0.440496370218994,0.290491415149076,0.456367584069848,0.64626845207478,0.484811924769138
"NG-A0611_MHHNB11_libLAB6084",0.508769707144622,0.338508316526249,0.463233540154246,0.258846647990331,0.35761730236776,0.235200199108608,0.216146338693704,0.314889078223859,0.570573389183397,0.276040022564876,0.383667287124031,0.408699622645076,0.374951898270637,0.155415416639553,0.579202696506215,0.295406851647909,0.327540544643808,0.335205091975884,0.469255764865234,0.426474604646159,0.384152267976944,0.662822505077264,0.470224941511336,0.248910555885649,0.618921283875528,0.48214190663946,0.302389855010138,0.455381789069323,0.408787055638179,0.342597900753,0.432360390996648,0.626245932169133,0.508354662187072
"NG-A0611_NBLS_libLAB6077",0.476428701087619,0.329050554013525,0.45797039860021,0.249370226767447,0.359241382100371,0.232517274790391,0.178189890470758,0.318905380485378,0.539173900654985,0.284693990673656,0.388248115798825,0.403119282940968,0.373084273681628,0.0963896394419267,0.558950836709061,0.288809265694599,0.330715355180743,0.341565178262936,0.445811700785838,0.416655758872947,0.399651037271705,0.639012373802495,0.457669138220846,0.246568977885451,0.577073145573584,0.449136893533851,0.301304969613773,0.433345126329184,0.412249506922166,0.313098055510076,0.429230922220218,0.596591839005452,0.480400341916301
"NG-A0611_NGP_libLAB6082",0.439092942606075,0.295258588563102,0.416887413034052,0.220644528935147,0.291769225400747,0.200849599837676,0.138605103641302,0.30584653249849,0.534833982152961,0.274908387605341,0.347633097125352,0.354686324676649,0.300878192244786,0.0575796288111757,0.548199504703358,0.239178432925845,0.267320277734831,0.314571977823361,0.425122825711691,0.357348076517262,0.3375872356769,0.560136464225728,0.429979129982683,0.212644789997703,0.58064576706536,0.423285789407602,0.268146893060164,0.386242207909249,0.344318613833744,0.270902954203884,0.383510545829377,0.589032883435758,0.413176121587021
