"","dataset","organ","tcga_project"
"PC1",4.10629664769873e-06,0.88166136219195,0.898722125731654
"PC2",0.115826807896445,0.657001152869977,0.65160754417886
"PC3",0.0354059367096291,0.784909376332137,0.833419117872128
"PC4",0.00115765805228908,0.886353092209263,0.895396446147096
"PC5",0.00753061670444743,0.838518521586292,0.865097366612341
"PC6",0.0433053642605548,0.583053762627976,0.6173762445756
"PC7",0.00464634524162845,0.60174074803907,0.648950156887815
"PC8",0.00223717804904517,0.829711417922363,0.863007446864847
"PC9",0.0139989480526833,0.711305897325056,0.727326667168341
"PC10",0.0248846756824363,0.851145523283846,0.867479345055164
