During startup - Warning message:
Setting LC_CTYPE failed, using "C" 
==> TARGET NBL count merge
    Input dir  : /work/ugbogu/pipeline/data/nbl/target_nbl/count_data 
    Output dir : /work/ugbogu/pipeline/data/nbl/target_nbl/merged 
    Samples    : 162 

Reading first sample as template: TARGET-30-PASVRU-01A-01R 
Reading sample 127 of 162 : TARGET-30-PAMZGT-01A-01R 
Reading sample 128 of 162 : TARGET-30-PASFGG-01A-01R 
Reading sample 129 of 162 : TARGET-30-PATBMM-01A-01R 
Reading sample 130 of 162 : TARGET-30-PAPHPE-01A-01R 
Reading sample 131 of 162 : TARGET-30-PAIVHE-01A-01R 
Reading sample 132 of 162 : TARGET-30-PAPEAV-01A-01R 
Reading sample 133 of 162 : TARGET-30-PATAYJ-01A-01R 
Reading sample 134 of 162 : TARGET-30-PAIFXV-01A-01R 
Reading sample 135 of 162 : TARGET-30-PARGKK-01A-01R 
Reading sample 136 of 162 : TARGET-30-PASNPG-02A-01R 
Reading sample 137 of 162 : TARGET-30-PATNKP-02A-01R 
Reading sample 138 of 162 : TARGET-30-PARZIP-01A-01R 
Reading sample 139 of 162 : TARGET-30-PAPUAR-01A-01R 
Reading sample 140 of 162 : TARGET-30-PASXHE-01A-01R 
Reading sample 141 of 162 : TARGET-30-PAPICY-01A-01R 
Reading sample 142 of 162 : TARGET-30-PATEPF-01A-01R 
Reading sample 143 of 162 : TARGET-30-PAPBJE-01A-01R 
Reading sample 144 of 162 : TARGET-30-PATFXV-01A-01R 
Reading sample 145 of 162 : TARGET-30-PATYIL-02A-01R 
Reading sample 146 of 162 : TARGET-30-PARBAJ-02A-01R 
Reading sample 147 of 162 : TARGET-30-PASNEF-01A-01R 
Reading sample 148 of 162 : TARGET-30-PAPVFD-01A-01R 
Reading sample 149 of 162 : TARGET-30-PATDXC-01A-01R 
Reading sample 150 of 162 : TARGET-30-PATFCY-01A-01R 
Reading sample 151 of 162 : TARGET-30-PASEGA-01A-01R 
Reading sample 152 of 162 : TARGET-30-PASNZU-01A-01R 
Reading sample 153 of 162 : TARGET-30-PALZZV-01A-01R 
Reading sample 154 of 162 : TARGET-30-PARBAJ-01A-01R 
Reading sample 155 of 162 : TARGET-30-PAPBZI-01A-01R 
Reading sample 156 of 162 : TARGET-30-PASUML-01A-01R 
Reading sample 157 of 162 : TARGET-30-PAPCTS-01A-01R 
Reading sample 158 of 162 : TARGET-30-PALEVG-01A-01R 
Reading sample 159 of 162 : TARGET-30-PARZHA-01A-01R 
Reading sample 160 of 162 : TARGET-30-PALXTB-01A-01R 
Reading sample 161 of 162 : TARGET-30-PAPVXS-01A-01R 
Reading sample 162 of 162 : TARGET-30-PANLET-01A-01R 

Final matrix dimensions:
  genes   = 60660 
  samples = 162 

Saved:
  Matrix   : /work/ugbogu/pipeline/data/nbl/target_nbl/merged/target_nbl_count.rds 
  Metadata : /work/ugbogu/pipeline/data/nbl/target_nbl/merged/target_nbl_sample_metadata.csv 
  Gene IDs : /work/ugbogu/pipeline/data/nbl/target_nbl/merged/target_nbl_gene_list.txt 

Done.
