Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35
NG-13640_BCBL_1_lib241208_5808_6_2 - illumina_universal_adapter	(1, 0.00011723939111271305)	(2, 0.00011723939111271305)	(3, 0.00014730077344930615)	(4, 0.00024950947339372263)	(5, 0.0003426997586371612)	(6, 0.0004028225233103474)	(7, 0.00046595142621719287)	(8, 0.0005140496379557419)	(9, 0.0005531294349933128)	(10, 0.0008110560954412815)	(15, 0.001356970798673812)	(20, 0.002229953341728475)	(25, 0.003982531931951852)	(30, 0.006466804568247905)	(35, 0.009335261670805619)	(40, 0.012466455254985154)	(45, 0.015407660902797424)	(50, 0.01832601990003388)	(55, 0.021469839264794784)	(60, 0.024782603598287344)	(65, 0.028265515355805015)	(70, 0.03231538478419084)	(75, 0.037244850259745374)	(80, 0.043812661072644234)	(85, 0.05285452365184471)	(90, 0.06612842763639074)	(95, 0.08724654872784739)	(100, 0.12017217957347107)	(105, 0.17088392789236342)	(110, 0.24631034108546243)	(115, 0.35445796772429616)	(120, 0.5053727205581076)	(125, 0.7085221313399831)	(130, 0.9722524422618545)	(135, 1.3080693467992295)	(140, 1.5444395912012738)
NG-13640_BCBL_1_lib241208_5808_6_2 - polya	(1, 0.013611793922009351)	(2, 0.018737259610398474)	(3, 0.020637138974071156)	(4, 0.023772541151777814)	(5, 0.026156408771069648)	(6, 0.028035245167106714)	(7, 0.030079419165995044)	(8, 0.035379240871936404)	(9, 0.04229937108582014)	(10, 0.05375877003252942)	(15, 0.07351390804884493)	(20, 0.09260589197081523)	(25, 0.10796425220658064)	(30, 0.12141672080220603)	(35, 0.13506398715537254)	(40, 0.14992873949317112)	(45, 0.16582038865158766)	(50, 0.1826734008171285)	(55, 0.20173111476323508)	(60, 0.21754881292110362)	(65, 0.2339503031239488)	(70, 0.25825553197073103)	(75, 0.2768941902470655)	(80, 0.2941770801800196)	(85, 0.31745841834441746)	(90, 0.3357056774227295)	(95, 0.35451748926132265)	(100, 0.3707680713248382)	(105, 0.38689720540371386)	(110, 0.40415003395433136)	(115, 0.4216373412871742)	(120, 0.4400138643095337)	(125, 0.45889601978279454)	(130, 0.4773897821962666)	(135, 0.4980966635773586)	(140, 0.5096486515816646)
NG-13640_BJAB_lib227474_5697_7_1 - illumina_universal_adapter	(1, 5.752256803929747e-05)	(2, 6.194738096539727e-05)	(3, 7.96466326697965e-05)	(4, 0.0001570808588765431)	(5, 0.00022787786569414)	(6, 0.0002831880272703875)	(7, 0.0003340733759205353)	(8, 0.0003761090987184835)	(9, 0.000409295195664232)	(10, 0.0005265527382058769)	(15, 0.0007544306039000169)	(20, 0.0009938129832020163)	(25, 0.0013367359849747512)	(30, 0.0017407214051276634)	(35, 0.0025075414852207597)	(40, 0.003270379233680366)	(45, 0.003846047395365951)	(50, 0.00454074302476362)	(55, 0.005546945484158716)	(60, 0.007068196168151829)	(65, 0.009660694061553706)	(70, 0.014212056637339964)	(75, 0.0230006200711594)	(80, 0.03909056731433612)	(85, 0.06929124297884512)	(90, 0.1247518481945801)	(95, 0.22321986512683473)	(100, 0.38788087102707935)	(105, 0.6532382296491626)	(110, 1.055849302907228)	(115, 1.6299090450941758)	(120, 2.407619032279696)	(125, 3.3979284486068266)	(130, 4.612871015309388)	(135, 6.043247546314019)	(140, 6.989226531859726)
NG-13640_BJAB_lib227474_5697_7_1 - polya	(1, 0.004351803512819159)	(2, 0.010296539679034248)	(3, 0.013767805419559544)	(4, 0.018566515037914785)	(5, 0.02118379188370282)	(6, 0.02362628861890991)	(7, 0.027599770626547535)	(8, 0.03321043341684209)	(9, 0.04232776045107074)	(10, 0.056668579144560215)	(15, 0.07535323668760185)	(20, 0.0958511825677592)	(25, 0.12213943864301076)	(30, 0.1447112943416311)	(35, 0.1616729297312495)	(40, 0.17641109662550272)	(45, 0.1927563555745154)	(50, 0.2083547061016024)	(55, 0.22523050012045448)	(60, 0.23943901690745356)	(65, 0.25615153532933255)	(70, 0.2748003518876728)	(75, 0.29193013016848296)	(80, 0.3061731604963056)	(85, 0.32067592734289035)	(90, 0.3363618891659142)	(95, 0.35541380618182206)	(100, 0.373719257257097)	(105, 0.39215214294464357)	(110, 0.40842837481200905)	(115, 0.4218324606090432)	(120, 0.4350958373550274)	(125, 0.449222052621601)	(130, 0.4663752824109196)	(135, 0.4850462230338903)	(140, 0.4961409989647929)
NG-13640_BJAB_lib227474_5697_7_2 - illumina_universal_adapter	(1, 5.752256803929747e-05)	(2, 6.637219389149708e-05)	(3, 9.070866498504602e-05)	(4, 0.00018141732997009204)	(5, 0.0002544267432507388)	(6, 0.0003119493112900363)	(7, 0.00036504706640323395)	(8, 0.0004070827892011821)	(9, 0.00044469369907303044)	(10, 0.000592924932097374)	(15, 0.0008858475478051811)	(20, 0.0013327536533412614)	(25, 0.0022407252657769415)	(30, 0.003431442424190399)	(35, 0.005046056660924218)	(40, 0.006753149487813523)	(45, 0.008380153200740422)	(50, 0.01004344037966134)	(55, 0.012113810347783438)	(60, 0.01482135337726391)	(65, 0.01861828534915015)	(70, 0.0242731962687057)	(75, 0.033943624918696826)	(80, 0.050674727554865406)	(85, 0.08121478637080627)	(90, 0.13639397348444127)	(95, 0.23319914571906758)	(100, 0.39405083017123294)	(105, 0.6520930880638879)	(110, 1.0411022863871229)	(115, 1.5937202700967759)	(120, 2.345409259907781)	(125, 3.304541444357612)	(130, 4.478391215896777)	(135, 5.85520184658063)	(140, 6.76264292394647)
NG-13640_BJAB_lib227474_5697_7_2 - polya	(1, 0.008278824984732737)	(2, 0.011774427196351583)	(3, 0.013340810972190914)	(4, 0.01616605402550564)	(5, 0.018128458558230903)	(6, 0.01962183292078959)	(7, 0.021568750608273502)	(8, 0.02681657873862787)	(9, 0.035152926291399905)	(10, 0.04592734576645293)	(15, 0.06731158167570807)	(20, 0.08640243704536568)	(25, 0.10342646229724206)	(30, 0.11904339703861873)	(35, 0.13474396074429867)	(40, 0.15269896663582644)	(45, 0.17285664440196674)	(50, 0.19427185400170455)	(55, 0.22007205321120732)	(60, 0.23896113711143477)	(65, 0.2602736910512871)	(70, 0.28583495036278045)	(75, 0.31052673393429525)	(80, 0.33257469178246535)	(85, 0.3633076724419841)	(90, 0.38686006668502815)	(95, 0.40993104128171254)	(100, 0.42831481154577944)	(105, 0.4473552240480795)	(110, 0.4669509505726051)	(115, 0.487030751631246)	(120, 0.5072733858055674)	(125, 0.5298085155569011)	(130, 0.5530732969597486)	(135, 0.577680566604375)	(140, 0.5906771271309152)
NG-13640_BONNA12_lib236392_5774_5_1 - illumina_universal_adapter	(1, 4.0152594028813265e-05)	(2, 4.0152594028813265e-05)	(3, 9.211477453668925e-05)	(4, 0.00023855364687706704)	(5, 0.00032358266952631866)	(6, 0.000394440188400695)	(7, 0.0004936407148248219)	(8, 0.0005597743991075731)	(9, 0.000602288910432199)	(10, 0.0008791056175014294)	(15, 0.001364243430061326)	(20, 0.0020265250398071636)	(25, 0.0030997802590243843)	(30, 0.0042268871925861306)	(35, 0.005648761404665283)	(40, 0.007159443707066987)	(45, 0.008651703054561352)	(50, 0.010158606289289756)	(55, 0.01187099632875385)	(60, 0.01377375690226044)	(65, 0.016020885017496496)	(70, 0.019081929832869552)	(75, 0.023764194680088342)	(80, 0.031726217884272434)	(85, 0.045276065026889835)	(90, 0.06987307174548169)	(95, 0.11341737901108176)	(100, 0.18893873977776957)	(105, 0.3165720266088879)	(110, 0.5187370308597485)	(115, 0.8222509615070072)	(120, 1.2582911268553896)	(125, 1.8500118745392047)	(130, 2.622571875209989)	(135, 3.5869975035715145)	(140, 4.2538886311118596)
NG-13640_BONNA12_lib236392_5774_5_1 - polya	(1, 0.003743638913862884)	(2, 0.00958702230370312)	(3, 0.01315115550308425)	(4, 0.018111181824290595)	(5, 0.020957292165744712)	(6, 0.023512886679813886)	(7, 0.0276202608572319)	(8, 0.033553397104313015)	(9, 0.04341440181433039)	(10, 0.058031835574655063)	(15, 0.07656438344451863)	(20, 0.09563497607436829)	(25, 0.12167794856145656)	(30, 0.14386910632253375)	(35, 0.1594884653997421)	(40, 0.17340818879088377)	(45, 0.189399313650453)	(50, 0.20465115839643294)	(55, 0.22162295131722357)	(60, 0.2361619694233273)	(65, 0.2571806714387631)	(70, 0.2787393077480217)	(75, 0.2953657883601645)	(80, 0.3093336948641408)	(85, 0.32410370848177494)	(90, 0.33974810388231885)	(95, 0.35833875491765943)	(100, 0.3756775897862193)	(105, 0.39338819043714013)	(110, 0.40959472215408754)	(115, 0.42243268742374696)	(120, 0.4350254856781012)	(125, 0.44848321804618185)	(130, 0.46478564360533914)	(135, 0.4825354520833705)	(140, 0.49227316471054644)
NG-13640_BONNA12_lib236392_5774_5_2 - illumina_universal_adapter	(1, 4.487642862043836e-05)	(2, 4.9600263212063445e-05)	(3, 0.00011101011290318961)	(4, 0.0002550870679477549)	(5, 0.00034720184248444413)	(6, 0.0004156974440630079)	(7, 0.0005172598877829474)	(8, 0.0005833935720656986)	(9, 0.000628270000686137)	(10, 0.0009282334972543303)	(15, 0.0015286328738498792)	(20, 0.0025598459652016363)	(25, 0.005085207937884409)	(30, 0.007945489783113402)	(35, 0.011252646380710126)	(40, 0.014836147301916921)	(45, 0.01862182834364527)	(50, 0.02258559794947788)	(55, 0.026867281623326862)	(60, 0.031079052545219792)	(65, 0.03581800340753808)	(70, 0.04123293499991792)	(75, 0.04835033657911945)	(80, 0.05899927689901989)	(85, 0.07490064890134826)	(90, 0.10197719639708411)	(95, 0.14807568102637586)	(100, 0.2261630287432344)	(105, 0.35644213532912195)	(110, 0.5615401684779225)	(115, 0.8682828400685569)	(120, 1.3082702416017011)	(125, 1.904547127749139)	(130, 2.681487067853278)	(135, 3.649004445955022)	(140, 4.31756355948967)
NG-13640_BONNA12_lib236392_5774_5_2 - polya	(1, 0.010144434785514881)	(2, 0.014152608436508769)	(3, 0.01581303629546499)	(4, 0.018831566599513423)	(5, 0.02097618750411121)	(6, 0.022549224423122367)	(7, 0.024500168109463528)	(8, 0.03025379864206289)	(9, 0.0382016503424721)	(10, 0.04888318512105476)	(15, 0.06949469259469251)	(20, 0.08863047414190658)	(25, 0.10436745670044642)	(30, 0.11911621306241826)	(35, 0.13390417725150064)	(40, 0.15081975654065088)	(45, 0.1695762141701575)	(50, 0.1891919373118807)	(55, 0.21297361017995803)	(60, 0.23076923985352807)	(65, 0.2506494977323822)	(70, 0.2778923242057433)	(75, 0.3000830095833613)	(80, 0.3200086162742951)	(85, 0.3483563476586372)	(90, 0.3700595333063997)	(95, 0.39205134524771024)	(100, 0.409913108605563)	(105, 0.4281159328209311)	(110, 0.4479857982636838)	(115, 0.46892891892565364)	(120, 0.4896845033543359)	(125, 0.511811416964967)	(130, 0.5349100233510954)	(135, 0.5602283596118284)	(140, 0.5732562230320711)
NG-13640_BV_173_lib227468_5681_8_1 - illumina_universal_adapter	(1, 6.760526816305669e-05)	(2, 6.760526816305669e-05)	(3, 0.00010140790224458505)	(4, 0.0001859144874484059)	(5, 0.00023380155239723774)	(6, 0.00028168861734606955)	(7, 0.0003267587961214407)	(8, 0.0003661952025498904)	(9, 0.00039154717811103667)	(10, 0.000554363198937065)	(15, 0.0008129533496607567)	(20, 0.001040557752476381)	(25, 0.0013870347518120465)	(30, 0.0017397089007293257)	(35, 0.0024067475466048186)	(40, 0.003085053737174154)	(45, 0.0037222333896109634)	(50, 0.0044044832208231435)	(55, 0.005432083296901606)	(60, 0.007007286045100827)	(65, 0.00980783427875545)	(70, 0.01453006225994496)	(75, 0.023361563790978934)	(80, 0.03980034812206086)	(85, 0.07020919774180377)	(90, 0.1251615765909097)	(95, 0.2213976758210209)	(100, 0.3827984930335025)	(105, 0.641528361311398)	(110, 1.0310704798441654)	(115, 1.5796810338377887)	(120, 2.314381285599807)	(125, 3.242953164873024)	(130, 4.37255663293314)	(135, 5.7019111333257015)	(140, 6.584355938131265)
NG-13640_BV_173_lib227468_5681_8_1 - polya	(1, 0.0036985715457538934)	(2, 0.009523892152470612)	(3, 0.012906972446796908)	(4, 0.017467511161629774)	(5, 0.020247777814835482)	(6, 0.022698468785746287)	(7, 0.026180140096143705)	(8, 0.03138856263087253)	(9, 0.039456124631663966)	(10, 0.05398675026884362)	(15, 0.07365481290918088)	(20, 0.09428174360296418)	(25, 0.1219306081499503)	(30, 0.14537273488549018)	(35, 0.16144138037337938)	(40, 0.17556355751540723)	(45, 0.19121417709515487)	(50, 0.20551325468887605)	(55, 0.22045908934802377)	(60, 0.23357958176676905)	(65, 0.24910118795977215)	(70, 0.26574504160428203)	(75, 0.2803404556234513)	(80, 0.29236743282965905)	(85, 0.304847928709794)	(90, 0.31866700889955746)	(95, 0.33594015491521845)	(100, 0.35136486022385455)	(105, 0.3670537894555613)	(110, 0.3814486411791801)	(115, 0.39331449249626593)	(120, 0.40532062474479014)	(125, 0.4180394291951998)	(130, 0.4325847026404815)	(135, 0.4474629320314662)	(140, 0.45698344392052864)
NG-13640_BV_173_lib227468_5681_8_2 - illumina_universal_adapter	(1, 6.197149581613531e-05)	(2, 6.4788381989596e-05)	(3, 9.859101607112435e-05)	(4, 0.00017746382892802382)	(5, 0.00023098466622377704)	(6, 0.00028168861734606955)	(7, 0.0003267587961214407)	(8, 0.0003718289748968118)	(9, 0.0003943640642844974)	(10, 0.0005678842525696762)	(15, 0.0008963331803951934)	(20, 0.0012890071129756143)	(25, 0.0021188617796771354)	(30, 0.0031599829093882084)	(35, 0.004612932797659236)	(40, 0.00623658598804198)	(45, 0.007876577118230798)	(50, 0.009579103121470442)	(55, 0.011685007224749657)	(60, 0.014357668826129166)	(65, 0.018319337540484287)	(70, 0.024265784252659815)	(75, 0.034187420732823076)	(80, 0.05163127005059578)	(85, 0.08296011469459094)	(90, 0.13865446136178644)	(95, 0.23585956943556813)	(100, 0.39788404524685383)	(105, 0.6557057494224257)	(110, 1.0417594361179794)	(115, 1.5885632393199451)	(120, 2.3244961604714702)	(125, 3.2559333763603306)	(130, 4.386257403903619)	(135, 5.708071100009825)	(140, 6.5811024346009175)
NG-13640_BV_173_lib227468_5681_8_2 - polya	(1, 0.00838587013839249)	(2, 0.01210979365970753)	(3, 0.013614010876335542)	(4, 0.016690050577754623)	(5, 0.018636518923615963)	(6, 0.020112567278509366)	(7, 0.022098472030799156)	(8, 0.02729281013466068)	(9, 0.034329391795965496)	(10, 0.04468933576471924)	(15, 0.06400810451954739)	(20, 0.08122322268003508)	(25, 0.09575610182615349)	(30, 0.10960785789552914)	(35, 0.1238804567592198)	(40, 0.1395676958592224)	(45, 0.15708591097197444)	(50, 0.17615172334842583)	(55, 0.19800963330001142)	(60, 0.21386419543871762)	(65, 0.23189170357163139)	(70, 0.25364989575267655)	(75, 0.27388189900494064)	(80, 0.29257531902926043)	(85, 0.31878419136437347)	(90, 0.338422395011272)	(95, 0.35782792386024276)	(100, 0.37408586409898853)	(105, 0.39137084103657804)	(110, 0.4089758162434728)	(115, 0.4271340278948351)	(120, 0.4447992844658418)	(125, 0.4648341056859636)	(130, 0.4852734317605944)	(135, 0.5075493676203215)	(140, 0.5195436689469173)
NG-13640_CCRF_CEM_lib241217_5826_6_1 - illumina_universal_adapter	(1, 0.00015689140638931466)	(2, 0.00015689140638931466)	(3, 0.00017258054702824614)	(4, 0.00025416407835068973)	(5, 0.0003326097815453471)	(6, 0.00041105548474000444)	(7, 0.00046439856291237143)	(8, 0.0005114659848291658)	(9, 0.000545982094234815)	(10, 0.0007041286318752442)	(15, 0.0009614305383537202)	(20, 0.001205553566695494)	(25, 0.0014647381700506417)	(30, 0.0017596940140625534)	(35, 0.002348978136460819)	(40, 0.0030236111839348724)	(45, 0.0035539041375307555)	(50, 0.004103024059893357)	(55, 0.004785815460499655)	(60, 0.005641814973759755)	(65, 0.006771433099762821)	(70, 0.008451426279379604)	(75, 0.011166275175540303)	(80, 0.01558496474508896)	(85, 0.02264821586073591)	(90, 0.03449539974000584)	(95, 0.05479965798928539)	(100, 0.08715568651176653)	(105, 0.13805941709759245)	(110, 0.2129148173484367)	(115, 0.3184393497202642)	(120, 0.46224915064483774)	(125, 0.6505853602683245)	(130, 0.8905821446220591)	(135, 1.191354894417261)	(140, 1.404077676684277)
