Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35
NALM_6_1 - illumina_universal_adapter	(1, 1.941835489574431e-05)	(2, 2.5891139860992413e-05)	(3, 3.883670979148862e-05)	(4, 0.0001068009519265937)	(5, 0.00018447437150957095)	(6, 0.00026862057605779626)	(7, 0.00033011203322765324)	(8, 0.0003818943129496381)	(9, 0.00040131266784538237)	(10, 0.000644689382538711)	(15, 0.0009398483769540247)	(20, 0.0024234106909888898)	(25, 0.003572330022320428)	(30, 0.004139993263772687)	(35, 0.0051879371496463544)	(40, 0.006093479766284564)	(45, 0.006776358580118239)	(50, 0.007639828094482336)	(55, 0.008812049451688769)	(60, 0.010573941519229302)	(65, 0.013614855895902861)	(70, 0.018813796779990136)	(75, 0.028224578840964354)	(80, 0.04532502944065332)	(85, 0.07726110318069093)	(90, 0.13586310914206118)	(95, 0.23995908423167772)	(100, 0.41566347939183396)	(105, 0.7262451785438442)	(110, 1.160627304776679)	(115, 1.7684949554835832)	(120, 2.5898577090917483)	(125, 3.6368267935496497)	(130, 4.924758243908842)	(135, 6.439668255530404)	(140, 7.444871047721546)
NALM_6_1 - polya	(1, 0.00399370832355808)	(2, 0.010997261655956526)	(3, 0.014884169027588013)	(4, 0.02022745301640032)	(5, 0.023392644864406644)	(6, 0.0258490667587183)	(7, 0.029998121921442335)	(8, 0.03548704357197272)	(9, 0.04455865170076794)	(10, 0.06029269739429303)	(15, 0.08066125712293576)	(20, 0.10245447682242959)	(25, 0.13265519691328417)	(30, 0.1573436933277335)	(35, 0.1740221183476883)	(40, 0.18907522706286928)	(45, 0.20578407417216074)	(50, 0.22117959321200337)	(55, 0.23902247224720624)	(60, 0.2533965858195327)	(65, 0.2712071009299094)	(70, 0.29067594354838266)	(75, 0.3102451143338173)	(80, 0.32684521865569255)	(85, 0.3438938869756595)	(90, 0.3611224987176604)	(95, 0.38430477807069646)	(100, 0.4044409648190868)	(105, 0.4248580704349689)	(110, 0.443477036387505)	(115, 0.4580789919906083)	(120, 0.47268806765717325)	(125, 0.48891210317256756)	(130, 0.5090282242875656)	(135, 0.5314052891909249)	(140, 0.5442900149427478)
NALM_6_2 - illumina_universal_adapter	(1, 1.941835489574431e-05)	(2, 2.265474737836836e-05)	(3, 3.2363924826240514e-05)	(4, 9.709177447872155e-05)	(5, 0.00017152880157907474)	(6, 0.0002589113986099241)	(7, 0.0003204028557797811)	(8, 0.0003624759580538938)	(9, 0.0003818943129496381)	(10, 0.0006265655846360164)	(15, 0.0009961616061516828)	(20, 0.0026771438616266154)	(25, 0.004337413205212753)	(30, 0.0056274392487867)	(35, 0.007501310496226027)	(40, 0.009320810349957269)	(45, 0.010894344375009083)	(50, 0.012779866635385852)	(55, 0.015044694094726165)	(60, 0.01785323549114732)	(65, 0.021947271981666745)	(70, 0.028216811499006057)	(75, 0.038693013965260106)	(80, 0.0567177782579865)	(85, 0.08959952588144686)	(90, 0.14901516091294878)	(95, 0.2535538744941882)	(100, 0.42947057700120467)	(105, 0.7402115066633599)	(110, 1.171738487448024)	(115, 1.773149535152093)	(120, 2.5876796169509424)	(125, 3.6271234416082465)	(130, 4.903559873147655)	(135, 6.399458668047787)	(140, 7.390231033437404)
NALM_6_2 - polya	(1, 0.009045716988934223)	(2, 0.013240081646414995)	(3, 0.01480973200048766)	(4, 0.017897250428911004)	(5, 0.020107706494543232)	(6, 0.021570555896689304)	(7, 0.023395881256889267)	(8, 0.028826547842732426)	(9, 0.03731236893217269)	(10, 0.049685097393244435)	(15, 0.0731877796020603)	(20, 0.09416478111743634)	(25, 0.11199083091172964)	(30, 0.12816696781838116)	(35, 0.14372948471032715)	(40, 0.16195749445096236)	(45, 0.1839694942822816)	(50, 0.20804048701104624)	(55, 0.236940177323886)	(60, 0.25709642970566854)	(65, 0.2803544406427981)	(70, 0.3086787003722272)	(75, 0.3357103449440963)	(80, 0.36039431040907)	(85, 0.3960360535417121)	(90, 0.42272269867493356)	(95, 0.4491018865223057)	(100, 0.4689306159848467)	(105, 0.48904026431487957)	(110, 0.510565510716812)	(115, 0.5325988707385166)	(120, 0.5543920904380104)	(125, 0.5783782896837304)	(130, 0.6041619813142997)	(135, 0.631499788615025)	(140, 0.6452719331855834)
NG-13640_BC3_lib236396_5774_5_1 - illumina_universal_adapter	(1, 4.0987456930599835e-05)	(2, 4.391513242564268e-05)	(3, 8.490258935624251e-05)	(4, 0.00021664798663317055)	(5, 0.0003366826819299272)	(6, 0.0004274406222762554)	(7, 0.0004889218076721552)	(8, 0.0005533306685630978)	(9, 0.000623594880444126)	(10, 0.0008870856749979821)	(15, 0.0013010589899970404)	(20, 0.0017642172533128184)	(25, 0.002396595160242073)	(30, 0.003168330420735367)	(35, 0.004140318685089591)	(40, 0.005090056615681491)	(45, 0.0060169586774120555)	(50, 0.006970209818598005)	(55, 0.008080384366318253)	(60, 0.00946868808606757)	(65, 0.01159242389017165)	(70, 0.015240307556995033)	(75, 0.022176556339850544)	(80, 0.0352316469073456)	(85, 0.06199235753733423)	(90, 0.11355809156662286)	(95, 0.2107182726855108)	(100, 0.37811631660597156)	(105, 0.6557741328803399)	(110, 1.0817105154872422)	(115, 1.6910809917711531)	(120, 2.5169835187386314)	(125, 3.568165405233765)	(130, 4.852982237119406)	(135, 6.367334683167398)	(140, 7.3753591196550055)
NG-13640_BC3_lib236396_5774_5_1 - polya	(1, 0.003481006163605943)	(2, 0.00834387516087211)	(3, 0.011426717457152225)	(4, 0.015332236567539381)	(5, 0.01807839618188957)	(6, 0.02006628784302366)	(7, 0.02323403272866002)	(8, 0.0281115401034014)	(9, 0.03610409420486837)	(10, 0.048399745748949306)	(15, 0.06336719394980635)	(20, 0.08036703447932214)	(25, 0.10390144671377355)	(30, 0.12391679300318348)	(35, 0.13828582433285375)	(40, 0.1511945311255967)	(45, 0.1658188557584347)	(50, 0.17932890709785937)	(55, 0.1938759410976283)	(60, 0.20639878026012454)	(65, 0.2232932244718188)	(70, 0.23966185816460334)	(75, 0.2544741395642231)	(80, 0.26741036650661937)	(85, 0.2803366393523326)	(90, 0.2937881371818565)	(95, 0.310432557906274)	(100, 0.326279479825842)	(105, 0.34216270492154843)	(110, 0.356488992188991)	(115, 0.3684959749292608)	(120, 0.38011943217967986)	(125, 0.39232139810791944)	(130, 0.4074703621894691)	(135, 0.42387354245309516)	(140, 0.4332813348888659)
NG-13640_BC3_lib236396_5774_5_2 - illumina_universal_adapter	(1, 3.8059781435556985e-05)	(2, 4.0987456930599835e-05)	(3, 8.490258935624251e-05)	(4, 0.00020493728465299918)	(5, 0.00032204430445471297)	(6, 0.000415729920296084)	(7, 0.0004801387811870266)	(8, 0.0005416199665829263)	(9, 0.0006118841784639547)	(10, 0.0008935265610870763)	(15, 0.0013871326495513)	(20, 0.0019861350558370663)	(25, 0.003235081422022344)	(30, 0.004913225015780903)	(35, 0.006877109737855644)	(40, 0.008901304575128267)	(45, 0.010997520229578943)	(50, 0.013104861050910781)	(55, 0.015350973690707656)	(60, 0.0178553073091673)	(65, 0.021090974266288656)	(70, 0.02584142052454518)	(75, 0.03370984118502233)	(80, 0.0476203985321689)	(85, 0.07494439392740378)	(90, 0.12649900278981124)	(95, 0.2223915004193456)	(100, 0.38663175355085316)	(105, 0.6582649991915225)	(110, 1.0746050470607735)	(115, 1.66967968390239)	(120, 2.4761324914861)	(125, 3.502148664960944)	(130, 4.752902577996862)	(135, 6.222995596980994)	(140, 7.2015459531898065)
NG-13640_BC3_lib236396_5774_5_2 - polya	(1, 0.011470632589577867)	(2, 0.01559865503758828)	(3, 0.01710055256654526)	(4, 0.019843784505400405)	(5, 0.021849242219504753)	(6, 0.023216466675689763)	(7, 0.025093106668012226)	(8, 0.029947192638793262)	(9, 0.03682430237664891)	(10, 0.04677371477900251)	(15, 0.06568298526638525)	(20, 0.08351779884708725)	(25, 0.09860176853264699)	(30, 0.11214109662702214)	(35, 0.1257559587491694)	(40, 0.14111395886106515)	(45, 0.15830058508716466)	(50, 0.17676953318009292)	(55, 0.19776213754974817)	(60, 0.2136371651540685)	(65, 0.2316370996326909)	(70, 0.256447978382981)	(75, 0.2768363105304593)	(80, 0.2953480026856153)	(85, 0.321091638848626)	(90, 0.3409442063805116)	(95, 0.3608231229918525)	(100, 0.37735629204745846)	(105, 0.39437721184053853)	(110, 0.41286899580232816)	(115, 0.43193753183664124)	(120, 0.45141242922966623)	(125, 0.4718786375453128)	(130, 0.4928361098090274)	(135, 0.5151912543540756)	(140, 0.5270899131010287)
NG-13640_BCBL_1_lib241208_5808_6_1 - illumina_universal_adapter	(1, 0.00011723939111271305)	(2, 0.00012325166758003168)	(3, 0.00015631918815028407)	(4, 0.00025552174986104124)	(5, 0.0003426997586371612)	(6, 0.0004058286615440067)	(7, 0.000456933011516215)	(8, 0.0005050312232547639)	(9, 0.0005411048820586756)	(10, 0.000743718599007313)	(15, 0.0010713876664761777)	(20, 0.0014555721327378375)	(25, 0.0020501862753556483)	(30, 0.0028071318825910628)	(35, 0.003833427475562351)	(40, 0.004919845833206825)	(45, 0.005879405157390877)	(50, 0.006799283456890626)	(55, 0.00786946866807334)	(60, 0.009052684676841644)	(65, 0.010487815069590598)	(70, 0.012453228246757053)	(75, 0.015355354097531748)	(80, 0.019779788349831524)	(85, 0.026826777597175673)	(90, 0.038072740729295146)	(95, 0.05729519105060623)	(100, 0.08831974007726377)	(105, 0.13693921618552923)	(110, 0.21108020466991548)	(115, 0.3202384949829056)	(120, 0.4752662461480096)	(125, 0.6856646586665313)	(130, 0.9625618550518305)	(135, 1.318200633874308)	(140, 1.5688494336585874)
NG-13640_BCBL_1_lib241208_5808_6_1 - polya	(1, 0.0024860763192362484)	(2, 0.0066616023257890285)	(3, 0.009273936450838969)	(4, 0.013338235342746354)	(5, 0.015707072270869888)	(6, 0.01795866980788071)	(7, 0.02118726227083081)	(8, 0.025988065029984724)	(9, 0.03328095638484221)	(10, 0.04633360859539092)	(15, 0.06033319434954233)	(20, 0.07426784751784668)	(25, 0.09327325465868758)	(30, 0.11055313845340801)	(35, 0.12393285850377886)	(40, 0.13645643038520355)	(45, 0.14989927933848124)	(50, 0.16281124427969468)	(55, 0.1761350501589195)	(60, 0.18769064552910586)	(65, 0.20305381558604516)	(70, 0.21713817443838573)	(75, 0.23086600529621432)	(80, 0.2431394664765986)	(85, 0.2549836511172162)	(90, 0.2671260446706129)	(95, 0.28169379055092597)	(100, 0.29594769559964484)	(105, 0.3106483127898857)	(110, 0.32434367735479075)	(115, 0.3362203282883319)	(120, 0.3483362678252725)	(125, 0.3601437775794395)	(130, 0.37404055340599973)	(135, 0.38825958725120824)	(140, 0.3962601235462691)
