sample_id	cell_line	cell_line_display	Cell_Line	Disease	Project_id	component	is_isolate
NG-29643_MDA_MB_231_lib581314_8005_3	MDA_MB_231	MDA-MB-231	MDA-MB-231	Breast cancer	NG-29643	1	FALSE
NG-29643_HDQ_P1_lib581303_8005_3	HDQ_P1	HDQ-P1	HDQ-P1	Breast cancer	NG-29643	1	FALSE
NG-29643_CAL_85_1_lib581300_7997_4	CAL_85_1	CAL-85-1	CAL-85-1	Breast cancer	NG-29643	1	FALSE
NG-29643_MFM_223_lib581297_7997_4	MFM_223	MFM-223	MFM-223	Breast cancer	NG-29643	2	FALSE
NG-29643_KPL_1_lib581296_7997_4	KPL_1	KPL-1	KPL-1	Breast cancer	NG-29643	2	FALSE
NG-29643_BT_474_lib581288_7997_4	BT_474	BT-474	BT-474	Breast Cancer	NG-29643	2	FALSE
NG-29643_JIMT_1_B_lib581287_7997_4	JIMT_1	JIMT-1	JIMT-1	Breast cancer	NG-29643	1	FALSE
NG-29643_EFM_19_lib581291_7997_4	EFM_19	EFM-19	EFM-19	Breast cancer	NG-29643	2	FALSE
NG-29643_HCC_1599_lib581304_7997_4	HCC_1599	HCC-1599	HCC-1599	Breast cancer	NG-29643	1	FALSE
NG-29643_EFM_192B_lib581293_7997_4	EFM_192B	EFM-192B	EFM-192B	Breast cancer	NG-29643	2	FALSE
NG-29643_COLO_824_lib581290_7997_4	COLO_824	COLO-824	COLO-824	Breast cancer	NG-29643	1	FALSE
NG-29643_CAL_120_lib581301_8005_3	CAL_120	CAL-120	CAL-120	Breast cancer	NG-29643	1	FALSE
NG-29643_MDA_MB_453_lib581289_7997_4	MDA_MB_453	MDA-MB-453	MDA-MB-453	Breast cancer	NG-29643	2	FALSE
NG-29643_EVSA_T_lib581299_7997_4	EVSA_T	EVSA-T	EVSA-T	Breast cancer	NG-29643	2	FALSE
NG-29643_MCF_7_lib581315_7997_4	MCF_7	MCF-7	MCF-7	Breast cancer	NG-29643	2	FALSE
NG-29643_EFM_192A_lib581292_7997_4	EFM_192A	EFM-192A	EFM-192A	Breast cancer	NG-29643	2	FALSE
NG-29643_HCC_1937_lib581305_7997_4	HCC_1937	HCC-1937	HCC-1937	Breast cancer	NG-29643	3	FALSE
NG-30919_MDA_MB_468_B_lib628474_10098_2	MDA_MB_468	MDA-MB-468	MDA-MB-468	Breast cancer	NG-29643	3	FALSE
NG-29643_CAL_148_lib581302_7997_4	CAL_148	CAL-148	CAL-148	Breast cancer	NG-29643	2	FALSE
NG-29643_ETCC_006_lib581311_8005_3	ETCC_006	ETCC-006	ETCC-006	Breast cancer	NG-29643	1	FALSE
NG-30919_HS_578T_B_lib628473_10098_2	HS_578T	HS-578T	HS-578T	Breast cancer	NG-29643	1	FALSE
NG-29643_ETCC_007_lib581312_7997_4	ETCC_007	ETCC-007	ETCC-007	Breast cancer	NG-29643	1	FALSE
NG-29643_CAL_51_lib581295_7997_4	CAL_51	CAL-51	CAL-51	Breast cancer	NG-29643	1	FALSE
NG-29643_EFM_192C_lib581294_7997_4	EFM_192C	EFM-192C	EFM-192C	Breast cancer	NG-29643	2	FALSE
NG-29643_HCC_1143_lib581306_7997_4	HCC_1143	HCC-1143	HCC-1143	Breast cancer	NG-29643	1	FALSE
NG-29643_T_47D_lib581309_8005_3	T_47D	T-47D	T-47D	Breast cancer	NG-29643	2	FALSE
NG-29643_DU_4475_lib581298_7997_4	DU_4475	DU-4475	DU-4475	Breast cancer	NG-29643	4	TRUE
NG-29643_IPH_926_lib581313_7997_4	IPH_926	IPH-926	IPH-926	Breast cancer	NG-29643	5	TRUE
NG-29643_SK_BR_3_lib581307_7997_4	SK_BR_3	SK-BR-3	SK-BR-3	Breast cancer	NG-29643	6	TRUE
