query_id	query_family	profile	disease	group_id	contrast_id	direction	ordered	rank_source	genes_tsv	background_tsv	ranked_genes_tsv	gene_count	background_count	interpretation_hint	skip	skip_reason
rbl__per_contrast__anchor_RBL_18_vs_outside_component_0__up	per_contrast	rbl	rbl	isolate	anchor_RBL_18_vs_outside_component_0	up	FALSE	""	/work/ugbogu/pipeline/results/unsupervised/rbl/enrichment/query_sets/gene_sets/rbl__per_contrast__anchor_RBL_18_vs_outside_component_0__up/genes.tsv	/work/ugbogu/pipeline/results/unsupervised/rbl/enrichment/query_sets/gene_sets/rbl__per_contrast__anchor_RBL_18_vs_outside_component_0__up/background.tsv	/work/ugbogu/pipeline/results/unsupervised/rbl/enrichment/query_sets/gene_sets/rbl__per_contrast__anchor_RBL_18_vs_outside_component_0__up/ranked_genes.tsv	20	16777	per_contrast | up | over-representation query	FALSE	""
rbl__per_contrast__isolate_RBL_14_vs_rest__all	per_contrast	rbl	rbl	isolate	isolate_RBL_14_vs_rest	all	FALSE	""	/work/ugbogu/pipeline/results/unsupervised/rbl/enrichment/query_sets/gene_sets/rbl__per_contrast__isolate_RBL_14_vs_rest__all/genes.tsv	/work/ugbogu/pipeline/results/unsupervised/rbl/enrichment/query_sets/gene_sets/rbl__per_contrast__isolate_RBL_14_vs_rest__all/background.tsv	/work/ugbogu/pipeline/results/unsupervised/rbl/enrichment/query_sets/gene_sets/rbl__per_contrast__isolate_RBL_14_vs_rest__all/ranked_genes.tsv	23	17991	per_contrast | all | over-representation query	FALSE	""
rbl__per_contrast__isolate_RBL_14_vs_rest__down	per_contrast	rbl	rbl	isolate	isolate_RBL_14_vs_rest	down	FALSE	""	/work/ugbogu/pipeline/results/unsupervised/rbl/enrichment/query_sets/gene_sets/rbl__per_contrast__isolate_RBL_14_vs_rest__down/genes.tsv	/work/ugbogu/pipeline/results/unsupervised/rbl/enrichment/query_sets/gene_sets/rbl__per_contrast__isolate_RBL_14_vs_rest__down/background.tsv	/work/ugbogu/pipeline/results/unsupervised/rbl/enrichment/query_sets/gene_sets/rbl__per_contrast__isolate_RBL_14_vs_rest__down/ranked_genes.tsv	13	17991	per_contrast | down | over-representation query	FALSE	""
rbl__per_contrast__isolate_RBL_14_vs_rest__up	per_contrast	rbl	rbl	isolate	isolate_RBL_14_vs_rest	up	FALSE	""	/work/ugbogu/pipeline/results/unsupervised/rbl/enrichment/query_sets/gene_sets/rbl__per_contrast__isolate_RBL_14_vs_rest__up/genes.tsv	/work/ugbogu/pipeline/results/unsupervised/rbl/enrichment/query_sets/gene_sets/rbl__per_contrast__isolate_RBL_14_vs_rest__up/background.tsv	/work/ugbogu/pipeline/results/unsupervised/rbl/enrichment/query_sets/gene_sets/rbl__per_contrast__isolate_RBL_14_vs_rest__up/ranked_genes.tsv	10	17991	per_contrast | up | over-representation query	FALSE	""
rbl__per_contrast__isolate_RBL_7_vs_rest__all	per_contrast	rbl	rbl	isolate	isolate_RBL_7_vs_rest	all	FALSE	""	/work/ugbogu/pipeline/results/unsupervised/rbl/enrichment/query_sets/gene_sets/rbl__per_contrast__isolate_RBL_7_vs_rest__all/genes.tsv	/work/ugbogu/pipeline/results/unsupervised/rbl/enrichment/query_sets/gene_sets/rbl__per_contrast__isolate_RBL_7_vs_rest__all/background.tsv	/work/ugbogu/pipeline/results/unsupervised/rbl/enrichment/query_sets/gene_sets/rbl__per_contrast__isolate_RBL_7_vs_rest__all/ranked_genes.tsv	21	16702	per_contrast | all | over-representation query	FALSE	""
rbl__per_contrast__isolate_RBL_7_vs_rest__down	per_contrast	rbl	rbl	isolate	isolate_RBL_7_vs_rest	down	FALSE	""	/work/ugbogu/pipeline/results/unsupervised/rbl/enrichment/query_sets/gene_sets/rbl__per_contrast__isolate_RBL_7_vs_rest__down/genes.tsv	/work/ugbogu/pipeline/results/unsupervised/rbl/enrichment/query_sets/gene_sets/rbl__per_contrast__isolate_RBL_7_vs_rest__down/background.tsv	/work/ugbogu/pipeline/results/unsupervised/rbl/enrichment/query_sets/gene_sets/rbl__per_contrast__isolate_RBL_7_vs_rest__down/ranked_genes.tsv	17	16702	per_contrast | down | over-representation query	FALSE	""
rbl__per_contrast__isolate_RBL_7_vs_rest__up	per_contrast	rbl	rbl	isolate	isolate_RBL_7_vs_rest	up	FALSE	""	/work/ugbogu/pipeline/results/unsupervised/rbl/enrichment/query_sets/gene_sets/rbl__per_contrast__isolate_RBL_7_vs_rest__up/genes.tsv	/work/ugbogu/pipeline/results/unsupervised/rbl/enrichment/query_sets/gene_sets/rbl__per_contrast__isolate_RBL_7_vs_rest__up/background.tsv	/work/ugbogu/pipeline/results/unsupervised/rbl/enrichment/query_sets/gene_sets/rbl__per_contrast__isolate_RBL_7_vs_rest__up/ranked_genes.tsv	4	16702	per_contrast | up | over-representation query	TRUE	fewer_than_min_genes
rbl__per_contrast__isolate_WERI_RB1_vs_rest__all	per_contrast	rbl	rbl	isolate	isolate_WERI_RB1_vs_rest	all	FALSE	""	/work/ugbogu/pipeline/results/unsupervised/rbl/enrichment/query_sets/gene_sets/rbl__per_contrast__isolate_WERI_RB1_vs_rest__all/genes.tsv	/work/ugbogu/pipeline/results/unsupervised/rbl/enrichment/query_sets/gene_sets/rbl__per_contrast__isolate_WERI_RB1_vs_rest__all/background.tsv	/work/ugbogu/pipeline/results/unsupervised/rbl/enrichment/query_sets/gene_sets/rbl__per_contrast__isolate_WERI_RB1_vs_rest__all/ranked_genes.tsv	50	16670	per_contrast | all | over-representation query	FALSE	""
rbl__per_contrast__isolate_WERI_RB1_vs_rest__down	per_contrast	rbl	rbl	isolate	isolate_WERI_RB1_vs_rest	down	FALSE	""	/work/ugbogu/pipeline/results/unsupervised/rbl/enrichment/query_sets/gene_sets/rbl__per_contrast__isolate_WERI_RB1_vs_rest__down/genes.tsv	/work/ugbogu/pipeline/results/unsupervised/rbl/enrichment/query_sets/gene_sets/rbl__per_contrast__isolate_WERI_RB1_vs_rest__down/background.tsv	/work/ugbogu/pipeline/results/unsupervised/rbl/enrichment/query_sets/gene_sets/rbl__per_contrast__isolate_WERI_RB1_vs_rest__down/ranked_genes.tsv	10	16670	per_contrast | down | over-representation query	FALSE	""
rbl__per_contrast__isolate_WERI_RB1_vs_rest__up	per_contrast	rbl	rbl	isolate	isolate_WERI_RB1_vs_rest	up	FALSE	""	/work/ugbogu/pipeline/results/unsupervised/rbl/enrichment/query_sets/gene_sets/rbl__per_contrast__isolate_WERI_RB1_vs_rest__up/genes.tsv	/work/ugbogu/pipeline/results/unsupervised/rbl/enrichment/query_sets/gene_sets/rbl__per_contrast__isolate_WERI_RB1_vs_rest__up/background.tsv	/work/ugbogu/pipeline/results/unsupervised/rbl/enrichment/query_sets/gene_sets/rbl__per_contrast__isolate_WERI_RB1_vs_rest__up/ranked_genes.tsv	40	16670	per_contrast | up | over-representation query	FALSE	""
rbl__per_contrast__isolate_Y_79_vs_rest__all	per_contrast	rbl	rbl	isolate	isolate_Y_79_vs_rest	all	FALSE	""	/work/ugbogu/pipeline/results/unsupervised/rbl/enrichment/query_sets/gene_sets/rbl__per_contrast__isolate_Y_79_vs_rest__all/genes.tsv	/work/ugbogu/pipeline/results/unsupervised/rbl/enrichment/query_sets/gene_sets/rbl__per_contrast__isolate_Y_79_vs_rest__all/background.tsv	/work/ugbogu/pipeline/results/unsupervised/rbl/enrichment/query_sets/gene_sets/rbl__per_contrast__isolate_Y_79_vs_rest__all/ranked_genes.tsv	50	15317	per_contrast | all | over-representation query	FALSE	""
rbl__per_contrast__isolate_Y_79_vs_rest__down	per_contrast	rbl	rbl	isolate	isolate_Y_79_vs_rest	down	FALSE	""	/work/ugbogu/pipeline/results/unsupervised/rbl/enrichment/query_sets/gene_sets/rbl__per_contrast__isolate_Y_79_vs_rest__down/genes.tsv	/work/ugbogu/pipeline/results/unsupervised/rbl/enrichment/query_sets/gene_sets/rbl__per_contrast__isolate_Y_79_vs_rest__down/background.tsv	/work/ugbogu/pipeline/results/unsupervised/rbl/enrichment/query_sets/gene_sets/rbl__per_contrast__isolate_Y_79_vs_rest__down/ranked_genes.tsv	27	15317	per_contrast | down | over-representation query	FALSE	""
rbl__per_contrast__isolate_Y_79_vs_rest__up	per_contrast	rbl	rbl	isolate	isolate_Y_79_vs_rest	up	FALSE	""	/work/ugbogu/pipeline/results/unsupervised/rbl/enrichment/query_sets/gene_sets/rbl__per_contrast__isolate_Y_79_vs_rest__up/genes.tsv	/work/ugbogu/pipeline/results/unsupervised/rbl/enrichment/query_sets/gene_sets/rbl__per_contrast__isolate_Y_79_vs_rest__up/background.tsv	/work/ugbogu/pipeline/results/unsupervised/rbl/enrichment/query_sets/gene_sets/rbl__per_contrast__isolate_Y_79_vs_rest__up/ranked_genes.tsv	23	15317	per_contrast | up | over-representation query	FALSE	""
strict_union__all	strict_union	rbl	pan_cancer	strict_union	""	all	FALSE	""	/work/ugbogu/pipeline/results/unsupervised/rbl/enrichment/query_sets/gene_sets/strict_union__all/genes.tsv	/work/ugbogu/pipeline/results/unsupervised/rbl/enrichment/query_sets/gene_sets/strict_union__all/background.tsv	/work/ugbogu/pipeline/results/unsupervised/rbl/enrichment/query_sets/gene_sets/strict_union__all/ranked_genes.tsv	23	24106	strict_union | all | over-representation query	FALSE	""
strict_union__down	strict_union	rbl	pan_cancer	strict_union	""	down	FALSE	""	/work/ugbogu/pipeline/results/unsupervised/rbl/enrichment/query_sets/gene_sets/strict_union__down/genes.tsv	/work/ugbogu/pipeline/results/unsupervised/rbl/enrichment/query_sets/gene_sets/strict_union__down/background.tsv	/work/ugbogu/pipeline/results/unsupervised/rbl/enrichment/query_sets/gene_sets/strict_union__down/ranked_genes.tsv	22	24106	strict_union | down | over-representation query	FALSE	""
strict_union__up	strict_union	rbl	pan_cancer	strict_union	""	up	FALSE	""	/work/ugbogu/pipeline/results/unsupervised/rbl/enrichment/query_sets/gene_sets/strict_union__up/genes.tsv	/work/ugbogu/pipeline/results/unsupervised/rbl/enrichment/query_sets/gene_sets/strict_union__up/background.tsv	/work/ugbogu/pipeline/results/unsupervised/rbl/enrichment/query_sets/gene_sets/strict_union__up/ranked_genes.tsv	1	24106	strict_union | up | over-representation query	TRUE	fewer_than_min_genes
