community_leiden	n_members	members	mean_degree	mean_mean_edge_sim
1	1	IMR_32	6	0.785817237951483
10	1	GI_ME_N	1	0.7890625
11	1	LAN2	0	NA
12	1	LAN6	0	NA
13	1	MHH_NB_11	0	NA
14	1	NBL_S	0	NA
15	1	NGP	0	NA
16	1	NMB	0	NA
17	1	SH_SY5Y	0	NA
18	1	SIMA	0	NA
2	1	CHP_134	4	0.8313492667474609
3	1	LS	4	0.7784409139802824
4	1	KELLY	4	0.7738125722287436
5	1	LAN5	3	0.8401682431479441
6	1	SK_N_BE_2	3	0.8035532048144254
7	1	CHP_126	3	0.7986288971764455
8	1	LAN1	3	0.7557969412729024
9	1	CCLF_PEDS_0051_T	1	0.7890625
