community_leiden	n_members	members	mean_degree	mean_mean_edge_sim
1	1	EFM_192C	7	0.5416388588705312
10	1	HCC_1143	3	0.7209989806320082
11	1	HCC_1599	3	0.563302752293578
12	1	CAL_120	3	0.5258367006969631
13	1	EFM_19	3	0.5233052139331884
14	1	IPH_926	3	0.5185832486291505
15	1	ETCC_007	3	0.5137715922522937
16	1	ETCC_006	2	0.6451831201205298
17	1	HS_578T	2	0.5846689416219544
18	1	JIMT_1	2	0.5671464636861527
19	1	EVSA_T	2	0.5651864240680418
2	1	BT_474	6	0.5701434460325613
20	1	SK_BR_3	2	0.5311923978945431
21	1	COLO_824	2	0.5177767687382426
22	1	MDA_MB_468	2	0.5164246155581435
23	1	CAL_148	2	0.49130400843110417
24	1	MDA_MB_231	2	0.4626242305110787
25	1	CAL_51	1	0.6586654589371981
26	1	EFM_192B	1	0.6071584626113354
27	1	MDA_MB_453	1	0.5723509989136017
28	1	DU_4475	0	NA
29	1	HCC_1937	0	NA
3	1	CAL_85_1	5	0.598533448091993
4	1	T_47D	5	0.5030083757775814
5	1	HDQ_P1	4	0.6291117151201244
6	1	KPL_1	4	0.5654557053758731
7	1	EFM_192A	4	0.546041218553425
8	1	MCF_7	4	0.5444818724112287
9	1	MFM_223	4	0.5375709632244009
