cell_line	sample_id	cell_tech_id	cell_line_display	degree	betweenness	component	community_louv	community_leid	mean_edge_sim	max_edge_sim	is_outlier
IMR_32	NG-A0611_IMR32_libLAB6079	IMR_32	IMR_32	5	10	1	3	1	0.8816345641427558	0.9141028660245419	FALSE
KELLY	NG-A0611_KELLY_libLAB6075	KELLY	KELLY	2	0	2	2	10	0.8206051947095756	0.8235633978562567	FALSE
NMB	NG-A0611_NMB_libLAB6080	NMB	NMB	1	0	1	1	11	0.8709386281588448	0.8709386281588448	FALSE
SIMA	NG-A0611_SIMA_libLAB6086	SIMA	SIMA	1	0	2	2	12	0.8260810594065443	0.8260810594065443	FALSE
CHP_126	NG-A0611_CHP126_libLAB6088	CHP_126	CHP_126	4	6	1	1	2	0.8628162377273917	0.8709386281588448	FALSE
LAN5	NG-A0611_LAN5_libLAB6087	LAN5	LAN5	4	2.5	1	1	3	0.861748925244784	0.9141028660245419	FALSE
NGP	NG-A0611_NGP_libLAB6082	NGP	NGP	4	2.5	1	1	4	0.847662992137268	0.8541323836349232	FALSE
NBL_S	NG-A0611_NBLS_libLAB6077	NBL_S	NBL_S	3	2	2	2	5	0.8357424720675868	0.8634993652333215	FALSE
CHP_134	NG-A0611_CHP134_libLAB6074	CHP_134	CHP_134	2	0	1	3	6	0.8784559783496089	0.9027795730642945	FALSE
LAN1	NG-A0611_LAN1_libLAB6085	LAN1	LAN1	2	0	1	3	7	0.8669922546640421	0.8798521256931608	FALSE
LAN6	NG-A0611_LAN6_libLAB6089	LAN6	LAN6	2	0	2	2	8	0.8435313815447891	0.8634993652333215	FALSE
MHH_NB_11	NG-A0611_MHHNB11_libLAB6084	MHH_NB_11	MHH_NB_11	2	0	1	1	9	0.8348602683185655	0.8541323836349232	FALSE
CCLF_PEDS_0051_T	NG-A2798_CCLF_PEDS_0051_T_libLAI2540	CCLF_PEDS_0051_T	CCLF_PEDS_0051_T	0	0	3	4	13	NA	NA	TRUE
GI_ME_N	NG-A0611_GIMEN_libLAB6073	GI_ME_N	GI_ME_N	0	0	4	5	14	NA	NA	TRUE
LAN2	NG-A0611_LAN2_libLAB6083	LAN2	LAN2	0	0	5	6	15	NA	NA	TRUE
LS	NG-A0611_LS_libLAB6078	LS	LS	0	0	6	7	16	NA	NA	TRUE
SH_SY5Y	NG-A0611_SHSY5Y_libLAB6081	SH_SY5Y	SH_SY5Y	0	0	7	8	17	NA	NA	TRUE
SK_N_BE_2	NG-A0611_SKNBE2_libLAB6076	SK_N_BE_2	SK_N_BE_2	0	0	8	9	18	NA	NA	TRUE
