community_leiden	n_members	members	mean_degree	mean_mean_edge_sim
1	1	ETCC_006	6	0.8334475283388825
10	1	MCF_7	3	0.6625684883210534
11	1	EFM_192C	3	0.6512786565024435
12	1	HDQ_P1	3	0.6421539281936346
13	1	MFM_223	3	0.5920579717501397
14	1	EVSA_T	2	0.6209724037168358
15	1	EFM_192A	2	0.6150302028242776
16	1	BT_474	2	0.6102246857880946
17	1	IPH_926	2	0.6079450399780365
18	1	EFM_19	2	0.589469534028454
19	1	CAL_148	2	0.5635077180380677
2	1	ETCC_007	6	0.8238003609931986
20	1	CAL_85_1	1	0.7349924585218703
21	1	COLO_824	1	0.703827477816143
22	1	HCC_1599	1	0.703827477816143
23	1	EFM_192B	1	0.6524373541102396
24	1	HCC_1937	1	0.6214177978883861
25	1	MDA_MB_468	1	0.6214177978883861
26	1	MDA_MB_453	1	0.6036777790159142
27	1	DU_4475	0	NA
28	1	JIMT_1	0	NA
29	1	SK_BR_3	0	NA
3	1	HS_578T	6	0.8238003609931986
4	1	CAL_120	6	0.7914596517655752
5	1	CAL_51	6	0.7466230222277286
6	1	MDA_MB_231	6	0.7080649336353287
7	1	HCC_1143	6	0.6136491313640906
8	1	T_47D	5	0.612027752851138
9	1	KPL_1	4	0.637442099668224
