cell_line	degree	mean_edge_sim	max_edge_sim	is_outlier	sample_id	cell_tech_id	cell_line_display
ETCC_006	6	0.8334475283388825	0.9903528326543163	FALSE	NG-29643_ETCC_006_lib581311_8005_3	ETCC_006	ETCC_006
ETCC_007	6	0.8238003609931986	0.9903528326543163	FALSE	NG-29643_ETCC_007_lib581312_7997_4	ETCC_007	ETCC_007
HS_578T	6	0.8238003609931986	0.9710584979629487	FALSE	NG-30919_HS_578T_B_lib628473_10098_2	HS_578T	HS_578T
CAL_120	6	0.7914596517655752	0.8552924898147436	FALSE	NG-29643_CAL_120_lib581301_8005_3	CAL_120	CAL_120
CAL_51	6	0.7466230222277286	0.8359981551233762	FALSE	NG-29643_CAL_51_lib581295_7997_4	CAL_51	CAL_51
MDA_MB_231	6	0.7080649336353287	0.7781151510492735	FALSE	NG-29643_MDA_MB_231_lib581314_8005_3	MDA_MB_231	MDA_MB_231
HCC_1143	6	0.6136491313640906	0.703827477816143	FALSE	NG-29643_HCC_1143_lib581306_7997_4	HCC_1143	HCC_1143
T_47D	5	0.612027752851138	0.7779655149318663	FALSE	NG-29643_T_47D_lib581309_8005_3	T_47D	T_47D
KPL_1	4	0.637442099668224	0.8165505762526373	FALSE	NG-29643_KPL_1_lib581296_7997_4	KPL_1	KPL_1
MCF_7	3	0.6625684883210534	0.8165505762526373	FALSE	NG-29643_MCF_7_lib581315_7997_4	MCF_7	MCF_7
EFM_192C	3	0.6512786565024435	0.7779655149318663	FALSE	NG-29643_EFM_192C_lib581294_7997_4	EFM_192C	EFM_192C
HDQ_P1	3	0.6421539281936346	0.7349924585218703	FALSE	NG-29643_HDQ_P1_lib581303_8005_3	HDQ_P1	HDQ_P1
MFM_223	3	0.5920579717501397	0.6221698877310358	FALSE	NG-29643_MFM_223_lib581297_7997_4	MFM_223	MFM_223
EVSA_T	2	0.6209724037168358	0.6382670284177575	FALSE	NG-29643_EVSA_T_lib581299_7997_4	EVSA_T	EVSA_T
EFM_192A	2	0.6150302028242776	0.6524373541102396	FALSE	NG-29643_EFM_192A_lib581292_7997_4	EFM_192A	EFM_192A
BT_474	2	0.6102246857880946	0.6221698877310358	FALSE	NG-29643_BT_474_lib581288_7997_4	BT_474	BT_474
IPH_926	2	0.6079450399780365	0.6382670284177575	FALSE	NG-29643_IPH_926_lib581313_7997_4	IPH_926	IPH_926
EFM_19	2	0.589469534028454	0.6055448441024246	FALSE	NG-29643_EFM_19_lib581291_7997_4	EFM_19	EFM_19
CAL_148	2	0.5635077180380677	0.5673857444679195	FALSE	NG-29643_CAL_148_lib581302_7997_4	CAL_148	CAL_148
CAL_85_1	1	0.7349924585218703	0.7349924585218703	FALSE	NG-29643_CAL_85_1_lib581300_7997_4	CAL_85_1	CAL_85_1
COLO_824	1	0.703827477816143	0.703827477816143	FALSE	NG-29643_COLO_824_lib581290_7997_4	COLO_824	COLO_824
HCC_1599	1	0.703827477816143	0.703827477816143	FALSE	NG-29643_HCC_1599_lib581304_7997_4	HCC_1599	HCC_1599
EFM_192B	1	0.6524373541102396	0.6524373541102396	FALSE	NG-29643_EFM_192B_lib581293_7997_4	EFM_192B	EFM_192B
HCC_1937	1	0.6214177978883861	0.6214177978883861	FALSE	NG-29643_HCC_1937_lib581305_7997_4	HCC_1937	HCC_1937
MDA_MB_468	1	0.6214177978883861	0.6214177978883861	FALSE	NG-30919_MDA_MB_468_B_lib628474_10098_2	MDA_MB_468	MDA_MB_468
MDA_MB_453	1	0.6036777790159142	0.6036777790159142	FALSE	NG-29643_MDA_MB_453_lib581289_7997_4	MDA_MB_453	MDA_MB_453
DU_4475	0	NA	NA	TRUE	NG-29643_DU_4475_lib581298_7997_4	DU_4475	DU_4475
JIMT_1	0	NA	NA	TRUE	NG-29643_JIMT_1_B_lib581287_7997_4	JIMT_1	JIMT_1
SK_BR_3	0	NA	NA	TRUE	NG-29643_SK_BR_3_lib581307_7997_4	SK_BR_3	SK_BR_3
