tumour_lineage	rank_threshold	non_focal_median_ecdf	non_focal_q25_ecdf	non_focal_q75_ecdf	n_non_focal_models
breast cancer	1	0	0	0	29
breast cancer	2	0	0	0.00122249388753056	29
breast cancer	3	0	0	0.00122249388753056	29
breast cancer	4	0.00122249388753056	0	0.00244498777506113	29
breast cancer	5	0.00122249388753056	0	0.00366748166259169	29
breast cancer	6	0.00244498777506113	0	0.00733496332518337	29
breast cancer	7	0.00244498777506113	0	0.00733496332518337	29
breast cancer	8	0.00244498777506113	0	0.00855745721271394	29
breast cancer	9	0.00244498777506113	0.00122249388753056	0.0097799511002445	29
breast cancer	10	0.00366748166259169	0.00122249388753056	0.0097799511002445	29
breast cancer	11	0.00488997555012225	0.00122249388753056	0.0110024449877751	29
breast cancer	12	0.00611246943765281	0.00244498777506113	0.0110024449877751	29
breast cancer	13	0.00733496332518337	0.00244498777506113	0.0122249388753056	29
breast cancer	14	0.0097799511002445	0.00244498777506113	0.0146699266503667	29
breast cancer	15	0.0097799511002445	0.00366748166259169	0.0146699266503667	29
breast cancer	16	0.0110024449877751	0.00488997555012225	0.0171149144254279	29
breast cancer	17	0.0122249388753056	0.00488997555012225	0.019559902200489	29
breast cancer	18	0.0134474327628362	0.00611246943765281	0.0232273838630807	29
breast cancer	19	0.0134474327628362	0.00733496332518337	0.0256723716381418	29
breast cancer	20	0.0158924205378973	0.0097799511002445	0.0281173594132029	29
breast cancer	21	0.0171149144254279	0.0097799511002445	0.0330073349633252	29
breast cancer	22	0.0183374083129584	0.0110024449877751	0.0366748166259169	29
breast cancer	23	0.0244498777506113	0.0122249388753056	0.0427872860635697	29
breast cancer	24	0.0281173594132029	0.0134474327628362	0.0452322738386308	29
breast cancer	25	0.0317848410757946	0.0158924205378973	0.0488997555012225	29
breast cancer	26	0.0330073349633252	0.0171149144254279	0.0537897310513447	29
breast cancer	27	0.0378973105134474	0.0207823960880196	0.0562347188264059	29
breast cancer	28	0.0415647921760391	0.0220048899755501	0.0672371638141809	29
breast cancer	29	0.0476772616136919	0.0244498777506113	0.0721271393643032	29
breast cancer	30	0.0513447432762836	0.0281173594132029	0.0843520782396088	29
breast cancer	31	0.0599022004889976	0.0342298288508557	0.100244498777506	29
breast cancer	32	0.0745721271393643	0.0378973105134474	0.157701711491443	29
breast cancer	33	0.0867970660146699	0.0427872860635697	0.209046454767726	29
breast cancer	34	0.114914425427873	0.0488997555012225	0.255501222493888	29
breast cancer	35	0.157701711491443	0.0623471882640587	0.298288508557457	29
breast cancer	36	0.207823960880196	0.078239608801956	0.343520782396088	29
breast cancer	37	0.244498777506112	0.102689486552567	0.397310513447433	29
breast cancer	38	0.293398533007335	0.13080684596577	0.443765281173594	29
breast cancer	39	0.328850855745721	0.163814180929095	0.482885085574572	29
breast cancer	40	0.36919315403423	0.202933985330073	0.512224938875306	29
