tumour_lineage	rank_threshold	non_focal_median_ecdf	non_focal_q25_ecdf	non_focal_q75_ecdf	n_non_focal_models
breast cancer	41	0.400977995110025	0.235941320293399	0.557457212713937	29
breast cancer	42	0.437652811735941	0.279951100244499	0.599022004889976	29
breast cancer	43	0.469437652811736	0.308068459657702	0.633251833740831	29
breast cancer	44	0.501222493887531	0.337408312958435	0.688264058679707	29
breast cancer	45	0.534229828850856	0.380195599022005	0.722493887530562	29
breast cancer	46	0.568459657701712	0.427872860635697	0.753056234718827	29
breast cancer	47	0.602689486552567	0.482885085574572	0.767726161369193	29
breast cancer	48	0.660146699266504	0.530562347188264	0.786063569682152	29
breast cancer	49	0.691931540342298	0.5880195599022	0.808068459657702	29
breast cancer	50	0.729828850855746	0.649144254278729	0.833740831295844	29
breast cancer	51	0.767726161369193	0.690709046454768	0.865525672371638	29
breast cancer	52	0.788508557457213	0.753056234718827	0.91320293398533	29
breast cancer	53	0.82640586797066	0.797066014669927	0.922982885085575	29
breast cancer	54	0.872860635696821	0.845965770171149	0.937652811735941	29
breast cancer	55	0.915647921760391	0.882640586797066	0.954767726161369	29
breast cancer	56	0.947432762836186	0.922982885085575	0.976772616136919	29
breast cancer	57	0.974327628361858	0.965770171149144	0.991442542787286	29
breast cancer	58	1	1	1	29
neuroblastoma	1	0	0	0	40
neuroblastoma	2	0	0	0	40
neuroblastoma	3	0	0	0	40
neuroblastoma	4	0	0	0	40
neuroblastoma	5	0	0	0	40
neuroblastoma	6	0	0	0	40
neuroblastoma	7	0	0	0	40
neuroblastoma	8	0	0	0.00409836065573771	40
neuroblastoma	9	0	0	0.00409836065573771	40
neuroblastoma	10	0	0	0.00409836065573771	40
neuroblastoma	11	0	0	0.00819672131147541	40
neuroblastoma	12	0	0	0.00819672131147541	40
neuroblastoma	13	0	0	0.0122950819672131	40
neuroblastoma	14	0	0	0.0163934426229508	40
neuroblastoma	15	0	0	0.0163934426229508	40
neuroblastoma	16	0	0	0.0225409836065574	40
neuroblastoma	17	0	0	0.0297131147540984	40
neuroblastoma	18	0	0	0.0430327868852459	40
neuroblastoma	19	0	0	0.0891393442622951	40
neuroblastoma	20	0.00204918032786885	0	0.13422131147541	40
neuroblastoma	21	0.00204918032786885	0	0.181352459016393	40
neuroblastoma	22	0.00204918032786885	0	0.230532786885246	40
neuroblastoma	23	0.00204918032786885	0	0.26844262295082	40
neuroblastoma	24	0.00204918032786885	0	0.310450819672131	40
neuroblastoma	25	0.00204918032786885	0	0.398565573770492	40
neuroblastoma	26	0.00204918032786885	0	0.671106557377049	40
neuroblastoma	27	0.00204918032786885	0	0.905737704918033	40
neuroblastoma	28	0.00409836065573771	0	0.94672131147541	40
neuroblastoma	29	0.00409836065573771	0	0.976434426229508	40
neuroblastoma	30	0.00409836065573771	0	0.983606557377049	40
neuroblastoma	31	0.0122950819672131	0	0.983606557377049	40
neuroblastoma	32	0.0204918032786885	0	0.985655737704918	40
neuroblastoma	33	0.0286885245901639	0	0.988729508196721	40
neuroblastoma	34	0.0758196721311475	0.00409836065573771	0.991803278688525	40
neuroblastoma	35	0.139344262295082	0.00409836065573771	0.991803278688525	40
neuroblastoma	36	0.23155737704918	0.0102459016393443	0.991803278688525	40
neuroblastoma	37	0.34016393442623	0.0163934426229508	0.996926229508197	40
neuroblastoma	38	0.415983606557377	0.0317622950819672	0.996926229508197	40
neuroblastoma	39	0.495901639344262	0.0911885245901639	0.996926229508197	40
neuroblastoma	40	0.565573770491803	0.13422131147541	0.996926229508197	40
neuroblastoma	41	0.60655737704918	0.192622950819672	0.996926229508197	40
neuroblastoma	42	0.651639344262295	0.254098360655738	1	40
neuroblastoma	43	0.711065573770492	0.295081967213115	1	40
neuroblastoma	44	0.745901639344262	0.350409836065574	1	40
neuroblastoma	45	0.780737704918033	0.408811475409836	1	40
neuroblastoma	46	0.825819672131147	0.472336065573771	1	40
neuroblastoma	47	0.858606557377049	0.533811475409836	1	40
neuroblastoma	48	0.879098360655738	0.585040983606557	1	40
neuroblastoma	49	0.911885245901639	0.642418032786885	1	40
neuroblastoma	50	0.930327868852459	0.6875	1	40
neuroblastoma	51	0.961065573770492	0.727459016393443	1	40
neuroblastoma	52	0.973360655737705	0.758196721311475	1	40
neuroblastoma	53	0.979508196721311	0.8125	1	40
neuroblastoma	54	0.987704918032787	0.841188524590164	1	40
neuroblastoma	55	0.995901639344262	0.88422131147541	1	40
neuroblastoma	56	1	0.940573770491803	1	40
neuroblastoma	57	1	0.982581967213115	1	40
neuroblastoma	58	1	1	1	40
retinoblastoma	1	0	0	0	47
retinoblastoma	2	0	0	0	47
retinoblastoma	3	0	0	0	47
retinoblastoma	4	0	0	0	47
retinoblastoma	5	0	0	0	47
retinoblastoma	6	0	0	0	47
retinoblastoma	7	0	0	0	47
retinoblastoma	8	0	0	0	47
retinoblastoma	9	0	0	0	47
retinoblastoma	10	0	0	0	47
retinoblastoma	11	0	0	0	47
retinoblastoma	12	0	0	0	47
retinoblastoma	13	0	0	0	47
retinoblastoma	14	0	0	0	47
retinoblastoma	15	0	0	0	47
retinoblastoma	16	0	0	0	47
retinoblastoma	17	0	0	0.00757575757575758	47
retinoblastoma	18	0	0	0.0227272727272727	47
retinoblastoma	19	0	0	0.0606060606060606	47
retinoblastoma	20	0	0	0.0984848484848485	47
retinoblastoma	21	0	0	0.151515151515152	47
retinoblastoma	22	0	0	0.272727272727273	47
retinoblastoma	23	0	0	0.545454545454545	47
retinoblastoma	24	0	0	0.946969696969697	47
retinoblastoma	25	0	0	0.954545454545455	47
retinoblastoma	26	0	0	0.96969696969697	47
retinoblastoma	27	0	0	0.977272727272727	47
retinoblastoma	28	0	0	1	47
retinoblastoma	29	0	0	1	47
retinoblastoma	30	0	0	1	47
retinoblastoma	31	0.0303030303030303	0	1	47
retinoblastoma	32	0.0909090909090909	0	1	47
retinoblastoma	33	0.181818181818182	0	1	47
retinoblastoma	34	0.303030303030303	0	1	47
retinoblastoma	35	0.393939393939394	0	1	47
retinoblastoma	36	0.606060606060606	0.00757575757575758	1	47
retinoblastoma	37	0.727272727272727	0.0151515151515152	1	47
retinoblastoma	38	0.818181818181818	0.0227272727272727	1	47
retinoblastoma	39	0.878787878787879	0.0606060606060606	1	47
retinoblastoma	40	0.924242424242424	0.0909090909090909	1	47
retinoblastoma	41	0.954545454545455	0.136363636363636	1	47
retinoblastoma	42	0.954545454545455	0.21969696969697	1	47
retinoblastoma	43	0.96969696969697	0.28030303030303	1	47
retinoblastoma	44	0.984848484848485	0.401515151515151	1	47
retinoblastoma	45	0.984848484848485	0.492424242424242	1	47
retinoblastoma	46	0.984848484848485	0.560606060606061	1	47
retinoblastoma	47	0.984848484848485	0.659090909090909	1	47
retinoblastoma	48	0.984848484848485	0.727272727272727	1	47
retinoblastoma	49	1	0.840909090909091	1	47
retinoblastoma	50	1	0.886363636363636	1	47
retinoblastoma	51	1	0.916666666666667	1	47
retinoblastoma	52	1	0.939393939393939	1	47
retinoblastoma	53	1	0.954545454545455	1	47
retinoblastoma	54	1	0.977272727272727	1	47
retinoblastoma	55	1	0.992424242424242	1	47
retinoblastoma	56	1	1	1	47
retinoblastoma	57	1	1	1	47
retinoblastoma	58	1	1	1	47
