tumour_sample_id	tumour_lineage	tumour_project_or_cohort	cell_line_model_id	cell_line_group_id	cell_line_lineage	similarity_metric	similarity_score	rank	is_focal_lineage	is_non_focal_lineage
GSE100148_SRR5710452	neuroblastoma	GSE100148	NG-30919_RBL_15_lib626622_10098_2	RBL_15	retinoblastoma	Spearman correlation	0.390397416820365	14	FALSE	TRUE
GSE100148_SRR5710452	neuroblastoma	GSE100148	NG-30919_RBL_15_lib626622_10102_4	RBL_15	retinoblastoma	Spearman correlation	0.383473394151161	15	FALSE	TRUE
GSE100148_SRR5710452	neuroblastoma	GSE100148	NG-30919_RBL_18_lib626623_10098_1	RBL_18	retinoblastoma	Spearman correlation	0.373738256011354	16	FALSE	TRUE
GSE100148_SRR5710452	neuroblastoma	GSE100148	NG-30919_RBL_30_lib628471_10098_1	RBL_30	retinoblastoma	Spearman correlation	0.371377142619564	17	FALSE	TRUE
GSE100148_SRR5710452	neuroblastoma	GSE100148	NG-30919_RBL_7_lib628468_10098_1	RBL_7	retinoblastoma	Spearman correlation	0.353067508347574	18	FALSE	TRUE
GSE100148_SRR5710452	neuroblastoma	GSE100148	NG-A0611_CHP134_libLAB6074	CHP134	neuroblastoma	Spearman correlation	0.349482864458885	19	TRUE	FALSE
GSE100148_SRR5710452	neuroblastoma	GSE100148	NG-30919_RBL_14_lib628470_10098_1	RBL_14	retinoblastoma	Spearman correlation	0.341001303538631	20	FALSE	TRUE
GSE100148_SRR5710452	neuroblastoma	GSE100148	NG-30919_RBL_20_lib626624_10098_1	RBL_20	retinoblastoma	Spearman correlation	0.325881513194879	21	FALSE	TRUE
GSE100148_SRR5710452	neuroblastoma	GSE100148	NG-30919_RBL_20_lib626624_10102_3	RBL_20	retinoblastoma	Spearman correlation	0.319611530814137	22	FALSE	TRUE
GSE100148_SRR5710452	neuroblastoma	GSE100148	NG-30919_RBL_13_lib628469_10098_1	RBL_13	retinoblastoma	Spearman correlation	0.314232468698128	23	FALSE	TRUE
GSE100148_SRR5710452	neuroblastoma	GSE100148	NG-30919_Y_79_lib626626_10098_1	Y_79	retinoblastoma	Spearman correlation	0.293501627589041	24	FALSE	TRUE
GSE100148_SRR5710452	neuroblastoma	GSE100148	NG-A0611_SHSY5Y_libLAB6081	SHSY5Y	neuroblastoma	Spearman correlation	0.279137896638575	25	TRUE	FALSE
GSE100148_SRR5710452	neuroblastoma	GSE100148	NG-30919_WERI_RB1_lib628472_10098_1	WERI_RB1	retinoblastoma	Spearman correlation	0.235692431964263	26	FALSE	TRUE
GSE100148_SRR5710452	neuroblastoma	GSE100148	NG-A0611_LS_libLAB6078	LS	neuroblastoma	Spearman correlation	0.134578921385545	27	TRUE	FALSE
GSE100148_SRR5710452	neuroblastoma	GSE100148	NG-A0611_GIMEN_libLAB6073	GIMEN	neuroblastoma	Spearman correlation	0.0611866568793544	28	TRUE	FALSE
GSE100148_SRR5710452	neuroblastoma	GSE100148	NG-29643_DU_4475_lib581298_7997_4	DU_4475	breast cancer	Spearman correlation	-0.00215393075767703	29	FALSE	TRUE
GSE100148_SRR5710452	neuroblastoma	GSE100148	NG-29643_CAL_51_lib581295_7997_4	CAL_51	breast cancer	Spearman correlation	-0.188171793184914	30	FALSE	TRUE
GSE100148_SRR5710452	neuroblastoma	GSE100148	NG-30919_HS_578T_B_lib628473_10098_2	HS_578T_B	breast cancer	Spearman correlation	-0.243912656273529	31	FALSE	TRUE
GSE100148_SRR5710452	neuroblastoma	GSE100148	NG-29643_ETCC_006_lib581311_8005_3	ETCC_006	breast cancer	Spearman correlation	-0.247277190449754	32	FALSE	TRUE
GSE100148_SRR5710452	neuroblastoma	GSE100148	NG-A2798_CCLF_PEDS_0051_T_libLAI2540	CCLF_PEDS_0051_T	neuroblastoma	Spearman correlation	-0.267412687193703	33	TRUE	FALSE
GSE100148_SRR5710452	neuroblastoma	GSE100148	NG-29643_ETCC_007_lib581312_7997_4	ETCC_007	breast cancer	Spearman correlation	-0.286305088132977	34	FALSE	TRUE
GSE100148_SRR5710452	neuroblastoma	GSE100148	NG-29643_MDA_MB_231_lib581314_8005_3	MDA_MB_231	breast cancer	Spearman correlation	-0.29697167467505	35	FALSE	TRUE
GSE100148_SRR5710452	neuroblastoma	GSE100148	NG-29643_MFM_223_lib581297_7997_4	MFM_223	breast cancer	Spearman correlation	-0.305561543549056	36	FALSE	TRUE
GSE100148_SRR5710452	neuroblastoma	GSE100148	NG-29643_MDA_MB_453_lib581289_7997_4	MDA_MB_453	breast cancer	Spearman correlation	-0.306534917610838	37	FALSE	TRUE
GSE100148_SRR5710452	neuroblastoma	GSE100148	NG-29643_COLO_824_lib581290_7997_4	COLO_824	breast cancer	Spearman correlation	-0.319758969383438	38	FALSE	TRUE
GSE100148_SRR5710452	neuroblastoma	GSE100148	NG-29643_CAL_120_lib581301_8005_3	CAL_120	breast cancer	Spearman correlation	-0.339348035031684	39	FALSE	TRUE
GSE100148_SRR5710452	neuroblastoma	GSE100148	NG-29643_T_47D_lib581309_8005_3	T_47D	breast cancer	Spearman correlation	-0.343233844907902	40	FALSE	TRUE
GSE100148_SRR5710452	neuroblastoma	GSE100148	NG-29643_BT_474_lib581288_7997_4	BT_474	breast cancer	Spearman correlation	-0.361398136893567	41	FALSE	TRUE
GSE100148_SRR5710452	neuroblastoma	GSE100148	NG-29643_KPL_1_lib581296_7997_4	KPL_1	breast cancer	Spearman correlation	-0.384265789116029	42	FALSE	TRUE
GSE100148_SRR5710452	neuroblastoma	GSE100148	NG-29643_HDQ_P1_lib581303_8005_3	HDQ_P1	breast cancer	Spearman correlation	-0.388596709744117	43	FALSE	TRUE
GSE100148_SRR5710452	neuroblastoma	GSE100148	NG-29643_EVSA_T_lib581299_7997_4	EVSA_T	breast cancer	Spearman correlation	-0.394819875138398	44	FALSE	TRUE
GSE100148_SRR5710452	neuroblastoma	GSE100148	NG-29643_EFM_19_lib581291_7997_4	EFM_19	breast cancer	Spearman correlation	-0.396095812709694	45	FALSE	TRUE
GSE100148_SRR5710452	neuroblastoma	GSE100148	NG-29643_HCC_1599_lib581304_7997_4	HCC_1599	breast cancer	Spearman correlation	-0.40627536284038	46	FALSE	TRUE
GSE100148_SRR5710452	neuroblastoma	GSE100148	NG-29643_CAL_148_lib581302_7997_4	CAL_148	breast cancer	Spearman correlation	-0.410929809807739	47	FALSE	TRUE
GSE100148_SRR5710452	neuroblastoma	GSE100148	NG-29643_IPH_926_lib581313_7997_4	IPH_926	breast cancer	Spearman correlation	-0.419946621647825	48	FALSE	TRUE
GSE100148_SRR5710452	neuroblastoma	GSE100148	NG-29643_EFM_192B_lib581293_7997_4	EFM_192B	breast cancer	Spearman correlation	-0.422102299307982	49	FALSE	TRUE
GSE100148_SRR5710452	neuroblastoma	GSE100148	NG-29643_MCF_7_lib581315_7997_4	MCF_7	breast cancer	Spearman correlation	-0.425408836321876	50	FALSE	TRUE
GSE100148_SRR5710452	neuroblastoma	GSE100148	NG-29643_EFM_192C_lib581294_7997_4	EFM_192C	breast cancer	Spearman correlation	-0.43748971511165	51	FALSE	TRUE
GSE100148_SRR5710452	neuroblastoma	GSE100148	NG-29643_HCC_1937_lib581305_7997_4	HCC_1937	breast cancer	Spearman correlation	-0.456079552541411	52	FALSE	TRUE
GSE100148_SRR5710452	neuroblastoma	GSE100148	NG-29643_JIMT_1_B_lib581287_7997_4	JIMT_1_B	breast cancer	Spearman correlation	-0.457124200224372	53	FALSE	TRUE
GSE100148_SRR5710452	neuroblastoma	GSE100148	NG-29643_EFM_192A_lib581292_7997_4	EFM_192A	breast cancer	Spearman correlation	-0.478758539296047	54	FALSE	TRUE
GSE100148_SRR5710452	neuroblastoma	GSE100148	NG-29643_SK_BR_3_lib581307_7997_4	SK_BR_3	breast cancer	Spearman correlation	-0.48422145273109	55	FALSE	TRUE
GSE100148_SRR5710452	neuroblastoma	GSE100148	NG-29643_HCC_1143_lib581306_7997_4	HCC_1143	breast cancer	Spearman correlation	-0.487236606411342	56	FALSE	TRUE
GSE100148_SRR5710452	neuroblastoma	GSE100148	NG-30919_MDA_MB_468_B_lib628474_10098_2	MDA_MB_468_B	breast cancer	Spearman correlation	-0.528369870963302	57	FALSE	TRUE
GSE100148_SRR5710452	neuroblastoma	GSE100148	NG-29643_CAL_85_1_lib581300_7997_4	CAL_85_1	breast cancer	Spearman correlation	-0.529494177399344	58	FALSE	TRUE
GSE100148_SRR5710457	neuroblastoma	GSE100148	NG-A0611_LAN6_libLAB6089	LAN6	neuroblastoma	Spearman correlation	0.510898749881647	1	TRUE	FALSE
GSE100148_SRR5710457	neuroblastoma	GSE100148	NG-A0611_KELLY_libLAB6075	KELLY	neuroblastoma	Spearman correlation	0.507681654274723	2	TRUE	FALSE
GSE100148_SRR5710457	neuroblastoma	GSE100148	NG-A0611_SKNBE2_libLAB6076	SKNBE2	neuroblastoma	Spearman correlation	0.480257381623774	3	TRUE	FALSE
GSE100148_SRR5710457	neuroblastoma	GSE100148	NG-A0611_LAN1_libLAB6085	LAN1	neuroblastoma	Spearman correlation	0.454347324042374	4	TRUE	FALSE
GSE100148_SRR5710457	neuroblastoma	GSE100148	NG-A0611_NBLS_libLAB6077	NBLS	neuroblastoma	Spearman correlation	0.452783496942397	5	TRUE	FALSE
GSE100148_SRR5710457	neuroblastoma	GSE100148	NG-A0611_LAN5_libLAB6087	LAN5	neuroblastoma	Spearman correlation	0.431161735568577	6	TRUE	FALSE
GSE100148_SRR5710457	neuroblastoma	GSE100148	NG-A0611_MHHNB11_libLAB6084	MHHNB11	neuroblastoma	Spearman correlation	0.428521816541	7	TRUE	FALSE
GSE100148_SRR5710457	neuroblastoma	GSE100148	NG-A0611_SIMA_libLAB6086	SIMA	neuroblastoma	Spearman correlation	0.408073973633652	8	TRUE	FALSE
GSE100148_SRR5710457	neuroblastoma	GSE100148	NG-A0611_LAN2_libLAB6083	LAN2	neuroblastoma	Spearman correlation	0.402036678663228	9	TRUE	FALSE
GSE100148_SRR5710457	neuroblastoma	GSE100148	NG-A0611_CHP126_libLAB6088	CHP126	neuroblastoma	Spearman correlation	0.400827123386168	10	TRUE	FALSE
GSE100148_SRR5710457	neuroblastoma	GSE100148	NG-A0611_NGP_libLAB6082	NGP	neuroblastoma	Spearman correlation	0.377048985591199	11	TRUE	FALSE
GSE100148_SRR5710457	neuroblastoma	GSE100148	NG-A0611_IMR32_libLAB6079	IMR32	neuroblastoma	Spearman correlation	0.367588460521227	12	TRUE	FALSE
GSE100148_SRR5710457	neuroblastoma	GSE100148	NG-A0611_NMB_libLAB6080	NMB	neuroblastoma	Spearman correlation	0.341498821364897	13	TRUE	FALSE
GSE100148_SRR5710457	neuroblastoma	GSE100148	NG-30919_RBL_15_lib626622_10102_4	RBL_15	retinoblastoma	Spearman correlation	0.322918766589023	14	FALSE	TRUE
GSE100148_SRR5710457	neuroblastoma	GSE100148	NG-30919_RBL_15_lib626622_10098_2	RBL_15	retinoblastoma	Spearman correlation	0.319983970422845	15	FALSE	TRUE
GSE100148_SRR5710457	neuroblastoma	GSE100148	NG-A0611_SHSY5Y_libLAB6081	SHSY5Y	neuroblastoma	Spearman correlation	0.318905083451278	16	TRUE	FALSE
GSE100148_SRR5710457	neuroblastoma	GSE100148	NG-30919_RBL_20_lib626624_10102_3	RBL_20	retinoblastoma	Spearman correlation	0.302274571842937	17	FALSE	TRUE
GSE100148_SRR5710457	neuroblastoma	GSE100148	NG-A0611_CHP134_libLAB6074	CHP134	neuroblastoma	Spearman correlation	0.300553523519771	18	TRUE	FALSE
GSE100148_SRR5710457	neuroblastoma	GSE100148	NG-30919_RBL_30_lib628471_10098_1	RBL_30	retinoblastoma	Spearman correlation	0.290207668273002	19	FALSE	TRUE
GSE100148_SRR5710457	neuroblastoma	GSE100148	NG-30919_RBL_20_lib626624_10098_1	RBL_20	retinoblastoma	Spearman correlation	0.282187988368425	20	FALSE	TRUE
GSE100148_SRR5710457	neuroblastoma	GSE100148	NG-30919_Y_79_lib626626_10098_1	Y_79	retinoblastoma	Spearman correlation	0.275634309024952	21	FALSE	TRUE
GSE100148_SRR5710457	neuroblastoma	GSE100148	NG-30919_WERI_RB1_lib628472_10098_1	WERI_RB1	retinoblastoma	Spearman correlation	0.272336855903954	22	FALSE	TRUE
GSE100148_SRR5710457	neuroblastoma	GSE100148	NG-30919_RBL_14_lib628470_10098_1	RBL_14	retinoblastoma	Spearman correlation	0.271428466614423	23	FALSE	TRUE
GSE100148_SRR5710457	neuroblastoma	GSE100148	NG-30919_RBL_18_lib626623_10098_1	RBL_18	retinoblastoma	Spearman correlation	0.270854085079042	24	FALSE	TRUE
GSE100148_SRR5710457	neuroblastoma	GSE100148	NG-30919_RBL_7_lib628468_10098_1	RBL_7	retinoblastoma	Spearman correlation	0.25793050053298	25	FALSE	TRUE
GSE100148_SRR5710457	neuroblastoma	GSE100148	NG-30919_RBL_13_lib628469_10098_1	RBL_13	retinoblastoma	Spearman correlation	0.249693505959907	26	FALSE	TRUE
GSE100148_SRR5710457	neuroblastoma	GSE100148	NG-A0611_LS_libLAB6078	LS	neuroblastoma	Spearman correlation	0.173318929540086	27	TRUE	FALSE
GSE100148_SRR5710457	neuroblastoma	GSE100148	NG-A0611_GIMEN_libLAB6073	GIMEN	neuroblastoma	Spearman correlation	0.0661199094825011	28	TRUE	FALSE
GSE100148_SRR5710457	neuroblastoma	GSE100148	NG-29643_DU_4475_lib581298_7997_4	DU_4475	breast cancer	Spearman correlation	-0.0140782870852548	29	FALSE	TRUE
GSE100148_SRR5710457	neuroblastoma	GSE100148	NG-29643_CAL_51_lib581295_7997_4	CAL_51	breast cancer	Spearman correlation	-0.121895710620713	30	FALSE	TRUE
GSE100148_SRR5710457	neuroblastoma	GSE100148	NG-A2798_CCLF_PEDS_0051_T_libLAI2540	CCLF_PEDS_0051_T	neuroblastoma	Spearman correlation	-0.176736569551699	31	TRUE	FALSE
GSE100148_SRR5710457	neuroblastoma	GSE100148	NG-29643_ETCC_006_lib581311_8005_3	ETCC_006	breast cancer	Spearman correlation	-0.178449931503954	32	FALSE	TRUE
GSE100148_SRR5710457	neuroblastoma	GSE100148	NG-30919_HS_578T_B_lib628473_10098_2	HS_578T_B	breast cancer	Spearman correlation	-0.184350269319955	33	FALSE	TRUE
GSE100148_SRR5710457	neuroblastoma	GSE100148	NG-29643_MDA_MB_231_lib581314_8005_3	MDA_MB_231	breast cancer	Spearman correlation	-0.188734295783432	34	FALSE	TRUE
GSE100148_SRR5710457	neuroblastoma	GSE100148	NG-29643_ETCC_007_lib581312_7997_4	ETCC_007	breast cancer	Spearman correlation	-0.192315445867161	35	FALSE	TRUE
GSE100148_SRR5710457	neuroblastoma	GSE100148	NG-29643_CAL_120_lib581301_8005_3	CAL_120	breast cancer	Spearman correlation	-0.221177069878545	36	FALSE	TRUE
GSE100148_SRR5710457	neuroblastoma	GSE100148	NG-29643_HDQ_P1_lib581303_8005_3	HDQ_P1	breast cancer	Spearman correlation	-0.253579315836125	37	FALSE	TRUE
GSE100148_SRR5710457	neuroblastoma	GSE100148	NG-29643_JIMT_1_B_lib581287_7997_4	JIMT_1_B	breast cancer	Spearman correlation	-0.292584853167606	38	FALSE	TRUE
GSE100148_SRR5710457	neuroblastoma	GSE100148	NG-29643_COLO_824_lib581290_7997_4	COLO_824	breast cancer	Spearman correlation	-0.302675660652314	39	FALSE	TRUE
GSE100148_SRR5710457	neuroblastoma	GSE100148	NG-29643_MFM_223_lib581297_7997_4	MFM_223	breast cancer	Spearman correlation	-0.33120397567054	40	FALSE	TRUE
GSE100148_SRR5710457	neuroblastoma	GSE100148	NG-29643_CAL_85_1_lib581300_7997_4	CAL_85_1	breast cancer	Spearman correlation	-0.33646145337395	41	FALSE	TRUE
GSE100148_SRR5710457	neuroblastoma	GSE100148	NG-29643_HCC_1599_lib581304_7997_4	HCC_1599	breast cancer	Spearman correlation	-0.344001783238052	42	FALSE	TRUE
GSE100148_SRR5710457	neuroblastoma	GSE100148	NG-29643_HCC_1937_lib581305_7997_4	HCC_1937	breast cancer	Spearman correlation	-0.348431229166004	43	FALSE	TRUE
GSE100148_SRR5710457	neuroblastoma	GSE100148	NG-29643_MDA_MB_453_lib581289_7997_4	MDA_MB_453	breast cancer	Spearman correlation	-0.35104599279787	44	FALSE	TRUE
GSE100148_SRR5710457	neuroblastoma	GSE100148	NG-29643_HCC_1143_lib581306_7997_4	HCC_1143	breast cancer	Spearman correlation	-0.351229766938753	45	FALSE	TRUE
GSE100148_SRR5710457	neuroblastoma	GSE100148	NG-29643_MCF_7_lib581315_7997_4	MCF_7	breast cancer	Spearman correlation	-0.353940260826515	46	FALSE	TRUE
GSE100148_SRR5710457	neuroblastoma	GSE100148	NG-29643_T_47D_lib581309_8005_3	T_47D	breast cancer	Spearman correlation	-0.355171477694326	47	FALSE	TRUE
GSE100148_SRR5710457	neuroblastoma	GSE100148	NG-29643_KPL_1_lib581296_7997_4	KPL_1	breast cancer	Spearman correlation	-0.355637551275955	48	FALSE	TRUE
GSE100148_SRR5710457	neuroblastoma	GSE100148	NG-29643_EFM_19_lib581291_7997_4	EFM_19	breast cancer	Spearman correlation	-0.391150681169684	49	FALSE	TRUE
GSE100148_SRR5710457	neuroblastoma	GSE100148	NG-29643_IPH_926_lib581313_7997_4	IPH_926	breast cancer	Spearman correlation	-0.410776781150503	50	FALSE	TRUE
GSE100148_SRR5710457	neuroblastoma	GSE100148	NG-29643_EVSA_T_lib581299_7997_4	EVSA_T	breast cancer	Spearman correlation	-0.416025174961018	51	FALSE	TRUE
GSE100148_SRR5710457	neuroblastoma	GSE100148	NG-29643_CAL_148_lib581302_7997_4	CAL_148	breast cancer	Spearman correlation	-0.429206602313109	52	FALSE	TRUE
GSE100148_SRR5710457	neuroblastoma	GSE100148	NG-29643_BT_474_lib581288_7997_4	BT_474	breast cancer	Spearman correlation	-0.436651900682305	53	FALSE	TRUE
GSE100148_SRR5710457	neuroblastoma	GSE100148	NG-29643_EFM_192A_lib581292_7997_4	EFM_192A	breast cancer	Spearman correlation	-0.44304137119267	54	FALSE	TRUE
GSE100148_SRR5710457	neuroblastoma	GSE100148	NG-30919_MDA_MB_468_B_lib628474_10098_2	MDA_MB_468_B	breast cancer	Spearman correlation	-0.448941709008671	55	FALSE	TRUE
GSE100148_SRR5710457	neuroblastoma	GSE100148	NG-29643_EFM_192C_lib581294_7997_4	EFM_192C	breast cancer	Spearman correlation	-0.450427274877551	56	FALSE	TRUE
GSE100148_SRR5710457	neuroblastoma	GSE100148	NG-29643_EFM_192B_lib581293_7997_4	EFM_192B	breast cancer	Spearman correlation	-0.458032589513903	57	FALSE	TRUE
GSE100148_SRR5710457	neuroblastoma	GSE100148	NG-29643_SK_BR_3_lib581307_7997_4	SK_BR_3	breast cancer	Spearman correlation	-0.472714256715705	58	FALSE	TRUE
GSE100148_SRR5710462	neuroblastoma	GSE100148	NG-A0611_SKNBE2_libLAB6076	SKNBE2	neuroblastoma	Spearman correlation	0.429465143880129	1	TRUE	FALSE
GSE100148_SRR5710462	neuroblastoma	GSE100148	NG-A0611_LAN6_libLAB6089	LAN6	neuroblastoma	Spearman correlation	0.311298371292942	2	TRUE	FALSE
GSE100148_SRR5710462	neuroblastoma	GSE100148	NG-A0611_KELLY_libLAB6075	KELLY	neuroblastoma	Spearman correlation	0.296582464802535	3	TRUE	FALSE
GSE100148_SRR5710462	neuroblastoma	GSE100148	NG-A0611_LAN2_libLAB6083	LAN2	neuroblastoma	Spearman correlation	0.289469077904514	4	TRUE	FALSE
GSE100148_SRR5710462	neuroblastoma	GSE100148	NG-A0611_GIMEN_libLAB6073	GIMEN	neuroblastoma	Spearman correlation	0.288330796248632	5	TRUE	FALSE
GSE100148_SRR5710462	neuroblastoma	GSE100148	NG-A0611_SHSY5Y_libLAB6081	SHSY5Y	neuroblastoma	Spearman correlation	0.271769461978493	6	TRUE	FALSE
GSE100148_SRR5710462	neuroblastoma	GSE100148	NG-A0611_LAN5_libLAB6087	LAN5	neuroblastoma	Spearman correlation	0.261659787947002	7	TRUE	FALSE
GSE100148_SRR5710462	neuroblastoma	GSE100148	NG-A0611_LS_libLAB6078	LS	neuroblastoma	Spearman correlation	0.260536879032943	8	TRUE	FALSE
GSE100148_SRR5710462	neuroblastoma	GSE100148	NG-30919_WERI_RB1_lib628472_10098_1	WERI_RB1	retinoblastoma	Spearman correlation	0.257887177351479	9	FALSE	TRUE
GSE100148_SRR5710462	neuroblastoma	GSE100148	NG-A0611_SIMA_libLAB6086	SIMA	neuroblastoma	Spearman correlation	0.248400099363813	10	TRUE	FALSE
GSE100148_SRR5710462	neuroblastoma	GSE100148	NG-A0611_NBLS_libLAB6077	NBLS	neuroblastoma	Spearman correlation	0.236453382684493	11	TRUE	FALSE
GSE100148_SRR5710462	neuroblastoma	GSE100148	NG-A0611_MHHNB11_libLAB6084	MHHNB11	neuroblastoma	Spearman correlation	0.221175672356561	12	TRUE	FALSE
GSE100148_SRR5710462	neuroblastoma	GSE100148	NG-A0611_NGP_libLAB6082	NGP	neuroblastoma	Spearman correlation	0.205082507951027	13	TRUE	FALSE
GSE100148_SRR5710462	neuroblastoma	GSE100148	NG-A0611_LAN1_libLAB6085	LAN1	neuroblastoma	Spearman correlation	0.197442954026069	14	TRUE	FALSE
GSE100148_SRR5710462	neuroblastoma	GSE100148	NG-A0611_NMB_libLAB6080	NMB	neuroblastoma	Spearman correlation	0.188434527317886	15	TRUE	FALSE
GSE100148_SRR5710462	neuroblastoma	GSE100148	NG-A0611_CHP126_libLAB6088	CHP126	neuroblastoma	Spearman correlation	0.185074884468605	16	TRUE	FALSE
GSE100148_SRR5710462	neuroblastoma	GSE100148	NG-A0611_CHP134_libLAB6074	CHP134	neuroblastoma	Spearman correlation	0.175676549126916	17	TRUE	FALSE
GSE100148_SRR5710462	neuroblastoma	GSE100148	NG-30919_RBL_30_lib628471_10098_1	RBL_30	retinoblastoma	Spearman correlation	0.162968881727365	18	FALSE	TRUE
GSE100148_SRR5710462	neuroblastoma	GSE100148	NG-30919_RBL_14_lib628470_10098_1	RBL_14	retinoblastoma	Spearman correlation	0.159148056623398	19	FALSE	TRUE
GSE100148_SRR5710462	neuroblastoma	GSE100148	NG-30919_Y_79_lib626626_10098_1	Y_79	retinoblastoma	Spearman correlation	0.151841112930607	20	FALSE	TRUE
GSE100148_SRR5710462	neuroblastoma	GSE100148	NG-A0611_IMR32_libLAB6079	IMR32	neuroblastoma	Spearman correlation	0.147583562206673	21	TRUE	FALSE
GSE100148_SRR5710462	neuroblastoma	GSE100148	NG-30919_RBL_20_lib626624_10098_1	RBL_20	retinoblastoma	Spearman correlation	0.137311076864059	22	FALSE	TRUE
GSE100148_SRR5710462	neuroblastoma	GSE100148	NG-30919_RBL_15_lib626622_10102_4	RBL_15	retinoblastoma	Spearman correlation	0.129663137807197	23	FALSE	TRUE
GSE100148_SRR5710462	neuroblastoma	GSE100148	NG-30919_RBL_15_lib626622_10098_2	RBL_15	retinoblastoma	Spearman correlation	0.128160102913519	24	FALSE	TRUE
GSE100148_SRR5710462	neuroblastoma	GSE100148	NG-30919_RBL_20_lib626624_10102_3	RBL_20	retinoblastoma	Spearman correlation	0.11923552752437	25	FALSE	TRUE
GSE100148_SRR5710462	neuroblastoma	GSE100148	NG-30919_RBL_18_lib626623_10098_1	RBL_18	retinoblastoma	Spearman correlation	0.116039394747204	26	FALSE	TRUE
GSE100148_SRR5710462	neuroblastoma	GSE100148	NG-29643_MDA_MB_231_lib581314_8005_3	MDA_MB_231	breast cancer	Spearman correlation	0.113136741586656	27	FALSE	TRUE
GSE100148_SRR5710462	neuroblastoma	GSE100148	NG-30919_RBL_7_lib628468_10098_1	RBL_7	retinoblastoma	Spearman correlation	0.111318565485609	28	FALSE	TRUE
GSE100148_SRR5710462	neuroblastoma	GSE100148	NG-29643_ETCC_007_lib581312_7997_4	ETCC_007	breast cancer	Spearman correlation	0.104648193056482	29	FALSE	TRUE
GSE100148_SRR5710462	neuroblastoma	GSE100148	NG-29643_ETCC_006_lib581311_8005_3	ETCC_006	breast cancer	Spearman correlation	0.0961316940866303	30	FALSE	TRUE
GSE100148_SRR5710462	neuroblastoma	GSE100148	NG-30919_HS_578T_B_lib628473_10098_2	HS_578T_B	breast cancer	Spearman correlation	0.0925917709014261	31	FALSE	TRUE
GSE100148_SRR5710462	neuroblastoma	GSE100148	NG-30919_RBL_13_lib628469_10098_1	RBL_13	retinoblastoma	Spearman correlation	0.0697003608052382	32	FALSE	TRUE
GSE100148_SRR5710462	neuroblastoma	GSE100148	NG-A2798_CCLF_PEDS_0051_T_libLAI2540	CCLF_PEDS_0051_T	neuroblastoma	Spearman correlation	0.0427701121755958	33	TRUE	FALSE
GSE100148_SRR5710462	neuroblastoma	GSE100148	NG-29643_DU_4475_lib581298_7997_4	DU_4475	breast cancer	Spearman correlation	0.0131314659411664	34	FALSE	TRUE
GSE100148_SRR5710462	neuroblastoma	GSE100148	NG-29643_CAL_120_lib581301_8005_3	CAL_120	breast cancer	Spearman correlation	0.00767973268199492	35	FALSE	TRUE
GSE100148_SRR5710462	neuroblastoma	GSE100148	NG-29643_CAL_51_lib581295_7997_4	CAL_51	breast cancer	Spearman correlation	0.00451993547641	36	FALSE	TRUE
