tumour_sample_id	tumour_lineage	tumour_project_or_cohort	cell_line_model_id	cell_line_group_id	cell_line_lineage	similarity_metric	similarity_score	rank	is_focal_lineage	is_non_focal_lineage
GSE100148_SRR5710452	neuroblastoma	GSE100148	NG-A0611_LAN6_libLAB6089	LAN6	neuroblastoma	Spearman correlation	0.731182453831988	1	TRUE	FALSE
GSE100148_SRR5710452	neuroblastoma	GSE100148	NG-A0611_NBLS_libLAB6077	NBLS	neuroblastoma	Spearman correlation	0.589940497007731	2	TRUE	FALSE
GSE100148_SRR5710452	neuroblastoma	GSE100148	NG-A0611_MHHNB11_libLAB6084	MHHNB11	neuroblastoma	Spearman correlation	0.550580687853333	3	TRUE	FALSE
GSE100148_SRR5710452	neuroblastoma	GSE100148	NG-A0611_KELLY_libLAB6075	KELLY	neuroblastoma	Spearman correlation	0.529707299501888	4	TRUE	FALSE
GSE100148_SRR5710452	neuroblastoma	GSE100148	NG-A0611_SIMA_libLAB6086	SIMA	neuroblastoma	Spearman correlation	0.514811811436551	5	TRUE	FALSE
GSE100148_SRR5710452	neuroblastoma	GSE100148	NG-A0611_LAN5_libLAB6087	LAN5	neuroblastoma	Spearman correlation	0.493412256058171	6	TRUE	FALSE
GSE100148_SRR5710452	neuroblastoma	GSE100148	NG-A0611_CHP126_libLAB6088	CHP126	neuroblastoma	Spearman correlation	0.473656186532849	7	TRUE	FALSE
GSE100148_SRR5710452	neuroblastoma	GSE100148	NG-A0611_SKNBE2_libLAB6076	SKNBE2	neuroblastoma	Spearman correlation	0.464642169736731	8	TRUE	FALSE
GSE100148_SRR5710452	neuroblastoma	GSE100148	NG-A0611_LAN1_libLAB6085	LAN1	neuroblastoma	Spearman correlation	0.448799860527306	9	TRUE	FALSE
GSE100148_SRR5710452	neuroblastoma	GSE100148	NG-A0611_LAN2_libLAB6083	LAN2	neuroblastoma	Spearman correlation	0.441715821590946	10	TRUE	FALSE
GSE100148_SRR5710452	neuroblastoma	GSE100148	NG-A0611_NGP_libLAB6082	NGP	neuroblastoma	Spearman correlation	0.430128966822479	11	TRUE	FALSE
GSE100148_SRR5710452	neuroblastoma	GSE100148	NG-A0611_IMR32_libLAB6079	IMR32	neuroblastoma	Spearman correlation	0.429581836965784	12	TRUE	FALSE
GSE100148_SRR5710452	neuroblastoma	GSE100148	NG-A0611_NMB_libLAB6080	NMB	neuroblastoma	Spearman correlation	0.417819593188338	13	TRUE	FALSE
