gene_id	gene_symbol	source_category	source_lineage_or_contrast	selection_reason
ENSG00000198830	HMGN2	isolate rescue	RBL:isolate_NG-30919_RBL_14_lib628470_10098_1_vs_rest	isolate rescue marker retained in pan-cancer feature set
ENSG00000204188	GGNBP1	isolate rescue	RBL:isolate_NG-30919_WERI_RB1_lib628472_10098_1_vs_rest	isolate rescue marker retained in pan-cancer feature set
ENSG00000204389	HSPA1A	strict recurrent core	BRCA; BRCA:isolate_CAL_51_vs_rest	strict recurrent core marker retained in pan-cancer feature set; also supported by isolate rescue contrast
ENSG00000205212		isolate rescue	RBL:isolate_NG-30919_Y_79_lib626626_10098_1_vs_rest	isolate rescue marker retained in pan-cancer feature set
ENSG00000206503	HLA-A	strict recurrent core	BRCA	strict recurrent core marker retained in pan-cancer feature set
ENSG00000206530	CFAP44	isolate rescue	NBL:isolate_SK_N_BE_2_vs_rest	isolate rescue marker retained in pan-cancer feature set
ENSG00000214026	MRPL23	strict recurrent core	BRCA; BRCA:isolate_HCC_1937_vs_rest	strict recurrent core marker retained in pan-cancer feature set; also supported by isolate rescue contrast
ENSG00000214548	MEG3	isolate rescue	NBL:isolate_SK_N_BE_2_vs_rest	isolate rescue marker retained in pan-cancer feature set
ENSG00000215252	GOLGA8B	isolate rescue	NBL:isolate_SK_N_BE_2_vs_rest	isolate rescue marker retained in pan-cancer feature set
ENSG00000215908		isolate rescue	BRCA:isolate_HCC_1937_vs_rest	isolate rescue marker retained in pan-cancer feature set
ENSG00000225472		isolate rescue	RBL:isolate_NG-30919_Y_79_lib626626_10098_1_vs_rest	isolate rescue marker retained in pan-cancer feature set
ENSG00000225756	DBH-AS1	isolate rescue	RBL:isolate_NG-30919_WERI_RB1_lib628472_10098_1_vs_rest	isolate rescue marker retained in pan-cancer feature set
ENSG00000226745		strict recurrent core	BRCA	strict recurrent core marker retained in pan-cancer feature set
ENSG00000226752	CUTALP	strict recurrent core	NBL	strict recurrent core marker retained in pan-cancer feature set
ENSG00000229743	LINC01159	isolate rescue	BRCA:isolate_CAL_51_vs_rest	isolate rescue marker retained in pan-cancer feature set
ENSG00000229941	PDE11A-AS1	isolate rescue	NBL:isolate_LS_vs_rest	isolate rescue marker retained in pan-cancer feature set
ENSG00000232237	ASCL5	isolate rescue	BRCA:isolate_DU_4475_vs_rest	isolate rescue marker retained in pan-cancer feature set
ENSG00000234925		isolate rescue	NBL:isolate_LS_vs_rest	isolate rescue marker retained in pan-cancer feature set
ENSG00000236283		isolate rescue	BRCA:isolate_CAL_51_vs_rest	isolate rescue marker retained in pan-cancer feature set
ENSG00000236780	LINC01829	strict recurrent core	NBL	strict recurrent core marker retained in pan-cancer feature set
ENSG00000237412	PRSS56	isolate rescue	BRCA:isolate_DU_4475_vs_rest; RBL:isolate_NG-30919_Y_79_lib626626_10098_1_vs_rest	isolate rescue marker retained in pan-cancer feature set
ENSG00000237550	RPL9P8	isolate rescue	RBL:isolate_NG-30919_RBL_14_lib628470_10098_1_vs_rest	isolate rescue marker retained in pan-cancer feature set
ENSG00000240342	RPS2P5	isolate rescue	NBL:isolate_LS_vs_rest	isolate rescue marker retained in pan-cancer feature set
ENSG00000240694	PNMA2	isolate rescue	NBL:isolate_SK_N_BE_2_vs_rest	isolate rescue marker retained in pan-cancer feature set
ENSG00000243709	LEFTY1	isolate rescue	BRCA:isolate_CAL_51_vs_rest	isolate rescue marker retained in pan-cancer feature set
ENSG00000244509	APOBEC3C	isolate rescue	RBL:isolate_NG-30919_WERI_RB1_lib628472_10098_1_vs_rest	isolate rescue marker retained in pan-cancer feature set
ENSG00000245532	NEAT1	strict recurrent core	NBL	strict recurrent core marker retained in pan-cancer feature set
ENSG00000248290		isolate rescue	BRCA:isolate_DU_4475_vs_rest	isolate rescue marker retained in pan-cancer feature set
ENSG00000248874	LINC02899	isolate rescue	RBL:isolate_NG-30919_Y_79_lib626626_10098_1_vs_rest	isolate rescue marker retained in pan-cancer feature set
ENSG00000248905	FMN1	isolate rescue	BRCA:isolate_CAL_51_vs_rest	isolate rescue marker retained in pan-cancer feature set
ENSG00000253405	EVX1-AS	isolate rescue	BRCA:isolate_DU_4475_vs_rest	isolate rescue marker retained in pan-cancer feature set
ENSG00000254087	LYN	strict recurrent core	BRCA	strict recurrent core marker retained in pan-cancer feature set
ENSG00000258548	LINC00645	isolate rescue	BRCA:isolate_CAL_51_vs_rest	isolate rescue marker retained in pan-cancer feature set
ENSG00000261115	TMEM178B	strict recurrent core	NBL; NBL:isolate_LS_vs_rest	strict recurrent core marker retained in pan-cancer feature set; also supported by isolate rescue contrast
ENSG00000262482		isolate rescue	BRCA:isolate_DU_4475_vs_rest	isolate rescue marker retained in pan-cancer feature set
ENSG00000264212		isolate rescue	RBL:isolate_NG-30919_Y_79_lib626626_10098_1_vs_rest	isolate rescue marker retained in pan-cancer feature set
ENSG00000265717		isolate rescue	RBL:isolate_NG-30919_Y_79_lib626626_10098_1_vs_rest	isolate rescue marker retained in pan-cancer feature set
ENSG00000266014		isolate rescue	RBL:isolate_NG-30919_Y_79_lib626626_10098_1_vs_rest	isolate rescue marker retained in pan-cancer feature set
