gene_id	gene_symbol	source_category	source_lineage_or_contrast	selection_reason
ENSG00000082781	ITGB5	strict recurrent core	NBL	strict recurrent core marker retained in pan-cancer feature set
ENSG00000087510	TFAP2C	strict recurrent core	BRCA; BRCA:isolate_CAL_51_vs_rest	strict recurrent core marker retained in pan-cancer feature set; also supported by isolate rescue contrast
ENSG00000093144	ECHDC1	strict recurrent core	BRCA	strict recurrent core marker retained in pan-cancer feature set
ENSG00000095261	PSMD5	strict recurrent core	NBL	strict recurrent core marker retained in pan-cancer feature set
ENSG00000099284	MACROH2A2	isolate rescue	NBL:isolate_SK_N_BE_2_vs_rest	isolate rescue marker retained in pan-cancer feature set
ENSG00000099953	MMP11	isolate rescue	NBL:isolate_SH_SY5Y_vs_rest	isolate rescue marker retained in pan-cancer feature set
ENSG00000100097	LGALS1	strict recurrent core	BRCA	strict recurrent core marker retained in pan-cancer feature set
ENSG00000100599	RIN3	strict recurrent core	BRCA	strict recurrent core marker retained in pan-cancer feature set
ENSG00000101213	PTK6	strict recurrent core	BRCA; BRCA:isolate_CAL_51_vs_rest	strict recurrent core marker retained in pan-cancer feature set; also supported by isolate rescue contrast
ENSG00000101280	ANGPT4	isolate rescue	RBL:isolate_NG-30919_WERI_RB1_lib628472_10098_1_vs_rest	isolate rescue marker retained in pan-cancer feature set
ENSG00000101384	JAG1	strict recurrent core	BRCA	strict recurrent core marker retained in pan-cancer feature set
ENSG00000101489	CELF4	isolate rescue	RBL:isolate_NG-30919_WERI_RB1_lib628472_10098_1_vs_rest	isolate rescue marker retained in pan-cancer feature set
ENSG00000102313	ITIH6	strict recurrent core	BRCA	strict recurrent core marker retained in pan-cancer feature set
ENSG00000103485	QPRT	isolate rescue	RBL:isolate_NG-30919_RBL_7_lib628468_10098_1_vs_rest	isolate rescue marker retained in pan-cancer feature set
ENSG00000103723	AP3B2	isolate rescue	NBL:isolate_LS_vs_rest	isolate rescue marker retained in pan-cancer feature set
ENSG00000104341	LAPTM4B	isolate rescue	BRCA:isolate_DU_4475_vs_rest	isolate rescue marker retained in pan-cancer feature set
ENSG00000104371	DKK4	isolate rescue	BRCA:isolate_DU_4475_vs_rest	isolate rescue marker retained in pan-cancer feature set
ENSG00000104899	AMH	strict recurrent core	BRCA	strict recurrent core marker retained in pan-cancer feature set
ENSG00000104998	IL27RA	strict recurrent core	BRCA	strict recurrent core marker retained in pan-cancer feature set
ENSG00000105329	TGFB1	strict recurrent core	BRCA	strict recurrent core marker retained in pan-cancer feature set
ENSG00000106078	COBL	isolate rescue	RBL:isolate_NG-30919_RBL_14_lib628470_10098_1_vs_rest	isolate rescue marker retained in pan-cancer feature set
ENSG00000106366	SERPINE1	strict recurrent core	NBL	strict recurrent core marker retained in pan-cancer feature set
