tumour_lineage	tumour_sample_id	cell_line_model_id	cell_line_group_id	cell_line_lineage	rank	top10_indicator	is_displayed_model	is_focal_lineage	is_non_focal_lineage	similarity_score	panel	figure_label
breast cancer	TCGA-3C-AAAU-01A-11R-A41B-07	NG-29643_HCC_1937_lib581305_7997_4	HCC_1937	breast cancer	16	FALSE	FALSE	TRUE	FALSE	0.0664867590032733	A	HCC-1937
breast cancer	TCGA-3C-AAAU-01A-11R-A41B-07	NG-29643_JIMT_1_B_lib581287_7997_4	JIMT_1_B	breast cancer	17	FALSE	FALSE	TRUE	FALSE	0.0377474181654799	A	JIMT-1-B
breast cancer	TCGA-3C-AAAU-01A-11R-A41B-07	NG-30919_MDA_MB_468_B_lib628474_10098_2	MDA_MB_468_B	breast cancer	18	FALSE	TRUE	TRUE	FALSE	0.014842032849453	A	MDA-MB-468-B
breast cancer	TCGA-3C-AAAU-01A-11R-A41B-07	NG-A0611_NBLS_libLAB6077	NBLS	neuroblastoma	19	FALSE	FALSE	FALSE	TRUE	-0.00374500953634064	A	NBLS
breast cancer	TCGA-3C-AAAU-01A-11R-A41B-07	NG-A0611_SIMA_libLAB6086	SIMA	neuroblastoma	20	FALSE	FALSE	FALSE	TRUE	-0.00740302332918386	A	SIMA
breast cancer	TCGA-3C-AAAU-01A-11R-A41B-07	NG-A0611_LAN6_libLAB6089	LAN6	neuroblastoma	21	FALSE	FALSE	FALSE	TRUE	-0.0142061603467811	A	LAN6
breast cancer	TCGA-3C-AAAU-01A-11R-A41B-07	NG-29643_HCC_1599_lib581304_7997_4	HCC_1599	breast cancer	22	FALSE	FALSE	TRUE	FALSE	-0.0180367681046353	A	HCC-1599
breast cancer	TCGA-3C-AAAU-01A-11R-A41B-07	NG-29643_CAL_120_lib581301_8005_3	CAL_120	breast cancer	23	FALSE	FALSE	TRUE	FALSE	-0.0295285913781978	A	CAL-120
breast cancer	TCGA-3C-AAAU-01A-11R-A41B-07	NG-29643_CAL_85_1_lib581300_7997_4	CAL_85_1	breast cancer	24	FALSE	FALSE	TRUE	FALSE	-0.0342340478979697	A	CAL-85-1
breast cancer	TCGA-3C-AAAU-01A-11R-A41B-07	NG-29643_HCC_1143_lib581306_7997_4	HCC_1143	breast cancer	25	FALSE	FALSE	TRUE	FALSE	-0.0446805247275793	A	HCC-1143
breast cancer	TCGA-3C-AAAU-01A-11R-A41B-07	NG-30919_WERI_RB1_lib628472_10098_1	WERI_RB1	retinoblastoma	26	FALSE	FALSE	FALSE	TRUE	-0.0460312297250131	A	WERI-RB1
breast cancer	TCGA-3C-AAAU-01A-11R-A41B-07	NG-A0611_SKNBE2_libLAB6076	SKNBE2	neuroblastoma	27	FALSE	FALSE	FALSE	TRUE	-0.0506500398817836	A	SKNBE2
breast cancer	TCGA-3C-AAAU-01A-11R-A41B-07	NG-A0611_MHHNB11_libLAB6084	MHHNB11	neuroblastoma	28	FALSE	FALSE	FALSE	TRUE	-0.0510441410812418	A	MHHNB11
breast cancer	TCGA-3C-AAAU-01A-11R-A41B-07	NG-29643_COLO_824_lib581290_7997_4	COLO_824	breast cancer	29	FALSE	FALSE	TRUE	FALSE	-0.0518309459581743	A	COLO-824
breast cancer	TCGA-3C-AAAU-01A-11R-A41B-07	NG-A0611_CHP126_libLAB6088	CHP126	neuroblastoma	30	FALSE	FALSE	FALSE	TRUE	-0.0617351842580329	A	CHP126
breast cancer	TCGA-3C-AAAU-01A-11R-A41B-07	NG-A0611_LAN5_libLAB6087	LAN5	neuroblastoma	31	FALSE	FALSE	FALSE	TRUE	-0.071275368081087	A	LAN5
breast cancer	TCGA-3C-AAAU-01A-11R-A41B-07	NG-29643_HDQ_P1_lib581303_8005_3	HDQ_P1	breast cancer	32	FALSE	FALSE	TRUE	FALSE	-0.077434946225101	A	HDQ-P1
breast cancer	TCGA-3C-AAAU-01A-11R-A41B-07	NG-30919_HS_578T_B_lib628473_10098_2	HS_578T_B	breast cancer	33	FALSE	FALSE	TRUE	FALSE	-0.0793726104557704	A	HS-578T-B
breast cancer	TCGA-3C-AAAU-01A-11R-A41B-07	NG-29643_ETCC_007_lib581312_7997_4	ETCC_007	breast cancer	34	FALSE	FALSE	TRUE	FALSE	-0.0891587581479899	A	ETCC-007
breast cancer	TCGA-3C-AAAU-01A-11R-A41B-07	NG-30919_RBL_13_lib628469_10098_1	RBL_13	retinoblastoma	35	FALSE	FALSE	FALSE	TRUE	-0.0895284027127299	A	RBL-13
breast cancer	TCGA-3C-AAAU-01A-11R-A41B-07	NG-A0611_CHP134_libLAB6074	CHP134	neuroblastoma	36	FALSE	FALSE	FALSE	TRUE	-0.0897548012741208	A	CHP134
breast cancer	TCGA-3C-AAAU-01A-11R-A41B-07	NG-A0611_NMB_libLAB6080	NMB	neuroblastoma	37	FALSE	FALSE	FALSE	TRUE	-0.0928726728201889	A	NMB
breast cancer	TCGA-3C-AAAU-01A-11R-A41B-07	NG-30919_RBL_7_lib628468_10098_1	RBL_7	retinoblastoma	38	FALSE	FALSE	FALSE	TRUE	-0.0968975361338043	A	RBL-7
breast cancer	TCGA-3C-AAAU-01A-11R-A41B-07	NG-29643_MDA_MB_231_lib581314_8005_3	MDA_MB_231	breast cancer	39	FALSE	FALSE	TRUE	FALSE	-0.10108381323656	A	MDA-MB-231
breast cancer	TCGA-3C-AAAU-01A-11R-A41B-07	NG-A0611_KELLY_libLAB6075	KELLY	neuroblastoma	40	FALSE	FALSE	FALSE	TRUE	-0.107242692619582	A	KELLY
breast cancer	TCGA-3C-AAAU-01A-11R-A41B-07	NG-A0611_LAN1_libLAB6085	LAN1	neuroblastoma	41	FALSE	FALSE	FALSE	TRUE	-0.111241003015503	A	LAN1
breast cancer	TCGA-3C-AAAU-01A-11R-A41B-07	NG-A0611_LAN2_libLAB6083	LAN2	neuroblastoma	42	FALSE	FALSE	FALSE	TRUE	-0.111707775358124	A	LAN2
breast cancer	TCGA-3C-AAAU-01A-11R-A41B-07	NG-A0611_SHSY5Y_libLAB6081	SHSY5Y	neuroblastoma	43	FALSE	FALSE	FALSE	TRUE	-0.118921085077994	A	SHSY5Y
breast cancer	TCGA-3C-AAAU-01A-11R-A41B-07	NG-29643_ETCC_006_lib581311_8005_3	ETCC_006	breast cancer	44	FALSE	FALSE	TRUE	FALSE	-0.132623788130077	A	ETCC-006
breast cancer	TCGA-3C-AAAU-01A-11R-A41B-07	NG-30919_Y_79_lib626626_10098_1	Y_79	retinoblastoma	45	FALSE	FALSE	FALSE	TRUE	-0.135207806278298	A	Y-79
breast cancer	TCGA-3C-AAAU-01A-11R-A41B-07	NG-A0611_IMR32_libLAB6079	IMR32	neuroblastoma	46	FALSE	FALSE	FALSE	TRUE	-0.137276138814461	A	IMR32
breast cancer	TCGA-3C-AAAU-01A-11R-A41B-07	NG-30919_RBL_18_lib626623_10098_1	RBL_18	retinoblastoma	47	FALSE	FALSE	FALSE	TRUE	-0.146345357728943	A	RBL-18
breast cancer	TCGA-3C-AAAU-01A-11R-A41B-07	NG-30919_RBL_20_lib626624_10102_3	RBL_20	retinoblastoma	48	FALSE	FALSE	FALSE	TRUE	-0.148297695940443	A	RBL-20-3
breast cancer	TCGA-3C-AAAU-01A-11R-A41B-07	NG-A0611_NGP_libLAB6082	NGP	neuroblastoma	49	FALSE	FALSE	FALSE	TRUE	-0.149257094782387	A	NGP
breast cancer	TCGA-3C-AAAU-01A-11R-A41B-07	NG-30919_RBL_20_lib626624_10098_1	RBL_20	retinoblastoma	50	FALSE	FALSE	FALSE	TRUE	-0.16187601953596	A	RBL-20-1
breast cancer	TCGA-3C-AAAU-01A-11R-A41B-07	NG-30919_RBL_30_lib628471_10098_1	RBL_30	retinoblastoma	51	FALSE	FALSE	FALSE	TRUE	-0.163898932607647	A	RBL-30
breast cancer	TCGA-3C-AAAU-01A-11R-A41B-07	NG-29643_CAL_51_lib581295_7997_4	CAL_51	breast cancer	52	FALSE	FALSE	TRUE	FALSE	-0.169704937689735	A	CAL-51
breast cancer	TCGA-3C-AAAU-01A-11R-A41B-07	NG-30919_RBL_15_lib626622_10098_2	RBL_15	retinoblastoma	53	FALSE	FALSE	FALSE	TRUE	-0.171727850761422	A	RBL-15-2
breast cancer	TCGA-3C-AAAU-01A-11R-A41B-07	NG-30919_RBL_15_lib626622_10102_4	RBL_15	retinoblastoma	54	FALSE	FALSE	FALSE	TRUE	-0.177704353525546	A	RBL-15-4
breast cancer	TCGA-3C-AAAU-01A-11R-A41B-07	NG-A0611_GIMEN_libLAB6073	GIMEN	neuroblastoma	55	FALSE	FALSE	FALSE	TRUE	-0.21080396295309	A	GIMEN
breast cancer	TCGA-3C-AAAU-01A-11R-A41B-07	NG-30919_RBL_14_lib628470_10098_1	RBL_14	retinoblastoma	56	FALSE	FALSE	FALSE	TRUE	-0.21235451359422	A	RBL-14
breast cancer	TCGA-3C-AAAU-01A-11R-A41B-07	NG-A2798_CCLF_PEDS_0051_T_libLAI2540	CCLF_PEDS_0051_T	neuroblastoma	57	FALSE	FALSE	FALSE	TRUE	-0.23583847301158	A	CCLF-PEDS-0051-T
breast cancer	TCGA-3C-AAAU-01A-11R-A41B-07	NG-A0611_LS_libLAB6078	LS	neuroblastoma	58	FALSE	FALSE	FALSE	TRUE	-0.296936037864461	A	LS
breast cancer	TCGA-3C-AALI-01A-11R-A41B-07	NG-29643_IPH_926_lib581313_7997_4	IPH_926	breast cancer	1	TRUE	FALSE	TRUE	FALSE	0.35543840439325	A	IPH-926
breast cancer	TCGA-3C-AALI-01A-11R-A41B-07	NG-29643_EFM_192A_lib581292_7997_4	EFM_192A	breast cancer	2	TRUE	TRUE	TRUE	FALSE	0.318884819382512	A	EFM-192A
breast cancer	TCGA-3C-AALI-01A-11R-A41B-07	NG-29643_EFM_192B_lib581293_7997_4	EFM_192B	breast cancer	3	TRUE	FALSE	TRUE	FALSE	0.315264538683234	A	EFM-192B
breast cancer	TCGA-3C-AALI-01A-11R-A41B-07	NG-29643_EFM_192C_lib581294_7997_4	EFM_192C	breast cancer	4	TRUE	FALSE	TRUE	FALSE	0.304520389671055	A	EFM-192C
breast cancer	TCGA-3C-AALI-01A-11R-A41B-07	NG-29643_SK_BR_3_lib581307_7997_4	SK_BR_3	breast cancer	5	TRUE	FALSE	TRUE	FALSE	0.301052438868021	A	SK-BR-3
breast cancer	TCGA-3C-AALI-01A-11R-A41B-07	NG-29643_EVSA_T_lib581299_7997_4	EVSA_T	breast cancer	6	TRUE	FALSE	TRUE	FALSE	0.275983689520926	A	EVSA-T
breast cancer	TCGA-3C-AALI-01A-11R-A41B-07	NG-29643_BT_474_lib581288_7997_4	BT_474	breast cancer	7	TRUE	FALSE	TRUE	FALSE	0.253715574229555	A	BT-474
breast cancer	TCGA-3C-AALI-01A-11R-A41B-07	NG-29643_MCF_7_lib581315_7997_4	MCF_7	breast cancer	8	TRUE	TRUE	TRUE	FALSE	0.246607078658477	A	MCF-7
breast cancer	TCGA-3C-AALI-01A-11R-A41B-07	NG-29643_KPL_1_lib581296_7997_4	KPL_1	breast cancer	9	TRUE	TRUE	TRUE	FALSE	0.239891286764873	A	KPL-1
breast cancer	TCGA-3C-AALI-01A-11R-A41B-07	NG-29643_CAL_148_lib581302_7997_4	CAL_148	breast cancer	10	TRUE	FALSE	TRUE	FALSE	0.236711225490521	A	CAL-148
breast cancer	TCGA-3C-AALI-01A-11R-A41B-07	NG-29643_EFM_19_lib581291_7997_4	EFM_19	breast cancer	11	FALSE	FALSE	TRUE	FALSE	0.235315799789603	A	EFM-19
breast cancer	TCGA-3C-AALI-01A-11R-A41B-07	NG-29643_MDA_MB_453_lib581289_7997_4	MDA_MB_453	breast cancer	12	FALSE	FALSE	TRUE	FALSE	0.232673085718059	A	MDA-MB-453
breast cancer	TCGA-3C-AALI-01A-11R-A41B-07	NG-29643_JIMT_1_B_lib581287_7997_4	JIMT_1_B	breast cancer	13	FALSE	FALSE	TRUE	FALSE	0.178980291096842	A	JIMT-1-B
breast cancer	TCGA-3C-AALI-01A-11R-A41B-07	NG-29643_T_47D_lib581309_8005_3	T_47D	breast cancer	14	FALSE	FALSE	TRUE	FALSE	0.154113483676419	A	T-47D
breast cancer	TCGA-3C-AALI-01A-11R-A41B-07	NG-29643_CAL_85_1_lib581300_7997_4	CAL_85_1	breast cancer	15	FALSE	FALSE	TRUE	FALSE	0.143459474832201	A	CAL-85-1
breast cancer	TCGA-3C-AALI-01A-11R-A41B-07	NG-29643_HDQ_P1_lib581303_8005_3	HDQ_P1	breast cancer	16	FALSE	FALSE	TRUE	FALSE	0.134005238611157	A	HDQ-P1
breast cancer	TCGA-3C-AALI-01A-11R-A41B-07	NG-29643_DU_4475_lib581298_7997_4	DU_4475	breast cancer	17	FALSE	FALSE	TRUE	FALSE	0.12309338696091	A	DU-4475
breast cancer	TCGA-3C-AALI-01A-11R-A41B-07	NG-29643_MFM_223_lib581297_7997_4	MFM_223	breast cancer	18	FALSE	FALSE	TRUE	FALSE	0.120384989356123	A	MFM-223
breast cancer	TCGA-3C-AALI-01A-11R-A41B-07	NG-29643_HCC_1937_lib581305_7997_4	HCC_1937	breast cancer	19	FALSE	FALSE	TRUE	FALSE	0.115116331476842	A	HCC-1937
breast cancer	TCGA-3C-AALI-01A-11R-A41B-07	NG-29643_HCC_1143_lib581306_7997_4	HCC_1143	breast cancer	20	FALSE	FALSE	TRUE	FALSE	0.101444373908404	A	HCC-1143
