cell_line_group_id	canonical_cell_line_name	original_profile_id	cancer_lineage	n_profiles_in_group	replicate_status	included_in_patient_to_cellline_ranking	included_in_cell_line_centred_retrieval	collapse_rule
RBL_20	RBL-20	NG-30919_RBL_20_lib626624_10098_1	retinoblastoma	2	multi_lane_library	TRUE	TRUE	median_score_across_replicate_libraries
RBL_20	RBL-20	NG-30919_RBL_20_lib626624_10102_3	retinoblastoma	2	multi_lane_library	TRUE	TRUE	median_score_across_replicate_libraries
RBL_30	RBL-30	NG-30919_RBL_30_lib628471_10098_1	retinoblastoma	1	single_library	TRUE	TRUE	median_score_across_replicate_libraries
RBL_7	RBL-7	NG-30919_RBL_7_lib628468_10098_1	retinoblastoma	1	single_library	TRUE	TRUE	median_score_across_replicate_libraries
SHSY5Y	SHSY5Y	NG-A0611_SHSY5Y_libLAB6081	neuroblastoma	1	single_library	TRUE	TRUE	median_score_across_replicate_libraries
SIMA	SIMA	NG-A0611_SIMA_libLAB6086	neuroblastoma	1	single_library	TRUE	TRUE	median_score_across_replicate_libraries
SKNBE2	SKNBE2	NG-A0611_SKNBE2_libLAB6076	neuroblastoma	1	single_library	TRUE	TRUE	median_score_across_replicate_libraries
SK_BR_3	SK-BR-3	NG-29643_SK_BR_3_lib581307_7997_4	breast cancer	1	single_library	TRUE	TRUE	median_score_across_replicate_libraries
T_47D	T-47D	NG-29643_T_47D_lib581309_8005_3	breast cancer	1	single_library	TRUE	TRUE	median_score_across_replicate_libraries
WERI_RB1	WERI-RB1	NG-30919_WERI_RB1_lib628472_10098_1	retinoblastoma	1	single_library	TRUE	TRUE	median_score_across_replicate_libraries
Y_79	Y-79	NG-30919_Y_79_lib626626_10098_1	retinoblastoma	1	single_library	TRUE	TRUE	median_score_across_replicate_libraries
