cell_line_group_id	canonical_cell_line_name	original_profile_id	cancer_lineage	n_profiles_in_group	replicate_status	included_in_patient_to_cellline_ranking	included_in_cell_line_centred_retrieval	collapse_rule
BT_474	BT-474	NG-29643_BT_474_lib581288_7997_4	breast cancer	1	single_library	TRUE	TRUE	median_score_across_replicate_libraries
CAL_120	CAL-120	NG-29643_CAL_120_lib581301_8005_3	breast cancer	1	single_library	TRUE	TRUE	median_score_across_replicate_libraries
CAL_148	CAL-148	NG-29643_CAL_148_lib581302_7997_4	breast cancer	1	single_library	TRUE	TRUE	median_score_across_replicate_libraries
CAL_51	CAL-51	NG-29643_CAL_51_lib581295_7997_4	breast cancer	1	single_library	TRUE	TRUE	median_score_across_replicate_libraries
CAL_85_1	CAL-85-1	NG-29643_CAL_85_1_lib581300_7997_4	breast cancer	1	single_library	TRUE	TRUE	median_score_across_replicate_libraries
CCLF_PEDS_0051_T	CCLF-PEDS-0051-T	NG-A2798_CCLF_PEDS_0051_T_libLAI2540	neuroblastoma	1	single_library	TRUE	TRUE	median_score_across_replicate_libraries
CHP126	CHP126	NG-A0611_CHP126_libLAB6088	neuroblastoma	1	single_library	TRUE	TRUE	median_score_across_replicate_libraries
CHP134	CHP134	NG-A0611_CHP134_libLAB6074	neuroblastoma	1	single_library	TRUE	TRUE	median_score_across_replicate_libraries
COLO_824	COLO-824	NG-29643_COLO_824_lib581290_7997_4	breast cancer	1	single_library	TRUE	TRUE	median_score_across_replicate_libraries
DU_4475	DU-4475	NG-29643_DU_4475_lib581298_7997_4	breast cancer	1	single_library	TRUE	TRUE	median_score_across_replicate_libraries
EFM_19	EFM-19	NG-29643_EFM_19_lib581291_7997_4	breast cancer	1	single_library	TRUE	TRUE	median_score_across_replicate_libraries
EFM_192A	EFM-192A	NG-29643_EFM_192A_lib581292_7997_4	breast cancer	1	single_library	TRUE	TRUE	median_score_across_replicate_libraries
EFM_192B	EFM-192B	NG-29643_EFM_192B_lib581293_7997_4	breast cancer	1	single_library	TRUE	TRUE	median_score_across_replicate_libraries
EFM_192C	EFM-192C	NG-29643_EFM_192C_lib581294_7997_4	breast cancer	1	single_library	TRUE	TRUE	median_score_across_replicate_libraries
ETCC_006	ETCC-006	NG-29643_ETCC_006_lib581311_8005_3	breast cancer	1	single_library	TRUE	TRUE	median_score_across_replicate_libraries
ETCC_007	ETCC-007	NG-29643_ETCC_007_lib581312_7997_4	breast cancer	1	single_library	TRUE	TRUE	median_score_across_replicate_libraries
EVSA_T	EVSA-T	NG-29643_EVSA_T_lib581299_7997_4	breast cancer	1	single_library	TRUE	TRUE	median_score_across_replicate_libraries
GIMEN	GIMEN	NG-A0611_GIMEN_libLAB6073	neuroblastoma	1	single_library	TRUE	TRUE	median_score_across_replicate_libraries
HCC_1143	HCC-1143	NG-29643_HCC_1143_lib581306_7997_4	breast cancer	1	single_library	TRUE	TRUE	median_score_across_replicate_libraries
HCC_1599	HCC-1599	NG-29643_HCC_1599_lib581304_7997_4	breast cancer	1	single_library	TRUE	TRUE	median_score_across_replicate_libraries
HCC_1937	HCC-1937	NG-29643_HCC_1937_lib581305_7997_4	breast cancer	1	single_library	TRUE	TRUE	median_score_across_replicate_libraries
HDQ_P1	HDQ-P1	NG-29643_HDQ_P1_lib581303_8005_3	breast cancer	1	single_library	TRUE	TRUE	median_score_across_replicate_libraries
HS_578T_B	HS-578T-B	NG-30919_HS_578T_B_lib628473_10098_2	breast cancer	1	single_library	TRUE	TRUE	median_score_across_replicate_libraries
IMR32	IMR32	NG-A0611_IMR32_libLAB6079	neuroblastoma	1	single_library	TRUE	TRUE	median_score_across_replicate_libraries
IPH_926	IPH-926	NG-29643_IPH_926_lib581313_7997_4	breast cancer	1	single_library	TRUE	TRUE	median_score_across_replicate_libraries
JIMT_1_B	JIMT-1-B	NG-29643_JIMT_1_B_lib581287_7997_4	breast cancer	1	single_library	TRUE	TRUE	median_score_across_replicate_libraries
KELLY	KELLY	NG-A0611_KELLY_libLAB6075	neuroblastoma	1	single_library	TRUE	TRUE	median_score_across_replicate_libraries
KPL_1	KPL-1	NG-29643_KPL_1_lib581296_7997_4	breast cancer	1	single_library	TRUE	TRUE	median_score_across_replicate_libraries
LAN1	LAN1	NG-A0611_LAN1_libLAB6085	neuroblastoma	1	single_library	TRUE	TRUE	median_score_across_replicate_libraries
LAN2	LAN2	NG-A0611_LAN2_libLAB6083	neuroblastoma	1	single_library	TRUE	TRUE	median_score_across_replicate_libraries
LAN5	LAN5	NG-A0611_LAN5_libLAB6087	neuroblastoma	1	single_library	TRUE	TRUE	median_score_across_replicate_libraries
LAN6	LAN6	NG-A0611_LAN6_libLAB6089	neuroblastoma	1	single_library	TRUE	TRUE	median_score_across_replicate_libraries
LS	LS	NG-A0611_LS_libLAB6078	neuroblastoma	1	single_library	TRUE	TRUE	median_score_across_replicate_libraries
MCF_7	MCF-7	NG-29643_MCF_7_lib581315_7997_4	breast cancer	1	single_library	TRUE	TRUE	median_score_across_replicate_libraries
MDA_MB_231	MDA-MB-231	NG-29643_MDA_MB_231_lib581314_8005_3	breast cancer	1	single_library	TRUE	TRUE	median_score_across_replicate_libraries
MDA_MB_453	MDA-MB-453	NG-29643_MDA_MB_453_lib581289_7997_4	breast cancer	1	single_library	TRUE	TRUE	median_score_across_replicate_libraries
MDA_MB_468_B	MDA-MB-468-B	NG-30919_MDA_MB_468_B_lib628474_10098_2	breast cancer	1	single_library	TRUE	TRUE	median_score_across_replicate_libraries
MFM_223	MFM-223	NG-29643_MFM_223_lib581297_7997_4	breast cancer	1	single_library	TRUE	TRUE	median_score_across_replicate_libraries
MHHNB11	MHHNB11	NG-A0611_MHHNB11_libLAB6084	neuroblastoma	1	single_library	TRUE	TRUE	median_score_across_replicate_libraries
NBLS	NBLS	NG-A0611_NBLS_libLAB6077	neuroblastoma	1	single_library	TRUE	TRUE	median_score_across_replicate_libraries
NGP	NGP	NG-A0611_NGP_libLAB6082	neuroblastoma	1	single_library	TRUE	TRUE	median_score_across_replicate_libraries
NMB	NMB	NG-A0611_NMB_libLAB6080	neuroblastoma	1	single_library	TRUE	TRUE	median_score_across_replicate_libraries
RBL_13	RBL-13	NG-30919_RBL_13_lib628469_10098_1	retinoblastoma	1	single_library	TRUE	TRUE	median_score_across_replicate_libraries
RBL_14	RBL-14	NG-30919_RBL_14_lib628470_10098_1	retinoblastoma	1	single_library	TRUE	TRUE	median_score_across_replicate_libraries
RBL_15	RBL-15	NG-30919_RBL_15_lib626622_10098_2	retinoblastoma	2	multi_lane_library	TRUE	TRUE	median_score_across_replicate_libraries
RBL_15	RBL-15	NG-30919_RBL_15_lib626622_10102_4	retinoblastoma	2	multi_lane_library	TRUE	TRUE	median_score_across_replicate_libraries
RBL_18	RBL-18	NG-30919_RBL_18_lib626623_10098_1	retinoblastoma	1	single_library	TRUE	TRUE	median_score_across_replicate_libraries
