cell_line_group_id	cell_line_lineage	tumour_sample_id	tumour_lineage	similarity_score	rank	consensus_component_id	consensus_component_label	same_lineage_indicator
BT_474	breast cancer	TCGA-BH-A0H9-01A-11R-A056-07	breast cancer	0.477308610237757	22	3	Component 3 - breast cancer dominant (n = 24, purity = 1.00)	TRUE
BT_474	breast cancer	TCGA-E9-A249-01A-11R-A169-07	breast cancer	0.476476385896348	23	1	Component 1 - breast cancer dominant (n = 923, purity = 0.69)	TRUE
BT_474	breast cancer	TCGA-E2-A15T-01A-11R-A115-07	breast cancer	0.472269844724826	24	1	Component 1 - breast cancer dominant (n = 923, purity = 0.69)	TRUE
BT_474	breast cancer	TCGA-B6-A0RO-01A-22R-A084-07	breast cancer	0.471945619624563	25	3	Component 3 - breast cancer dominant (n = 24, purity = 1.00)	TRUE
BT_474	breast cancer	TCGA-BH-A1FL-01A-11R-A13Q-07	breast cancer	0.471681487969607	26	1	Component 1 - breast cancer dominant (n = 923, purity = 0.69)	TRUE
BT_474	breast cancer	TCGA-A8-A06Q-01A-11R-A034-07	breast cancer	0.470993208392539	27	3	Component 3 - breast cancer dominant (n = 24, purity = 1.00)	TRUE
BT_474	breast cancer	TCGA-E2-A1IE-01A-11R-A13Q-07	breast cancer	0.468398708829439	28	1	Component 1 - breast cancer dominant (n = 923, purity = 0.69)	TRUE
BT_474	breast cancer	TCGA-A2-A0D3-01A-11R-A115-07	breast cancer	0.4672827875253	29	1	Component 1 - breast cancer dominant (n = 923, purity = 0.69)	TRUE
BT_474	breast cancer	TCGA-BH-A0E7-01A-11R-A034-07	breast cancer	0.466388373455607	30	1	Component 1 - breast cancer dominant (n = 923, purity = 0.69)	TRUE
BT_474	breast cancer	TCGA-E9-A22H-01A-11R-A157-07	breast cancer	0.464875555908042	31	1	Component 1 - breast cancer dominant (n = 923, purity = 0.69)	TRUE
BT_474	breast cancer	TCGA-C8-A1HE-01A-11R-A13Q-07	breast cancer	0.463995117058188	32	4	Component 4 - breast cancer dominant (n = 47, purity = 1.00)	TRUE
BT_474	breast cancer	TCGA-E2-A156-01A-11R-A12D-07	breast cancer	0.463326402788895	33	4	Component 4 - breast cancer dominant (n = 47, purity = 1.00)	TRUE
BT_474	breast cancer	TCGA-B6-A0WW-01A-11R-A109-07	breast cancer	0.461865293554733	34	1	Component 1 - breast cancer dominant (n = 923, purity = 0.69)	TRUE
BT_474	breast cancer	TCGA-LL-A6FP-01A-11R-A31O-07	breast cancer	0.461533382083559	35	5	Component 5 - breast cancer dominant (n = 79, purity = 1.00)	TRUE
BT_474	breast cancer	TCGA-A8-A083-01A-21R-A00Z-07	breast cancer	0.461237806183965	36	5	Component 5 - breast cancer dominant (n = 79, purity = 1.00)	TRUE
