community_leiden	n_members	members	mean_degree	mean_mean_edge_sim
1	1	EFM_192C	6	0.6605768336144402
10	1	KPL_1	3	0.6788415660788305
11	1	T_47D	3	0.6625937514381651
12	1	BT_474	3	0.6546565634030316
13	1	EFM_19	3	0.6544685185670576
14	1	MDA_MB_453	3	0.6521776025394815
15	1	MFM_223	3	0.6495127184579003
16	1	SK_BR_3	3	0.6452020843721132
17	1	IPH_926	3	0.5949477759446636
18	1	HDQ_P1	2	0.6594594594594595
19	1	EVSA_T	2	0.6512035806111909
2	1	ETCC_006	5	0.8452867119248919
20	1	CAL_148	2	0.6280031273565804
21	1	MCF_7	1	0.8656960287959169
22	1	CAL_85_1	1	0.7351351351351352
23	1	COLO_824	1	0.6972972972972973
24	1	HCC_1599	1	0.6972972972972973
25	1	HCC_1937	1	0.6594594594594595
26	1	MDA_MB_468	1	0.6594594594594595
27	1	HCC_1143	1	0.5837837837837838
28	1	DU_4475	0	NA
29	1	JIMT_1	0	NA
3	1	HS_578T	5	0.8376486790970487
4	1	ETCC_007	5	0.8297842488849664
5	1	CAL_120	5	0.7796087749407613
6	1	CAL_51	5	0.731328123327715
7	1	MDA_MB_231	5	0.7139308379566307
8	1	EFM_192B	5	0.6608116650079723
9	1	EFM_192A	4	0.6694925418046247
