gene_id	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
ENSG00000160180	7.8395779295850305	-2.4468805349239777	0.3261648480971505	-7.501974995770105	6.286336599090534e-14	1.6681422799346641e-9
ENSG00000159763	6.877356180240751	-2.1682675489837635	0.35649982377684786	-6.082099918066151	1.1861860489371689e-9	3.4974036660663012e-6
ENSG00000110484	8.049792124717893	-2.096392443800831	0.3777788342978553	-5.549258596493934	2.8688357524349066e-8	4.010447566372614e-5
ENSG00000166509	5.90617453779437	-2.0421401812534294	0.41618463128275124	-4.906813053041408	9.256818777337253e-7	4.0939823845903556e-4
ENSG00000154198	5.807267249416843	-2.0128830978193855	0.3306437506670778	-6.0877699752630114	1.1449420634310418e-9	3.4974036660663012e-6
ENSG00000235687	5.564184986374267	-2.0098679519797877	0.3885158667474995	-5.17319400313198	2.3012585500366414e-7	1.5657999200967263e-4
ENSG00000166927	5.562581110377163	-2.009611546480641	0.37584970614095853	-5.346848789944131	8.94987244098786e-8	8.558885511013749e-5
ENSG00000148513	5.632897195536338	-1.9614483931792714	0.3834480729811252	-5.115290782217131	3.1325799426249484e-7	1.9331660780812937e-4
ENSG00000183888	5.2868787356661775	-1.9229424443351217	0.355493211224881	-5.409224096599386	6.329838446784736e-8	6.7187437209551907e-05
ENSG00000096006	7.258595691522393	-1.9201721950551287	0.29213294012099666	-6.5729396837611835	4.9331445845540397e-11	4.363530823190867e-7
ENSG00000235123	5.490873806605881	-1.9184635882696752	0.3611336653480269	-5.3123366009669555	1.0822845671563533e-7	9.57316775802033e-5
ENSG00000211895	5.282105989801616	-1.8516149428891362	0.4636412116927601	-3.993637528745268	6.50673092426103e-5	0.009493655738066042
ENSG00000211899	5.0435075376538325	-1.8420193343643139	0.45456746688569805	-4.0522462968681685	5.072822025455559e-5	0.007736345130315443
ENSG00000211892	5.3841634861235965	-1.817278495415385	0.4158904468636103	-4.369608653240729	1.2446939753110315e-5	0.0028721042894655244
ENSG00000172551	7.946390560998015	-1.7890896107257566	0.32241103730480664	-5.54909542080706	2.8715143111651974e-8	4.010447566372614e-5
ENSG00000186910	4.970181923370098	-1.746589363611845	0.38624422437863964	-4.521981827486548	6.126332037623546e-6	0.0018363499340636126
ENSG00000168421	6.944402777445227	-1.7425401770936875	0.2862732288288145	-6.086982650185885	1.1505843317675287e-9	3.4974036660663012e-6
ENSG00000117154	4.6993895469865095	-1.7190391344097942	0.3743285951262099	-4.59232651951208	4.383318439852648e-6	0.0014176266746625445
ENSG00000169347	4.69545776493738	-1.7180537990774722	0.4309080963582797	-3.9870538836406353	6.689883617606594e-5	0.009700696812940359
ENSG00000186526	5.456121549102459	-1.7113776679258688	0.33827134301939144	-5.059186074262767	4.210498414967128e-7	2.2880316908522095e-4
ENSG00000204385	7.98276477194083	-1.709163577197363	0.26345586970569	-6.487475792840342	8.728635838666857e-11	5.790577015371593e-7
ENSG00000234918	4.66608059308162	-1.7063232057344726	0.3933875490540288	-4.3375119772794895	1.441046839203534e-5	0.003195605620999727
ENSG00000078898	4.630455995405423	-1.6930810728579953	0.36514975039154385	-4.636675969359238	3.5405678566748285e-6	0.001204519341599016
ENSG00000255774	6.150204680637527	-1.6866031991037154	0.29982530253722045	-5.625286407888606	1.852004352480975e-8	3.071549218589697e-5
ENSG00000105388	6.8381893464229035	-1.6664059072035395	0.30320436176509213	-5.495982635284743	3.885407429911925e-8	5.014676018203177e-5
ENSG00000181092	4.526088516997455	-1.6530283772457783	0.3919532070743805	-4.21741255693332	2.4712160131016533e-5	0.004684013437404677
ENSG00000163873	5.798273868281227	-1.6397203639528948	0.34588492942714416	-4.740652813837843	2.1303070691696945e-6	7.851365053817641e-4
ENSG00000125999	6.252769359295612	-1.6089873905062182	0.315493450068045	-5.09990743122938	3.398196341050857e-7	2.0494213205937624e-4
ENSG00000211897	4.521906061301133	-1.5794556061073723	0.45495847748165374	-3.4716478190497377	5.172744596468611e-4	0.04069304944666076
ENSG00000188257	4.422591167218171	-1.5392649447770996	0.35888992854529844	-4.288961105752557	1.7951080171782158e-5	0.0036926346002977626
ENSG00000160182	7.390035673897077	-1.5305336248348753	0.30147154236714174	-5.0768759559101015	3.8369118412927266e-7	2.1663040983094426e-4
ENSG00000211689	4.212446275240437	-1.5259486633045765	0.3664988290166292	-4.163584007618587	3.132906820475533e-5	0.00557951781128448
ENSG00000213759	4.350503744226839	-1.510239858187992	0.41203769374769034	-3.6652953870593725	2.470532671576873e-4	0.02401393955053623
ENSG00000179023	6.94188969870861	-1.5056275656943434	0.2751678853646795	-5.471668918409348	4.4581712554306006e-8	5.274223453150116e-5
ENSG00000236313	4.043838268754492	-1.4509988933547417	0.3687830921071067	-3.9345591606822476	8.33495373172942e-5	0.011069446854103401
ENSG00000134240	6.0485501843993115	-1.4463106140421733	0.32673594242313914	-4.426542740648746	9.575541633052093e-6	0.002397137479006324
ENSG00000263639	6.0449212890989665	-1.4455956307306752	0.33022094609095176	-4.377661828673094	1.1995928604268195e-5	0.002792315451253165
ENSG00000057593	6.32195266483477	-1.4287854247004912	0.28095688440269384	-5.085425928387722	3.668019664144785e-7	2.1629904401721336e-4
ENSG00000154783	6.148363372387078	-1.4266557714658523	0.29038526819670035	-4.912975717829695	8.970439033764639e-7	4.04229380931281e-4
ENSG00000156564	4.145827050214602	-1.4226480623150164	0.3445518129298964	-4.128981502716611	3.64373712427782e-5	0.0061923354269619695
ENSG00000086548	8.774027412822651	-1.4200597939978439	0.26566945243125145	-5.345212936610841	9.031082088799556e-8	8.558885511013749e-5
ENSG00000143546	7.084469158372602	-1.4109034111009617	0.2949693947761412	-4.78321966986347	1.7250941968220191e-6	6.634362261865088e-4
ENSG00000225449	5.354068357940283	-1.3830292090283471	0.3113722805857186	-4.4417223216747095	8.924167695580712e-6	0.0023216834702934294
ENSG00000223808	4.213143106992351	-1.3807204261936108	0.38192356594084853	-3.615174734746412	3.0014510855342523e-4	0.027946142458153304
ENSG00000082175	6.530148701928576	-1.3478386039130572	0.3449019600748662	-3.9078890813507945	9.31060296923909e-5	0.012170746817326527
ENSG00000179344	8.079426117229112	-1.3399879873761191	0.2716385157398785	-4.932982289813768	8.098350054017667e-7	3.907233036971142e-4
ENSG00000235049	3.801031406542536	-1.337979441438559	0.36292031901372224	-3.6867030346349092	2.2717820136825307e-4	0.023009163173694516
ENSG00000161031	4.420311919136806	-1.332888194605658	0.3541584643588396	-3.763536181518882	1.6752747546215575e-4	0.018354042062342018
ENSG00000143556	5.0464068500161785	-1.3302918732947777	0.3845725494078156	-3.4591441207731255	5.418948626278473e-4	0.042045970978633204
ENSG00000102313	5.802379363153681	-1.3206744433734203	0.29462816366468675	-4.482512557341484	7.376930039244544e-6	0.0020180846960968376
ENSG00000183734	5.630176998015182	-1.3154904161823886	0.2917667044302341	-4.508706429512907	6.522408713460937e-6	0.0018812895393521675
ENSG00000249346	4.351087445871105	-1.303763092628549	0.3361126738512645	-3.8789465380454122	1.049098061078622e-4	0.013320031650135079
ENSG00000142973	7.29225846827253	-1.2999877573101688	0.2569891269025602	-5.058532137054464	4.224960538579977e-7	2.2880316908522095e-4
ENSG00000009765	4.803047933597471	-1.2975220398026788	0.3181556178761277	-4.078262230490811	4.537357315532497e-5	0.007207069102562988
