"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99","V100","V101","V102","V103","V104","V105","V106","V107","V108","V109","V110","V111","V112","V113","V114","V115","V116","V117","V118","V119","V120","V121","V122","V123","V124","V125","V126","V127","V128","V129","V130","V131","V132","V133","V134","V135","V136","V137","V138","V139","V140","V141","V142","V143","V144","V145","V146","V147","V148","V149","V150","V151","V152","V153","V154","V155","V156","V157","V158","V159","V160","V161","V162","V163","V164","V165","V166","V167","V168","V169","V170","V171","V172","V173","V174","V175","V176","V177","V178","V179","V180","V181","V182","V183","V184","V185","V186","V187","V188","V189","V190","V191","V192","V193","V194","V195","V196","V197","V198","V199","V200","V201","V202","V203","V204","V205","V206","V207","V208","V209","V210","V211","V212","V213","V214","V215","V216","V217","V218","V219","V220","V221","V222","V223","V224","V225","V226","V227","V228","V229","V230","V231","V232","V233","V234","V235","V236","V237","V238","V239","V240","V241","V242","V243","V244"
"1",1,0.995275590551181,0.917956656346749,0.894736842105263,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00623052959501558,0.00618238021638331,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.995391705069124,0.916264090177134,0.88801261829653,0.00156739811912226,0.0250391236306729,0.0141065830721003,0.00152671755725191,0.0015527950310559,0.0015625,0.00617283950617284,0.00162074554294976,0.00153374233128834,0.00152905198776758,0.00153139356814701,0.00154083204930663,0.0015220700152207,0.0015015015015015,0,0.00154320987654321,0.0016,0.00157232704402516,0.00157728706624606,0.00156739811912226,0.0016025641025641,0.0015625,0.0015220700152207,0,0.00156494522691706,0.0015552099533437,0.0015220700152207,0.00156985871271586,0.00157232704402516,0.00306748466257669,0.00151285930408472,0.00152439024390244,0.00161550888529887,0,0.00156985871271586,0,0.0015527950310559,0.00154083204930663,0,0.00152671755725191,0,0.0015625,0.0015748031496063,0.00162337662337662,0.00157728706624606,0.993855606758833,0.259314456035768,0.153605015673981,0.0802568218298555,0.141509433962264,0.536624203821656,0.897674418604651,0.883280757097792,0.40405616224649,0.508422664624809,0.141768292682927,0.171653543307087,0.8125,0.486529318541997,0.993788819875776,0.618683001531394,0.0825688073394495,0.171253822629969,0.390282131661442,0.996894409937888,0.978260869565217,0.071097372488408,0.340460526315789,0.953301127214171,0.0972222222222222,0.993865030674847,0.0685154975530179,0.993527508090615,0.272870662460568,0.580031695721078,0.143302180685358,0.995297805642633,0.418569254185693,0.17629179331307,0.508607198748044,0.970992366412214,0.978056426332288,0.141768292682927,0.976303317535545,0.103610675039246,0.443932411674347,0.974960876369327,0.903937007874016,0.624803767660911,0.986089644513138,0.976780185758514,0.0929878048780488,0.444805194805195,0.509615384615385,0.109149277688604,0.0759493670886076,0.978593272171254,0.343558282208589,0.519500780031201,0.0681458003169572,0.985714285714286,0.47166921898928,0.136507936507936,0.213517665130568,0.993836671802773,0.361769352290679,0.954041204437401,0.889589905362776,0.134281200631912,0.993769470404984,0.822884012539185,0.183254344391785,0.0897832817337461,0.0689127105666156,0.984301412872841,0.981042654028436,0.0886850152905199,0.288888888888889,0.264423076923077,0.9858934169279,0.106583072100313,0.984202211690363,0.976190476190476,0.346625766871166,0.0733229329173167,0.352671755725191,0.480538922155689,0.985781990521327,0.295133437990581,0.366929133858268,0.626543209876543,0.902597402597403,0.400943396226415,0.993759750390016,0.0933977455716586,0.157894736842105,0.925925925925926,0.978658536585366,0.976851851851852,0.0907692307692308,0.0745341614906832,0.458074534161491,0.0853462157809984,0.586750788643533,0.0661538461538462,0.995305164319249,0.99537750385208,0.482594936708861,0.536392405063291,0.98256735340729,0.130030959752322,0.909516380655226,0.475113122171946,0.943485086342229,0.490384615384615,0.154205607476636,0.610492845786963,0.0821484992101106,0.970814132104455,0.976744186046512,0.60741885625966,0.11198738170347,0.103875968992248,0.161500815660685,0.372854914196568,0.139717425431711,0.452859350850077,0.461059190031153,0.99537037037037,0.983231707317073,0.1796875,0.993680884676145,0.538931297709924,0.214733542319749,0.990668740279938,0.992,0.207006369426752,0.378068739770867,0.260802469135802,0.995454545454545,0.0701219512195122,0.981707317073171,0.090625,0.968895800933126,0.146875,0.993855606758833,0.482225656877898,0.504702194357367,0.137345679012346,0.99537750385208,0.991909385113269,0.0807926829268293,0.321259842519685
"2",0.995275590551181,1,0.955974842767296,0.932707355242567,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0125984251968504,0.0109204368174727,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00158982511923688,0,0,0,0,0,0,0,0,0,0,0.998473282442748,1,0.954397394136808,0.926984126984127,0,0.0269413629160063,0.0142630744849445,0,0,0,0.010752688172043,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00316455696202532,0,0,0,0,0,0,0.00158227848101266,0,0.0031104199066874,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.993836671802773,0.269938650306748,0.15541601255887,0.0887480190174326,0.124018838304553,0.533117932148627,0.890092879256966,0.877813504823151,0.427230046948357,0.476263399693721,0.129429892141757,0.1616,0.808612440191388,0.457735247208931,0.995348837209302,0.6109375,0.087962962962963,0.15615141955836,0.388535031847134,0.99375,0.971786833855799,0.0661417322834646,0.309719934102142,0.948717948717949,0.1,0.996908809891808,0.0718954248366013,0.993610223642173,0.270569620253165,0.588516746411483,0.137071651090343,0.993640699523052,0.411214953271028,0.17339312406577,0.481072555205047,0.965361445783133,0.968847352024922,0.140405616224649,0.969354838709677,0.104761904761905,0.431007751937985,0.970358814352574,0.896875,0.639423076923077,0.982758620689655,0.972006220839813,0.0835866261398176,0.429712460063898,0.52931854199683,0.102728731942215,0.0760697305863708,0.978294573643411,0.323170731707317,0.4913112164297,0.0748407643312102,0.983948635634029,0.441176470588235,0.120634920634921,0.195956454121306,0.995319812792512,0.342146189735614,0.952153110047847,0.890453834115806,0.125396825396825,0.993700787401575,0.819595645412131,0.170886075949367,0.0970266040688576,0.0672782874617737,0.982731554160126,0.97588424437299,0.0839813374805599,0.291734197730956,0.272141706924316,0.978361669242658,0.100308641975309,0.979299363057325,0.974522292993631,0.362790697674419,0.0760869565217391,0.321044546850998,0.476550680786687,0.977235772357724,0.29903536977492,0.349761526232114,0.627329192546584,0.880837359098229,0.371069182389937,0.99375,0.100946372239748,0.156832298136646,0.919047619047619,0.972519083969466,0.970588235294118,0.0930599369085174,0.0799373040752351,0.433544303797468,0.0907590759075908,0.582539682539683,0.073394495412844,0.996860282574568,0.996889580093313,0.450079239302694,0.546603475513428,0.979365079365079,0.125,0.903276131045242,0.454268292682927,0.94912559618442,0.465927099841521,0.136577708006279,0.607936507936508,0.0896,0.964615384615385,0.971698113207547,0.593508500772797,0.114374034003091,0.0932069510268562,0.152597402597403,0.357473035439137,0.130708661417323,0.426791277258567,0.444444444444444,0.995260663507109,0.983076923076923,0.156105100463679,0.996768982229402,0.508448540706605,0.195892575039494,0.986024844720497,0.990353697749196,0.188197767145136,0.357377049180328,0.256965944272446,0.993939393939394,0.0714285714285714,0.975572519083969,0.0954616588419405,0.954258675078864,0.135093167701863,0.993710691823899,0.480190174326466,0.473101265822785,0.129082426127527,0.992125984251969,0.988853503184713,0.0816640986132511,0.315024232633279
"3",0.917956656346749,0.955974842767296,1,0.995207667731629,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0508474576271186,0.045958795562599,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0126582278481013,0.00157232704402516,0,0,0,0,0.00155763239875389,0.00152905198776758,0,0,0,0.925644916540212,0.958778625954198,1,0.995222929936306,0.0110236220472441,0.106583072100313,0.0758293838862559,0.010752688172043,0.0062402496099844,0.0094488188976378,0.0327102803738318,0.00487012987012987,0.0108864696734059,0.00762195121951219,0.0109034267912773,0.00924499229583975,0.0075642965204236,0.00916030534351145,0.00782472613458529,0.00765696784073507,0.0114942528735632,0.0111464968152866,0.00955414012738853,0.00930232558139535,0.0128410914927769,0.0109034267912773,0.00920245398773006,0.00783699059561128,0.00947867298578199,0.00768049155145929,0.00928792569659443,0.0110584518167457,0.0078740157480315,0.0264385692068429,0.00907715582450832,0.0105421686746988,0.0112903225806452,0.00470219435736677,0.00802568218298555,0.00811688311688312,0.00625978090766823,0.00769230769230769,0.00636942675159236,0.0106544901065449,0.00479233226837061,0.00792393026941363,0.0110759493670886,0.00805152979066022,0.00952380952380952,0.906298003072197,0.308980213089802,0.233176838810642,0.173076923076923,0.166144200626959,0.522834645669291,0.826356589147287,0.791190864600326,0.442546583850932,0.428139183055976,0.168693009118541,0.190779014308426,0.742088607594937,0.405405405405405,0.913793103448276,0.549167927382753,0.177641653905054,0.192901234567901,0.404984423676012,0.917829457364341,0.883830455259027,0.142410015649452,0.307820299500832,0.867298578199052,0.194620253164557,0.905775075987842,0.134959349593496,0.903908794788274,0.33695652173913,0.561514195583596,0.173312883435583,0.898119122257053,0.441717791411043,0.195046439628483,0.444620253164557,0.888048411497731,0.890282131661442,0.212962962962963,0.893312101910828,0.189189189189189,0.434848484848485,0.879499217527387,0.824261275272162,0.614779874213837,0.887519260400616,0.890769230769231,0.176024279210926,0.439807383627608,0.522012578616352,0.191011235955056,0.175078864353312,0.893682588597843,0.329738058551618,0.440944881889764,0.1616,0.904610492845787,0.408256880733945,0.166402535657686,0.21671826625387,0.901253918495298,0.377329192546584,0.864139020537125,0.821705426356589,0.163551401869159,0.910077519379845,0.740506329113924,0.206896551724138,0.192248062015504,0.144393241167435,0.895800933125972,0.889067524115756,0.175384615384615,0.330670926517572,0.330173775671406,0.900621118012422,0.158878504672897,0.899053627760252,0.888888888888889,0.390648567119155,0.166921898928025,0.318818040435459,0.482035928143713,0.8912,0.359055118110236,0.3376,0.570762052877138,0.807817589576547,0.342146189735614,0.896062992125984,0.160377358490566,0.230647709320695,0.839313572542902,0.877828054298643,0.880551301684533,0.188767550702028,0.173501577287066,0.393700787401575,0.185970636215334,0.575709779179811,0.167692307692308,0.902927580893683,0.906542056074766,0.406645569620253,0.564668769716088,0.903785488958991,0.188180404354588,0.840557275541796,0.419354838709677,0.873634945397816,0.40952380952381,0.162790697674419,0.585443037974684,0.191455696202532,0.878648233486943,0.884676145339652,0.582952815829528,0.205928237129485,0.129952456418384,0.191558441558442,0.339009287925697,0.170542635658915,0.381395348837209,0.40251572327044,0.899529042386185,0.891603053435114,0.200920245398773,0.899686520376176,0.450769230769231,0.229457364341085,0.899529042386185,0.883757961783439,0.22662440570523,0.33652312599681,0.261941448382126,0.909647779479326,0.149162861491629,0.888719512195122,0.1875,0.866043613707165,0.174382716049383,0.902021772939347,0.493769470404984,0.423861852433281,0.177394034536892,0.912908242612753,0.89792663476874,0.177811550151976,0.355095541401274
"4",0.894736842105263,0.932707355242567,0.995207667731629,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0685805422647528,0.0668789808917197,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0144694533762058,0.00158982511923688,0,0,0,0,0.0016025641025641,0.0016,0,0,0,0.90527950310559,0.942766295707472,0.985099337748344,1,0.0274636510500808,0.122186495176849,0.0974025974025974,0.0250783699059561,0.0205371248025276,0.0254372019077901,0.0554675118858954,0.0164744645799012,0.021978021978022,0.0220820189274448,0.0266875981161695,0.0267295597484277,0.0218068535825545,0.0248833592534992,0.0220472440944882,0.0240384615384615,0.026578073089701,0.029126213592233,0.0222929936305732,0.0191082802547771,0.0291734197730956,0.0268562401263823,0.0265625,0.0205371248025276,0.0202808112324493,0.0250391236306729,0.0234009360374415,0.027027027027027,0.0241157556270096,0.0521327014218009,0.0262345679012346,0.0192,0.0246710526315789,0.0193236714975845,0.0212765957446809,0.0213815789473684,0.0191082802547771,0.0224,0.0227272727272727,0.0265625,0.017741935483871,0.0241157556270096,0.0259319286871961,0.0213114754098361,0.0257234726688103,0.8859375,0.307086614173228,0.217806041335453,0.175609756097561,0.15569823434992,0.506514657980456,0.804173354735153,0.77511961722488,0.41786283891547,0.412130637636081,0.161695447409733,0.184168012924071,0.732371794871795,0.39968152866242,0.891373801916933,0.54858934169279,0.180817610062893,0.184126984126984,0.380032206119163,0.896331738437002,0.860248447204969,0.142857142857143,0.305982905982906,0.838499184339315,0.195238095238095,0.8921875,0.128500823723229,0.884552845528455,0.322115384615385,0.557692307692308,0.164556962025316,0.8848,0.41471048513302,0.190402476780186,0.430194805194805,0.8678955453149,0.870340356564019,0.222397476340694,0.86547811993517,0.188498402555911,0.421296296296296,0.851735015772871,0.800955414012739,0.590614886731392,0.860095389507154,0.860979462875197,0.185298621745789,0.41747572815534,0.490228013029316,0.195758564437194,0.180665610142631,0.869905956112853,0.322981366459627,0.4288,0.167471819645733,0.884244372990354,0.391849529780564,0.159235668789809,0.215748031496063,0.878357030015798,0.356913183279743,0.834683954619125,0.810289389067524,0.162939297124601,0.89171974522293,0.715421303656598,0.203174603174603,0.188976377952756,0.139751552795031,0.86984126984127,0.862012987012987,0.180817610062893,0.3344,0.319870759289176,0.872408293460925,0.162790697674419,0.867741935483871,0.862903225806452,0.383647798742138,0.18167701863354,0.308426073131955,0.465648854961832,0.871335504885994,0.340356564019449,0.344155844155844,0.570977917981073,0.781818181818182,0.348171701112878,0.873397435897436,0.147435897435897,0.229299363057325,0.819488817891374,0.858461538461538,0.856025039123631,0.19175911251981,0.176656151419558,0.385350318471338,0.183908045977011,0.559870550161812,0.177570093457944,0.8832,0.879746835443038,0.399022801302932,0.55609756097561,0.871473354231975,0.190095846645367,0.820349761526232,0.40527950310559,0.841091492776886,0.401652892561983,0.1552,0.57487922705314,0.200320512820513,0.8515625,0.86053882725832,0.566718995290424,0.211446740858506,0.142630744849445,0.170529801324503,0.333333333333333,0.151181102362205,0.379095163806552,0.402866242038217,0.880191693290735,0.862284820031299,0.183673469387755,0.877813504823151,0.442040185471406,0.222222222222222,0.868462757527734,0.855263157894737,0.215686274509804,0.32843137254902,0.255054432348367,0.888024883359253,0.162754303599374,0.859784283513097,0.191222570532915,0.84219001610306,0.166666666666667,0.882539682539683,0.463768115942029,0.410714285714286,0.170347003154574,0.889580093312597,0.868852459016393,0.184496124031008,0.336038961038961
"5",0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.699523052464229,0.66510172143975,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9648,1,1,1,1,1,1,1,1,1,1,0,0,0,0.00160513643659711,0,0.13322632423756,0.0914826498422713,0.00154559505409583,0,0,0.0630914826498423,0,0,0,0,0,0,0,0,0,0.00163398692810458,0,0,0,0.0208667736757624,0,0,0,0,0,0,0.00632911392405063,0,0.0560747663551402,0,0,0.00490998363338789,0,0,0,0,0,0,0,0,0.0032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00156494522691706,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00158730158730159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6",0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.693623639191291,0.6625,1,1,1,1,1,1,1,1,1,1,1,1,1,0.966074313408724,0.998415213946117,1,1,1,1,0.998417721518987,0.998402555910543,1,1,1,0,0,0,0.00317460317460317,0,0.143533123028391,0.104851330203443,0.0015220700152207,0,0,0.0725552050473186,0,0,0,0,0,0,0,0,0,0.00164203612479475,0,0,0,0.0254372019077901,0,0,0,0,0,0,0.0062992125984252,0,0.0639625585023401,0,0,0.00483091787439614,0,0,0,0,0,0,0,0,0.00313971742543171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00160771704180064,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0015552099533437,0,0,0,0,0,0,0,0,0,0,0,0,0.00158730158730159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7",0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.691082802547771,0.660771704180064,1,1,1,1,1,1,1,1,1,1,1,1,1,0.964686998394864,0.998387096774194,1,1,1,1,0.998392282958199,0.998417721518987,1,1,1,0,0,0,0.00164473684210526,0,0.129084967320261,0.0948553054662379,0.0015748031496063,0,0,0.063391442155309,0,0,0,0,0,0,0,0,0,0.00166112956810631,0,0,0,0.0196078431372549,0,0,0,0,0,0,0.00476190476190476,0,0.0554675118858954,0,0,0.0050251256281407,0,0,0,0,0,0,0,0,0.00324675324675325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8",0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.703875968992248,0.678071539657854,1,1,1,1,1,1,1,1,1,1,1,1,1,0.963607594936709,0.998407643312102,1,1,1,1,0.998432601880878,0.998439937597504,1,1,1,0,0,0,0.0032258064516129,0,0.147151898734177,0.1109375,0.00151515151515152,0,0,0.0744186046511628,0,0,0,0,0,0,0,0,0,0.00164473684210526,0,0,0,0.0275974025974026,0,0,0,0,0,0,0.00477707006369427,0,0.0688575899843505,0,0,0.00488599348534202,0,0,0,0,0,0,0,0,0.00313971742543171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00154559505409583,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00159744408945687,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9",0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.71141975308642,0.672839506172839,1,1,1,1,1,1,1,1,1,1,1,1,1,0.967238689547582,0.998439937597504,1,1,1,1,0.998447204968944,0.998439937597504,1,1,1,0,0,0,0.00317460317460317,0,0.140600315955766,0.102685624012638,0.00149925037481259,0,0,0.0738461538461539,0,0,0,0,0,0,0,0,0,0.00162866449511401,0,0,0,0.0283018867924528,0,0,0,0,0,0,0.00474683544303797,0,0.0637329286798179,0,0,0.00326797385620915,0,0,0,0,0,0,0,0,0.00154320987654321,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00158982511923688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00155038759689922,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0015220700152207,0,0,0,0,0,0,0,0,0,0,0,0,0.00313479623824451,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10",0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.717156105100464,0.679938744257274,1,1,1,1,1,1,1,1,1,1,1,1,1,0.962962962962963,1,1,1,1,1,1,1,1,1,1,0,0,0,0.00317460317460317,0,0.143974960876369,0.107142857142857,0.00152439024390244,0,0,0.0720858895705521,0,0,0,0,0,0,0,0,0,0.00160771704180064,0,0,0,0.0237717908082409,0,0,0,0,0,0,0.00619195046439629,0,0.0652173913043478,0,0,0.00483870967741936,0,0,0,0,0,0,0,0,0.00314465408805031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00160771704180064,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00154798761609907,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00151515151515152,0,0,0,0,0,0,0,0,0,0,0,0,0.00309119010819165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
