cell_line	sample_id	cell_tech_id	cell_line_display	degree	betweenness	component	community_louv	community_leid	mean_edge_sim	max_edge_sim	is_outlier
CAL_120	NG-29643_CAL_120_lib581301_8005_3	CAL_120	CAL_120	7	31	2	3	1	0.6943436615783574	0.8226319135410044	FALSE
MFM_223	NG-29643_MFM_223_lib581297_7997_4	MFM_223	MFM_223	4	3	1	2	10	0.6510982362757939	0.7567745627285509	FALSE
MDA_MB_453	NG-29643_MDA_MB_453_lib581289_7997_4	MDA_MB_453	MDA_MB_453	4	12	1	2	11	0.6168087865328273	0.6705726078087196	FALSE
EFM_192B	NG-29643_EFM_192B_lib581293_7997_4	EFM_192B	EFM_192B	3	30	1	1	12	0.6799320506936161	0.7836519058992918	FALSE
EFM_192A	NG-29643_EFM_192A_lib581292_7997_4	EFM_192A	EFM_192A	3	12	1	1	13	0.653331044104021	0.7836519058992918	FALSE
CAL_148	NG-29643_CAL_148_lib581302_7997_4	CAL_148	CAL_148	3	0	1	2	14	0.6084594962964416	0.6486887418024647	FALSE
HCC_1599	NG-29643_HCC_1599_lib581304_7997_4	HCC_1599	HCC_1599	2	9	2	4	15	0.6587155963302752	0.6966360856269113	FALSE
T_47D	NG-29643_T_47D_lib581309_8005_3	T_47D	T_47D	2	0	1	1	16	0.6472735193655434	0.7230985419129273	FALSE
CAL_85_1	NG-29643_CAL_85_1_lib581300_7997_4	CAL_85_1	CAL_85_1	2	9	2	5	17	0.6355638631760883	0.7004364089775561	FALSE
SK_BR_3	NG-29643_SK_BR_3_lib581307_7997_4	SK_BR_3	SK_BR_3	2	0	1	1	18	0.6284134324274584	0.6622154462500194	FALSE
EFM_19	NG-29643_EFM_19_lib581291_7997_4	EFM_19	EFM_19	2	0	1	1	19	0.624297725652793	0.6771469544874262	FALSE
ETCC_006	NG-29643_ETCC_006_lib581311_8005_3	ETCC_006	ETCC_006	5	0	2	3	2	0.8546423496413631	0.961015218943583	FALSE
HCC_1143	NG-29643_HCC_1143_lib581306_7997_4	HCC_1143	HCC_1143	2	16	2	4	20	0.5881925816019047	0.6207951070336392	FALSE
MCF_7	NG-29643_MCF_7_lib581315_7997_4	MCF_7	MCF_7	1	0	1	2	21	0.8560248279054872	0.8560248279054872	FALSE
HDQ_P1	NG-29643_HDQ_P1_lib581303_8005_3	HDQ_P1	HDQ_P1	1	0	2	5	22	0.7004364089775561	0.7004364089775561	FALSE
COLO_824	NG-29643_COLO_824_lib581290_7997_4	COLO_824	COLO_824	1	0	2	4	23	0.6966360856269113	0.6966360856269113	FALSE
EVSA_T	NG-29643_EVSA_T_lib581299_7997_4	EVSA_T	EVSA_T	1	0	1	2	24	0.6705726078087196	0.6705726078087196	FALSE
HCC_1937	NG-29643_HCC_1937_lib581305_7997_4	HCC_1937	HCC_1937	1	0	3	6	25	0.6650505283560414	0.6650505283560414	FALSE
MDA_MB_468	NG-30919_MDA_MB_468_B_lib628474_10098_2	MDA_MB_468	MDA_MB_468	1	0	3	6	26	0.6650505283560414	0.6650505283560414	FALSE
IPH_926	NG-29643_IPH_926_lib581313_7997_4	IPH_926	IPH_926	1	0	1	1	27	0.5817298078078739	0.5817298078078739	FALSE
ETCC_007	NG-29643_ETCC_007_lib581312_7997_4	ETCC_007	ETCC_007	5	0	2	3	3	0.8468741456267164	0.9605848696757787	FALSE
HS_578T	NG-30919_HS_578T_B_lib628473_10098_2	HS_578T	HS_578T	5	0	2	3	4	0.8442875502261534	0.961015218943583	FALSE
CAL_51	NG-29643_CAL_51_lib581295_7997_4	CAL_51	CAL_51	5	0	2	3	5	0.734996857786844	0.8067331670822943	FALSE
MDA_MB_231	NG-29643_MDA_MB_231_lib581314_8005_3	MDA_MB_231	MDA_MB_231	5	0	2	3	6	0.6840285610991157	0.743801652892562	FALSE
EFM_192C	NG-29643_EFM_192C_lib581294_7997_4	EFM_192C	EFM_192C	5	50	1	1	7	0.6490965904994093	0.7230985419129273	FALSE
BT_474	NG-29643_BT_474_lib581288_7997_4	BT_474	BT_474	5	27.5	1	2	8	0.6392874353349296	0.7567745627285509	FALSE
KPL_1	NG-29643_KPL_1_lib581296_7997_4	KPL_1	KPL_1	4	15.5	1	2	9	0.6730223060402981	0.8560248279054872	FALSE
DU_4475	NG-29643_DU_4475_lib581298_7997_4	DU_4475	DU_4475	0	0	4	7	28	NA	NA	TRUE
JIMT_1	NG-29643_JIMT_1_B_lib581287_7997_4	JIMT_1	JIMT_1	0	0	5	8	29	NA	NA	TRUE
