community_leiden	n_members	members	mean_degree	mean_mean_edge_sim
1	1	CAL_120	7	0.6943436615783574
10	1	MFM_223	4	0.6510982362757939
11	1	MDA_MB_453	4	0.6168087865328273
12	1	EFM_192B	3	0.6799320506936161
13	1	EFM_192A	3	0.653331044104021
14	1	CAL_148	3	0.6084594962964416
15	1	HCC_1599	2	0.6587155963302752
16	1	T_47D	2	0.6472735193655434
17	1	CAL_85_1	2	0.6355638631760883
18	1	SK_BR_3	2	0.6284134324274584
19	1	EFM_19	2	0.624297725652793
2	1	ETCC_006	5	0.8546423496413631
20	1	HCC_1143	2	0.5881925816019047
21	1	MCF_7	1	0.8560248279054872
22	1	HDQ_P1	1	0.7004364089775561
23	1	COLO_824	1	0.6966360856269113
24	1	EVSA_T	1	0.6705726078087196
25	1	HCC_1937	1	0.6650505283560414
26	1	MDA_MB_468	1	0.6650505283560414
27	1	IPH_926	1	0.5817298078078739
28	1	DU_4475	0	NA
29	1	JIMT_1	0	NA
3	1	ETCC_007	5	0.8468741456267164
4	1	HS_578T	5	0.8442875502261534
5	1	CAL_51	5	0.734996857786844
6	1	MDA_MB_231	5	0.6840285610991157
7	1	EFM_192C	5	0.6490965904994093
8	1	BT_474	5	0.6392874353349296
9	1	KPL_1	4	0.6730223060402981
