community_leiden	n_members	members	mean_degree	mean_mean_edge_sim
1	1	EFM_192C	8	0.548431528014963
10	1	IPH_926	4	0.551435309425063
11	1	CAL_51	4	0.5344104210068751
12	1	MDA_MB_468	3	0.6451038239028998
13	1	MFM_223	3	0.5968257840665745
14	1	EFM_192A	3	0.5581357573331909
15	1	T_47D	3	0.5434252256647962
16	1	HCC_1937	2	0.6865945694105436
17	1	HS_578T	2	0.6345976410748919
18	1	JIMT_1	2	0.5556457460519233
19	1	EFM_19	2	0.5434252256647963
2	1	HDQ_P1	7	0.548859111455747
20	1	MDA_MB_231	2	0.5431259907133079
21	1	MDA_MB_453	2	0.5193949743839961
22	1	EVSA_T	2	0.5033748068634626
23	1	EFM_192B	1	0.5074559830673127
24	1	CAL_148	0	NA
25	1	COLO_824	0	NA
26	1	DU_4475	0	NA
27	1	HCC_1143	0	NA
28	1	HCC_1599	0	NA
29	1	SK_BR_3	0	NA
3	1	ETCC_007	5	0.5984902079500902
4	1	MCF_7	5	0.5914857282263967
5	1	BT_474	5	0.5866796779702367
6	1	CAL_120	5	0.5836667233598103
7	1	KPL_1	4	0.6395462307879971
8	1	ETCC_006	4	0.6171695189460202
9	1	CAL_85_1	4	0.6157168434325044
