Sample	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	>10	>50	>100	>500	>1k	>5k	>10k+
SRR17010968_1										22.10046276748228	5.582258455021232	8.700988926110194	2.4109051498964185	2.9493674396622196	0.293794082563247	0.9530291290265287
SRR17010968_2										19.550207730612016	4.591146927367664	7.533476674746563	1.7741187280723658	1.8177844958230838	0.5344290244536297	0.7424192511271948
SRR17010969_1										24.38198703166085	5.591453079627822	8.74167391524045	2.342156156973864	2.4966910330691015	0.3014624130979501	2.132867581752356
SRR17010969_2										22.417950603997696	5.078221371045012	7.858745069983976	1.5274295795902715	1.5846156468470312	0.9767067417617206	1.946051711603064
SRR17010970_1										23.464081145236463	5.548659620641293	9.193979726792021	2.808337262276759	3.9420728229490867	0.6190720867411477	3.408514536026514
SRR17010970_2										20.771692808068547	4.8421910545808835	8.285094536227769	2.2272422761652635	2.778676971686474	0.7679794707411596	3.302756439776118
SRR17010971_1										25.652535234408603	6.589992494699903	9.828506201131178	2.6226231103762876	3.2058457351343557	0.5082920758755047	2.1071972293878036
SRR17010971_2										24.18647927629276	5.476939621053334	8.157404980283623	2.1119149466426124	2.0659293194704347	0.6372557522448793	1.973321827106483
SRR17010972_1										25.183397380110833	6.7438193487731235	10.459554563072734	3.227032756120983	3.9980626883973214	0.5634158861979475	0.9269701737677253
SRR17010972_2										23.264468326203342	5.548327066090544	8.951251511130339	2.637197080980078	2.6636853155185944	0.48185159510534425	0.7963597486610453
SRR17010973_1										23.594970071845232	7.652797048153418	12.113835782627817	3.6464993402399495	4.683412011960321	1.0511209082266688	3.528567897317568
SRR17010973_2										22.323078945284774	5.7469189515673555	9.41084959346882	2.679420619373495	3.6331124215041317	1.1597065685448837	3.5271502104018526
SRR17010974_1										23.75180690292455	5.891616402797504	8.925537172761864	2.3555666832833944	2.4906863482610353	0.17253771183378283	1.0535002000699851
SRR17010974_2										21.766379103376998	5.0118914460871995	7.590103828704055	1.7900352636829802	1.5933820493745592	0.4371328219144873	0.8961853089771767
SRR17010975_1										21.239854416278853	5.6402146528117845	9.573993049355867	2.987645369712169	4.180683891946547	1.3671590131603586	4.216104359180943
SRR17010975_2										19.308297998645937	4.923745611658116	8.718985342768534	2.501710423942215	3.2384221667610915	1.0032764422076033	4.59883963753177
SRR17010976_1										23.387478843010616	6.011504451564498	9.847039034907363	3.040367104995568	4.232859834317095	0.5281464695520987	1.4589447510680982
SRR17010976_2										21.942012298512918	5.365266028481008	9.098539707998125	2.780303010711208	3.3261263413960385	0.678919069957337	1.1980644490420511
SRR17010977_1										22.749331691385986	5.386777761152893	8.022405895210188	2.3341682283268455	2.9762341555147094	0.429988244688787	1.4474694096864342
SRR17010977_2										20.383262504333736	4.411021587779487	7.1912502864561105	1.8349703407503668	2.0694447415592605	0.8840654861507588	0.9470697863997642
SRR17010978_1										22.404615147334013	6.121219411678426	10.33937999813305	2.7072779920523415	3.0299602299307784	0.3573072407759193	2.1813089008494106
SRR17010978_2										21.19948617670704	5.940758040802989	9.55846510004667	2.0548594200984884	2.0764904641110515	0.6269258576513701	2.1871701079468826
SRR17010979_1										22.019672866885955	7.274574011061789	12.30326676393958	3.869180135519932	6.9660189097078815	2.0279706693470203	5.4013750168016506
SRR17010979_2										21.124667085930835	5.463084740193713	9.086698513457735	3.2415623137040988	5.58279876392427	1.8372090128247742	5.342365344059159
