Sample	CATEGORY	TOTAL_READS	PF_READS	PCT_PF_READS	PF_NOISE_READS	PF_READS_ALIGNED	PCT_PF_READS_ALIGNED	PF_ALIGNED_BASES	PF_HQ_ALIGNED_READS	PF_HQ_ALIGNED_BASES	PF_HQ_ALIGNED_Q20_BASES	PF_HQ_MEDIAN_MISMATCHES	PF_MISMATCH_RATE	PF_HQ_ERROR_RATE	PF_INDEL_RATE	MEAN_READ_LENGTH	SD_READ_LENGTH	MEDIAN_READ_LENGTH	MAD_READ_LENGTH	MIN_READ_LENGTH	MAX_READ_LENGTH	MEAN_ALIGNED_READ_LENGTH	READS_ALIGNED_IN_PAIRS	PCT_READS_ALIGNED_IN_PAIRS	PF_READS_IMPROPER_PAIRS	PCT_PF_READS_IMPROPER_PAIRS	BAD_CYCLES	STRAND_BALANCE	PCT_CHIMERAS	PCT_ADAPTER	PCT_SOFTCLIP	PCT_HARDCLIP	AVG_POS_3PRIME_SOFTCLIP_LENGTH	SAMPLE	LIBRARY	READ_GROUP
SRR17010968	PAIR	45425442.0	45425442.0	1.0	0.0	45425442.0	1.0	6376408015.0	40163954.0	5660425671.0	5452554074.0	0.0	0.002706	0.002611	6.4e-05	141.161816	16.611523	150.0	1.0	35.0	151.0	140.37466	45424850.0	0.999987	592.0	1.3e-05	0.0	0.5	0.00748	0.0	0.005576	0.0	9.309946			
SRR17010969	PAIR	45379902.0	45379902.0	1.0	0.0	45379902.0	1.0	6341258358.0	39868080.0	5587412323.0	5330544156.0	0.0	0.003081	0.003028	5.4e-05	140.565823	16.604413	150.0	1.0	35.0	151.0	139.741012	45376160.0	0.999918	3742.0	8.2e-05	0.0	0.499999	0.007482	0.0	0.005868	0.0	10.46091			
SRR17010970	PAIR	62826758.0	62826758.0	1.0	0.0	62826758.0	1.0	8976684173.0	54347621.0	7785730854.0	7388115167.0	0.0	0.003467	0.003256	5.8e-05	143.762965	13.927988	150.0	1.0	35.0	151.0	142.884576	62825576.0	0.999981	1182.0	1.9e-05	0.0	0.499999	0.00685	0.0	0.00611	0.0	10.416233			
SRR17010971	PAIR	79523810.0	79523810.0	1.0	0.0	79523810.0	1.0	11354075730.0	70735595.0	10122850783.0	9633663093.0	0.0	0.002972	0.002916	5.5e-05	143.583911	14.203323	150.0	1.0	35.0	151.0	142.779786	79522256.0	0.99998	1554.0	2e-05	0.0	0.5	0.007453	0.0	0.0056	0.0	10.327372			
SRR17010972	PAIR	76506274.0	76506274.0	1.0	0.0	76506274.0	1.0	10834961628.0	67376048.0	9569759548.0	9102303850.0	0.0	0.003303	0.003146	5.8e-05	142.46563	15.181464	150.0	1.0	35.0	151.0	141.626229	76500032.0	0.999918	6242.0	8.2e-05	0.0	0.499998	0.007796	0.0	0.005892	0.0	11.325682			
SRR17010973	PAIR	96538706.0	96538706.0	1.0	0.0	96538706.0	1.0	14148798343.0	85032608.0	12483595062.0	11746543561.0	0.0	0.004049	0.003952	5.3e-05	147.614362	10.075357	151.0	0.0	35.0	151.0	146.565333	96536918.0	0.999981	1788.0	1.9e-05	0.0	0.499999	0.011703	0.0	0.007107	0.0	11.744418			
SRR17010974	PAIR	56965573.0	56965573.0	1.0	0.0	56965573.0	1.0	8034616061.0	49506617.0	7006147653.0	6656490414.0	0.0	0.00343	0.003284	6e-05	141.895288	15.639173	150.0	1.0	35.0	151.0	141.047957	56961010.0	0.99992	4563.0	8e-05	0.0	0.499998	0.007292	0.0	0.005972	0.0	11.503828			
SRR17010975	PAIR	58599557.0	58599557.0	1.0	0.0	58599557.0	1.0	8252217471.0	50154736.0	7083681120.0	6820544183.0	0.0	0.00282	0.002703	6.5e-05	141.635452	15.833541	150.0	1.0	35.0	151.0	140.828268	58598832.0	0.999988	725.0	1.2e-05	0.0	0.5	0.005577	0.0	0.005699	0.0	9.59929			
SRR17010976	PAIR	69988042.0	69988042.0	1.0	0.0	69988042.0	1.0	9888692414.0	60938186.0	8636015117.0	8309798315.0	0.0	0.003067	0.002854	7.2e-05	142.188148	15.321001	150.0	1.0	35.0	151.0	141.296969	69987144.0	0.999987	898.0	1.3e-05	0.0	0.5	0.009646	0.0	0.006268	0.0	9.953481			
SRR17010977	PAIR	47825845.0	47825845.0	1.0	0.0	47825845.0	1.0	6720996967.0	42075451.0	5935319336.0	5712637428.0	0.0	0.002718	0.00264	6.2e-05	141.304344	16.43973	150.0	1.0	35.0	151.0	140.534887	47825234.0	0.999987	611.0	1.3e-05	0.0	0.499999	0.00695	0.0	0.005445	0.0	8.788867			
