Sample	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	median_sequence_length	basic_statistics	per_base_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
SRR17010990_2	SRR17010990_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	56318077.0	0.0	35-151	50.0	28.468313060047436	144.13890539977066	151	pass	pass	pass	warn	pass	pass	warn	fail	pass	pass
SRR17010991_1	SRR17010991_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	30652628.0	0.0	35-151	50.0	26.72353570483302	147.58290075487164	151	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
SRR17010991_2	SRR17010991_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	30652628.0	0.0	35-151	51.0	31.31244289999453	147.5153730048856	151	pass	pass	pass	warn	fail	pass	warn	fail	warn	pass
SRR17010992_1	SRR17010992_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	66878076.0	0.0	35-151	50.0	16.289119094855057	143.96480949900533	151	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass
SRR17010992_2	SRR17010992_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	66878076.0	0.0	35-151	50.0	19.77175693971634	143.95682296542142	151	pass	pass	pass	warn	pass	pass	warn	fail	warn	pass
SRR17010993_1	SRR17010993_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	47486549.0	0.0	35-151	50.0	18.464866809343377	143.4048866132597	151	pass	pass	pass	fail	fail	pass	warn	fail	warn	pass
SRR17010993_2	SRR17010993_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	47486549.0	0.0	35-151	50.0	22.41494482479894	143.42164877047603	151	pass	pass	pass	warn	pass	pass	warn	fail	warn	pass
SRR17010994_1	SRR17010994_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	62599263.0	0.0	35-151	48.0	16.094146184349263	145.84966430036084	151	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
SRR17010994_2	SRR17010994_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	62599263.0	0.0	35-151	48.0	20.768875764692694	145.78970418549497	151	pass	pass	pass	warn	pass	pass	warn	fail	warn	pass
SRR17010995_1	SRR17010995_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	47014242.0	0.0	35-151	51.0	18.006548019704926	142.37252941353387	151	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
SRR17010995_2	SRR17010995_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	47014242.0	0.0	35-151	51.0	22.665751352259143	142.57249843568678	151	pass	pass	pass	warn	fail	pass	warn	fail	warn	pass
SRR17010996_1	SRR17010996_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	54256567.0	0.0	35-151	49.0	14.607527291828978	143.7059933039995	151	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
SRR17010996_2	SRR17010996_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	54256567.0	0.0	35-151	50.0	21.509838063872337	143.91086470693952	151	pass	pass	pass	warn	warn	pass	warn	fail	warn	pass
SRR17010997_1	SRR17010997_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	54251450.0	0.0	35-151	50.0	16.18772563298766	144.00299472180006	151	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
SRR17010997_2	SRR17010997_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	54251450.0	0.0	35-151	50.0	20.089799664940127	144.002378627668	151	pass	pass	pass	warn	pass	pass	warn	fail	warn	pass
SRR17010998_1	SRR17010998_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	36601751.0	0.0	35-151	51.0	17.80792825077425	143.18021247125583	151	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
