Sample	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	median_sequence_length	basic_statistics	per_base_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
SRR17011024_2	SRR17011024_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	60700341.0	0.0	35-151	51.0	27.191358152337475	145.33682123795649	151	pass	pass	pass	warn	pass	pass	warn	fail	warn	pass
SRR17011025_1	SRR17011025_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	35097638.0	0.0	35-151	51.0	31.909300174770156	145.66331007801722	151	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
SRR17011025_2	SRR17011025_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	35097638.0	0.0	35-151	51.0	33.715545744882796	145.6362547246057	151	pass	pass	pass	warn	pass	pass	warn	fail	warn	pass
SRR17011026_1	SRR17011026_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	67244816.0	0.0	35-151	53.0	24.674242912363706	145.55795846032206	151	pass	pass	pass	fail	warn	pass	warn	fail	fail	pass
SRR17011026_2	SRR17011026_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	67244816.0	0.0	35-151	53.0	27.357425947319786	145.41857827375125	151	pass	pass	pass	warn	pass	pass	warn	fail	warn	pass
SRR17011027_1	SRR17011027_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	41277105.0	0.0	35-151	50.0	25.175952811223446	146.19606130323336	151	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
SRR17011027_2	SRR17011027_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	41277105.0	0.0	35-151	50.0	26.9344850585188	146.0978079736939	151	pass	pass	pass	warn	fail	pass	warn	fail	warn	pass
SRR17011028_1	SRR17011028_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	70905984.0	0.0	35-151	50.0	24.972744055452413	145.88288772637299	151	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
SRR17011028_2	SRR17011028_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	70905984.0	0.0	35-151	50.0	26.941452610032346	145.8045817966506	151	pass	pass	pass	warn	pass	pass	warn	fail	warn	pass
SRR17011029_1	SRR17011029_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	51734595.0	0.0	35-151	51.0	28.774144815012853	145.12186736940725	151	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
SRR17011029_2	SRR17011029_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	51734595.0	0.0	35-151	51.0	31.07763460632183	145.11315859339385	151	pass	pass	pass	warn	pass	pass	warn	fail	warn	pass
SRR17011030_1	SRR17011030_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	48666516.0	0.0	35-151	51.0	28.194373470159288	145.49189037900308	151	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
SRR17011030_2	SRR17011030_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	48666516.0	0.0	35-151	51.0	29.91441974419703	145.44371452437647	151	pass	pass	pass	warn	pass	pass	warn	fail	warn	pass
SRR17011031_1	SRR17011031_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	72228234.0	0.0	35-151	50.0	25.621630858749413	146.03727875999294	151	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
SRR17011031_2	SRR17011031_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	72228234.0	0.0	35-151	50.0	27.481476735922033	145.9631772666628	151	pass	pass	pass	warn	pass	pass	warn	fail	warn	pass
