Sample	Top over-represented sequence	Sum of remaining over-represented sequences
SRR17010968_1	0.48328242140022154	0.34558827483839044
SRR17010968_2	0.11970718691850146	0.1143837863419776
SRR17010969_1	0.8615422860373096	0.9702406247945097
SRR17010969_2	0.2761163568654207	0.8592678583800343
SRR17010970_1	1.4293753328726309	1.2408917646944861
SRR17010970_2	0.41426740754564517	1.3744743325640278
SRR17010971_1	0.9769724682829165	0.7669443696092829
SRR17010971_2	0.25635350122270706	0.5096870280766993
SRR17010972_1	0.3160341362589051	0.10538404274534685
SRR17010972_2	0.1151896676785462	0.0
SRR17010973_1	1.7894691178321105	0.984907859694627
SRR17010973_2	0.4477480342286989	1.772653264464159
SRR17010974_1	0.6081570069470418	0.29132595040342146
SRR17010974_2	0.14896205220472747	0.0
SRR17010975_1	1.9964796478645974	1.289845936532497
SRR17010975_2	0.4690322245491653	2.1955538013033777
SRR17010976_1	0.7164905433576606	0.3172233721787837
SRR17010976_2	0.1580505406609095	0.0
SRR17010977_1	0.6224697746080199	0.7049408694848325
SRR17010977_2	0.14311125514043396	0.1405438450257204
SRR17010978_1	1.1626448186377112	0.7686850330587875
SRR17010978_2	0.3333957400864157	1.1009681398778013
SRR17010979_1	1.7017816542926703	1.7112331743828095
SRR17010979_2	0.4350583153927151	1.5395397812250593
SRR17010980_1	0.40905827782182413	0.5045574775902926
SRR17010980_2	0.13070862842604328	0.128141581610233
SRR17010981_1	1.4271989177985254	1.3807654331732997
SRR17010981_2	0.38988777172916844	1.7450319151620142
SRR17010982_1	0.8057982566664866	0.6190177711474337
SRR17010982_2	0.13693725230431583	0.13544738414254534
SRR17010983_1	0.35969251918181416	0.3795964530495825
SRR17010983_2	0.1259391246236419	0.12136841901908671
SRR17010984_1	0.6835714359040075	0.5037444679605103
SRR17010984_2	0.1787196661300482	0.11719520912029141
SRR17010985_1	1.7146913371402177	1.1337682995582594
SRR17010985_2	0.4872364853696346	1.9390913661043077
SRR17010986_1	0.6870065472003121	0.5172887435662578
SRR17010986_2	0.21448274329562964	0.1477250503380735
SRR17010987_1	1.4372426054108136	0.9049732328939217
SRR17010987_2	0.28441239324950796	0.7051644357049436
SRR17010988_1	0.5413092975746252	0.48235195511106754
SRR17010988_2	0.15706967055214516	0.11029795314154522
SRR17010989_1	1.2229132951800732	0.7681996251324406
SRR17010989_2	0.3057171241348309	0.8175714604584612
SRR17010990_1	0.6949331739434214	0.2822841412003467
SRR17010990_2	0.0	0.0
SRR17010991_1	2.2043460678151314	1.7574480073943413
SRR17010991_2	0.5984087237153043	2.617821219113741
SRR17010992_1	0.925677048484469	0.6024694849175984
SRR17010992_2	0.18125820485625216	0.2646293233674964
SRR17010993_1	0.9053721718122746	0.7282188478257284
SRR17010993_2	0.23111807935337647	0.7324811074394982
SRR17010994_1	1.883014181812332	1.5195849829733614
SRR17010994_2	0.4555405069225815	2.317830802576701
SRR17010995_1	2.776998935769293	2.0824881107303614
SRR17010995_2	0.39607359829389566	2.6810833193907504
SRR17010996_1	1.2543845614117088	0.6470884897675151
SRR17010996_2	0.2787846861007627	0.6181666451546779
SRR17010997_1	1.2449676460260508	0.8012983984759852
SRR17010997_2	0.2407345794444204	0.946428159984664
SRR17010998_1	1.7487305457053133	1.1491253519537905
SRR17010998_2	0.30380786973825374	1.7186418212615018
SRR17010999_1	1.0316194353848789	2.213635086286833
SRR17010999_2	0.6225851540695733	3.1504904980589696
SRR17011000_1	2.093892740330898	1.4020193170743753
SRR17011000_2	0.41453365510960044	2.4593350340307634
SRR17011001_1	0.6347822829106073	0.6625152443845082
SRR17011001_2	0.15034791687092575	0.14972409651791774
SRR17011002_1	0.5450498330978288	0.515821028305194
SRR17011002_2	0.16385634625909154	0.24996254364785073
SRR17011003_1	0.7932772340079568	0.8207742785871142
SRR17011003_2	0.17677212731654454	0.2759175746348894
SRR17011004_1	0.6532635606069686	0.48207458325020625
SRR17011004_2	0.21569576158650944	0.2744585027501073
SRR17011005_1	0.5943519029674253	0.4015988785669071
SRR17011005_2	0.16919097392403773	0.1341715445540059
SRR17011006_1	1.5790171739922871	0.9803801610031924
SRR17011006_2	0.3873408522944797	0.9436695591737541
SRR17011007_1	0.7720658952127711	0.4065521425962265
