Sample	Picard_mqc-generalstats-picard-TOTAL_READS	Picard_mqc-generalstats-picard-PCT_PF_READS_ALIGNED	Picard_mqc-generalstats-picard-summed_median	Picard_mqc-generalstats-picard-summed_mean	STAR_mqc-generalstats-star-uniquely_mapped_percent	STAR_mqc-generalstats-star-uniquely_mapped	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-median_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
SRR17010968	45425442	1.0	271	885.980723	84.38	20082225.0						
SRR17010968._STARpass1					86.13	20500100.0						
SRR17010968_1							67.32646490458744	50.0	141.16216536104	151	20.0	23800576.0
SRR17010968_2							63.81270286115433	50.0	141.24981865985092	151	10.0	23800576.0
SRR17010969	45379902	1.0	273	892.452479	83.66	19935654.0						
SRR17010969._STARpass1					86.91	20709712.0						
SRR17010969_1							74.03171345457939	50.0	140.69891907196134	151	30.0	23830171.0
SRR17010969_2							70.32304696527768	50.0	140.64514467814772	151	10.0	23830171.0
SRR17010970	62826758	1.0	352	1163.321234	81.24	27174315.0						
SRR17010970._STARpass1					85.38	28557071.0						
SRR17010970_1							73.64336671344208	50.0	143.77446284589828	151	40.0	33447478.0
SRR17010970_2							69.80368346302495	50.0	143.83127567943987	151	10.0	33447478.0
SRR17010971	79523810	1.0	366	1217.631365	84.57	35368478.0						
SRR17010971._STARpass1					87.29	36506017.0						
SRR17010971_1							74.14733776891313	50.0	143.63662293506263	151	30.0	41821547.0
SRR17010971_2							70.44924642544662	50.0	143.64818142666985	151	10.0	41821547.0
SRR17010972	76506274	1.0	280	912.5507120000001	82.82	33690731.0						
SRR17010972._STARpass1					84.33	34306250.0						
SRR17010972_1							73.48412772656756	50.0	142.52166740755797	151	20.0	40680732.0
SRR17010972_2							69.03234442110609	50.0	142.47546000401368	151	10.0	40680732.0
SRR17010973	96538706	1.0	922	2321.01587	83.23	42517055.0						
SRR17010973._STARpass1					87.71	44803450.0						
SRR17010973_1							74.75293706224039	49.0	147.5771907572396	151	40.0	51082748.0
SRR17010973_2							69.89429710642145	50.0	147.52040822079502	151	10.0	51082748.0
SRR17010974	56965573	1.0	268	890.644735	82.29	24755242.0						
SRR17010974._STARpass1					84.08	25295700.0						
SRR17010974_1							70.11805760763426	50.0	141.9991097311902	151	20.0	30084172.0
SRR17010974_2							66.42660124655751	50.0	141.94944800209225	151	10.0	30084172.0
SRR17010975	58599557	1.0	286	951.101779	81.58	25077660.0						
SRR17010975._STARpass1					86.34	26541843.0						
SRR17010975_1							72.140238073298	50.0	141.68248188110974	151	40.0	30741811.0
SRR17010975_2							69.20757326477224	50.0	141.73028960460397	151	10.0	30741811.0
SRR17010976	69988042	1.0	302	984.012551	82.6	30469471.0						
SRR17010976._STARpass1					85.34	31479155.0						
SRR17010976_1							72.10247261336195	51.0	142.19500782255705	151	30.0	36888833.0
SRR17010976_2							69.74469297773041	51.0	142.285883969276	151	10.0	36888833.0
SRR17010977	47825845	1.0	283	958.306852	83.61	21037988.0						
SRR17010977._STARpass1					85.77	21580171.0						
SRR17010977_1							69.74933620567862	50.0	141.34028207252632	151	30.0	25161543.0
SRR17010977_2							66.45009512549035	50.0	141.38347517081922	151	10.0	25161543.0
SRR17010978	43460901	1.0	378	1128.889241	83.24	19001895.0						
SRR17010978._STARpass1					86.95	19849020.0						
SRR17010978_1							72.82232498654022	51.0	142.52718675584438	151	40.0	22828726.0
SRR17010978_2							70.22629446320684	51.0	142.57869414175806	151	10.0	22828726.0
SRR17010979	112532736	1.0	608	1897.601827	80.03	47732312.0						
SRR17010979._STARpass1					83.74	49944003.0						
SRR17010979_1							76.20030833969629	50.0	146.7024465805517	151	40.0	59641200.0
SRR17010979_2							71.29380553590212	50.0	146.65589350985562	151	20.0	59641200.0
SRR17010980	45461387	1.0	260	870.7280870000001	83.15	19726641.0						
SRR17010980._STARpass1					85.07	20181178.0						
SRR17010980_1							69.60080592751906	50.0	141.14552584183645	151	20.0	23723759.0
SRR17010980_2							66.2521605247677	50.0	141.20466301314224	151	10.0	23723759.0
SRR17010981	46278727	1.0	642	1748.20683	82.4	20184779.0						
