Sample	total_reads	avg_input_read_length	uniquely_mapped	uniquely_mapped_percent	avg_mapped_read_length	num_splices	num_annotated_splices	num_GTAG_splices	num_GCAG_splices	num_ATAC_splices	num_noncanonical_splices	mismatch_rate	deletion_rate	deletion_length	insertion_rate	insertion_length	multimapped	multimapped_percent	multimapped_toomany	multimapped_toomany_percent	unmapped_mismatches_percent	unmapped_tooshort_percent	unmapped_other_percent	unmapped_mismatches	unmapped_tooshort	unmapped_other
SRR17010968	23800576.0	282.0	20082225.0	84.38	281.86	27827055.0	27787808.0	27531524.0	222052.0	25741.0	47738.0	0.25	0.01	1.75	0.0	1.37	2630792.0	11.05	93529.0	0.39	0.0	3.28	0.9	0	780004	214026
SRR17010968._STARpass1	23800576.0	282.0	20500100.0	86.13	281.79	27661920.0	27199967.0	27404421.0	195540.0	25543.0	36416.0	0.25	0.01	1.75	0.0	1.45	2256055.0	9.48	136131.0	0.57	0.0	3.24	0.58	0	770382	137908
SRR17010969	23830171.0	281.0	19935654.0	83.66	280.27	28053107.0	28000295.0	27736316.0	215904.0	28758.0	72129.0	0.29	0.01	1.78	0.0	1.53	2756168.0	11.57	79745.0	0.33	0.0	3.7	0.75	0	880188	178416
SRR17010969._STARpass1	23830171.0	281.0	20709712.0	86.91	280.41	27782700.0	27322204.0	27524281.0	175185.0	27329.0	55905.0	0.29	0.01	1.8	0.0	1.58	2030911.0	8.52	104724.0	0.44	0.0	3.69	0.45	0	877778	107046
SRR17010970	33447478.0	287.0	27174315.0	81.24	286.51	38502363.0	38449847.0	38059340.0	311358.0	32971.0	98694.0	0.32	0.01	1.74	0.0	1.6	4239655.0	12.68	183568.0	0.55	0.0	4.38	1.15	0	1465233	384707
SRR17010970._STARpass1	33447478.0	287.0	28557071.0	85.38	286.62	38233330.0	37609262.0	37880706.0	260435.0	32892.0	59297.0	0.33	0.01	1.71	0.0	1.64	2917668.0	8.72	273202.0	0.82	0.0	4.25	0.84	0	1419063	280474
SRR17010971	41821547.0	287.0	35368478.0	84.57	286.21	51066498.0	50996175.0	50465196.0	447449.0	48727.0	105126.0	0.29	0.01	1.71	0.0	1.44	4394204.0	10.51	118372.0	0.28	0.0	3.81	0.83	0	1593379	347114
SRR17010971._STARpass1	41821547.0	287.0	36506017.0	87.29	286.29	50757312.0	49959160.0	50289509.0	341024.0	48005.0	78774.0	0.29	0.01	1.74	0.0	1.51	3360846.0	8.04	183644.0	0.44	0.0	3.78	0.45	0	1582631	188409
SRR17010972	40680732.0	284.0	33690731.0	82.82	284.05	47162696.0	47102173.0	46670991.0	362107.0	48513.0	81085.0	0.3	0.01	1.74	0.0	1.61	4565527.0	11.22	149416.0	0.37	0.0	4.51	1.08	0	1835512	439546
SRR17010972._STARpass1	40680732.0	284.0	34306250.0	84.33	284.08	46891553.0	46099282.0	46457474.0	322592.0	48362.0	63125.0	0.31	0.01	1.74	0.0	1.7	4055493.0	9.97	205796.0	0.51	0.0	4.43	0.76	0	1803747	309446
SRR17010973	51082748.0	294.0	42517055.0	83.23	293.61	65198296.0	65084976.0	64449822.0	502968.0	63729.0	181777.0	0.39	0.01	1.76	0.0	1.84	5753192.0	11.26	152287.0	0.3	0.0	4.21	1.0	0	2149616	510598
SRR17010973._STARpass1	51082748.0	294.0	44803450.0	87.71	293.74	65005062.0	63875630.0	64397409.0	432553.0	54338.0	120762.0	0.39	0.01	1.75	0.0	1.91	3692690.0	7.23	197584.0	0.39	0.0	4.18	0.5	0	2133786	255238
SRR17010974	30084172.0	283.0	24755242.0	82.29	283.02	34592314.0	34540134.0	34215554.0	273065.0	34079.0	69616.0	0.32	0.01	1.81	0.0	1.5	3729826.0	12.4	125485.0	0.42	0.0	3.95	0.95	0	1187917	285702
SRR17010974._STARpass1	30084172.0	283.0	25295700.0	84.08	283.02	34428422.0	33845549.0	34105122.0	238156.0	33675.0	51469.0	0.33	0.01	1.81	0.0	1.6	3254458.0	10.82	166308.0	0.55	0.0	3.91	0.63	0	1177914	189792
SRR17010975	30741811.0	283.0	25077660.0	81.58	282.47	34830172.0	34780244.0	34252782.0	449455.0	30467.0	97468.0	0.26	0.01	1.73	0.0	1.49	4222481.0	13.74	116480.0	0.38	0.0	3.41	0.9	0	1048468	276722
SRR17010975._STARpass1	30741811.0	283.0	26541843.0	86.34	282.71	34377770.0	33863936.0	34061826.0	232097.0	30228.0	53619.0	0.26	0.01	1.71	0.0	1.53	2828619.0	9.2	173312.0	0.56	0.0	3.39	0.51	0	1041371	156666
SRR17010976	36888833.0	284.0	30469471.0	82.6	283.43	43987225.0	43898847.0	43501989.0	331350.0	37840.0	116046.0	0.28	0.01	1.72	0.0	1.67	4524999.0	12.27	172151.0	0.47	0.0	3.45	1.22	0	1272298	449914
SRR17010976._STARpass1	36888833.0	284.0	31479155.0	85.34	283.53	43557901.0	42718472.0	43142945.0	284520.0	37328.0	93108.0	0.29	0.01	1.71	0.0	1.53	3654475.0	9.91	230588.0	0.63	0.0	3.44	0.7	0	1266830	257785
