Sample	TOTAL_READS	PF_READS	READ_LENGTH	TOTAL_BASES	PF_BASES	Q20_BASES	PF_Q20_BASES	Q30_BASES	PF_Q30_BASES	Q20_EQUIVALENT_YIELD	PF_Q20_EQUIVALENT_YIELD
SRR17010968	45425442	45425442	141	6412337889	6412337889	6162031895	6162031895	5871737394	5871737394	10944275388	10944275388
SRR17010969	45379902	45379902	140	6378863271	6378863271	6075664487	6075664487	5855577538	5855577538	10886578523	10886578523
SRR17010970	62826758	62826758	143	9032161036	9032161036	8553227273	8553227273	8159269153	8159269153	15291734552	15291734552
SRR17010971	79523810	79523810	143	11418339670	11418339670	10844273979	10844273979	10363677762	10363677762	19380502521	19380502521
SRR17010972	76506274	76506274	142	10899514492	10899514492	10343853499	10343853499	9944204418	9944204418	18541167330	18541167330
SRR17010973	96538706	96538706	147	14250499473	14250499473	13380901331	13380901331	12691106461	12691106461	23945828137	23945828137
SRR17010974	56965573	56965573	141	8083146377	8083146377	7662701701	7662701701	7362696856	7362696856	13737086877	13737086877
SRR17010975	58599557	58599557	141	8299774760	8299774760	7976279640	7976279640	7600317239	7600317239	14165179062	14165179062
SRR17010976	69988042	69988042	142	9951470108	9951470108	9551316130	9551316130	9091800229	9091800229	16964526239	16964526239
SRR17010977	47825845	47825845	141	6757999643	6757999643	6490840717	6490840717	6183593960	6183593960	11529551473	11529551473
SRR17010978	43460901	43460901	142	6193586303	6193586303	5945473805	5945473805	5659554915	5659554915	10559417163	10559417163
SRR17010979	112532736	112532736	146	16508308110	16508308110	15453092252	15453092252	14631091739	14631091739	27666326190	27666326190
SRR17010980	45461387	45461387	141	6413415694	6413415694	6154328498	6154328498	5857150710	5857150710	10930834308	10930834308
SRR17010981	46278727	46278727	144	6693482638	6693482638	6316372542	6316372542	6013650266	6013650266	11299552566	11299552566
SRR17010982	46349836	46349836	141	6580252113	6580252113	6248760064	6248760064	5973778003	5973778003	11169424709	11169424709
SRR17010983	73085746	73085746	142	10442067555	10442067555	9917766914	9917766914	9536899926	9536899926	17773636987	17773636987
SRR17010984	65527009	65527009	143	9387230437	9387230437	8907763065	8907763065	8560659675	8560659675	15965774238	15965774238
SRR17010985	78592142	78592142	145	11450792427	11450792427	10690484905	10690484905	10117026435	10117026435	19158554947	19158554947
SRR17010986	50472363	50472363	141	7129299485	7129299485	6771989945	6771989945	6516140359	6516140359	12139123549	12139123549
SRR17010987	66585351	66585351	143	9531440552	9531440552	9046663407	9046663407	8696900206	8696900206	16215672546	16215672546
SRR17010988	66160975	66160975	144	9533555968	9533555968	9031483189	9031483189	8617006739	8617006739	16146314466	16146314466
SRR17010989	50529720	50529720	142	7202907939	7202907939	6825438942	6825438942	6554113068	6554113068	12234893879	12234893879
SRR17010990	106789822	106789822	144	15389626046	15389626046	14597481669	14597481669	13933881119	13933881119	26088109677	26088109677
SRR17010991	58017451	58017451	147	8567001321	8567001321	8033024879	8033024879	7609022898	7609022898	14375013253	14375013253
SRR17010992	127511240	127511240	143	18343310186	18343310186	17425340335	17425340335	16325398340	16325398340	30854377183	30854377183
SRR17010993	90138046	90138046	143	12916290851	12916290851	12269987197	12269987197	11502407773	11502407773	21731874065	21731874065
SRR17010994	119659877	119659877	145	17449409627	17449409627	16500257217	16500257217	15402096341	15402096341	29227098331	29227098331
SRR17010995	89470731	89470731	142	12735299198	12735299198	11949022540	11949022540	11124252553	11124252553	21214536495	21214536495
SRR17010996	99977703	99977703	143	14352504199	14352504199	13516513800	13516513800	12609285649	12609285649	23977724061	23977724061
SRR17010997	103279174	103279174	143	14860850284	14860850284	14115374008	14115374008	13226674270	13226674270	24996530939	24996530939
SRR17010998	70020867	70020867	143	10016712975	10016712975	9496307088	9496307088	8891936001	8891936001	16825921349	16825921349
SRR17010999	103855300	103855300	144	15028526018	15028526018	14221359994	14221359994	13279164787	13279164787	25186244203	25186244203
SRR17011000	108058393	108058393	144	15565158857	15565158857	14769444345	14769444345	13822881976	13822881976	26152474606	26152474606
SRR17011001	52957080	52957080	141	7470876648	7470876648	7162915957	7162915957	6815520083	6815520083	12726078156	12726078156
SRR17011002	54911075	54911075	141	7748195647	7748195647	7445725887	7445725887	7097544122	7097544122	13226291517	13226291517
SRR17011003	50370121	50370121	141	7111249953	7111249953	6830912454	6830912454	6507653929	6507653929	12132810585	12132810585
SRR17011004	48568336	48568336	141	6893631978	6893631978	6616003122	6616003122	6298994938	6298994938	11752577266	11752577266
SRR17011005	64011747	64011747	142	9089705396	9089705396	8734404610	8734404610	8319602400	8319602400	15510509158	15510509158
SRR17011006	58713105	58713105	143	8402428380	8402428380	7985626608	7985626608	7678237580	7678237580	14306540002	14306540002
SRR17011007	77254005	77254005	142	10999810705	10999810705	10456808199	10456808199	10060436406	10060436406	18737446227	18737446227
SRR17011008	53464311	53464311	141	7588294933	7588294933	7199752348	7199752348	6920011221	6920011221	12905051244	12905051244
SRR17011009	54796718	54796718	141	7736847984	7736847984	7367788830	7367788830	7097093148	7097093148	13199618350	13199618350
SRR17011010	73588854	73588854	142	10489552553	10489552553	9968416051	9968416051	9589325602	9589325602	17863848393	17863848393
SRR17011011	119426541	119426541	146	17439856450	17439856450	15747986848	15747986848	14795531468	14795531468	28470613611	28470613611
SRR17011012	79803952	79803952	147	11779304338	11779304338	10525268158	10525268158	9845469446	9845469446	19081542507	19081542507
