Sample	SAMPLE_NAME	MEDIAN_INSERT_SIZE	MODE_INSERT_SIZE	MEDIAN_ABSOLUTE_DEVIATION	MIN_INSERT_SIZE	MAX_INSERT_SIZE	MEAN_INSERT_SIZE	STANDARD_DEVIATION	READ_PAIRS	PAIR_ORIENTATION	WIDTH_OF_10_PERCENT	WIDTH_OF_20_PERCENT	WIDTH_OF_30_PERCENT	WIDTH_OF_40_PERCENT	WIDTH_OF_50_PERCENT	WIDTH_OF_60_PERCENT	WIDTH_OF_70_PERCENT	WIDTH_OF_80_PERCENT	WIDTH_OF_90_PERCENT	WIDTH_OF_95_PERCENT	WIDTH_OF_99_PERCENT	SAMPLE	LIBRARY	READ_GROUP
SRR17010991_FR	SRR17010991	1377.0	77800.0	1198.0	24.0	3120076.0	2188.38638	2862.049164	29008191.0	FR	829.0	1597.0	2059.0	2265.0	2397.0	2527.0	5335.0	12803.0	43985.0	152841.0	177227.0			
SRR17010992_FR	SRR17010992	1035.0	133.0	893.0	24.0	2815255.0	1714.521183	2171.35407	63734434.0	FR	619.0	1181.0	1543.0	1701.0	1787.0	1865.0	3909.0	8483.0	22933.0	64705.0	153547.0			
SRR17010993_FR	SRR17010993	820.0	133.0	688.0	24.0	3949640.0	1366.9184	1732.677005	45054236.0	FR	553.0	991.0	1201.0	1309.0	1377.0	1475.0	3603.0	7899.0	21805.0	67609.0	176317.0			
SRR17010994_FR	SRR17010994	1484.0	77802.0	1323.0	23.0	3119896.0	2388.678429	3148.187318	59810361.0	FR	893.0	1731.0	2305.0	2523.0	2647.0	2755.0	5551.0	12951.0	41389.0	152567.0	173793.0			
SRR17010995_FR	SRR17010995	876.0	123.0	749.0	24.0	2752477.0	1403.819344	1854.594708	44720670.0	FR	637.0	1121.0	1335.0	1433.0	1499.0	1623.0	4361.0	10399.0	44335.0	153763.0	153875.0			
SRR17010996_FR	SRR17010996	1087.0	127.0	945.0	23.0	3029686.0	1804.286554	2313.35101	49972018.0	FR	671.0	1267.0	1635.0	1801.0	1891.0	1975.0	4219.0	9239.0	25393.0	75745.0	168295.0			
SRR17010997_FR	SRR17010997	1027.0	133.0	885.0	24.0	3119910.0	1689.598539	2152.865394	51622556.0	FR	621.0	1185.0	1529.0	1687.0	1771.0	1853.0	4027.0	8865.0	24877.0	86257.0	153573.0			
SRR17010998_FR	SRR17010998	954.0	123.0	819.0	30.0	3177969.0	1570.556869	2019.178583	34998934.0	FR	603.0	1129.0	1423.0	1561.0	1639.0	1723.0	4135.0	9245.0	28679.0	153495.0	153713.0			
SRR17010999_FR	SRR17010999	1384.0	77802.0	1226.0	24.0	2943904.0	2179.203822	2828.554991	51910786.0	FR	777.0	1505.0	2069.0	2317.0	2453.0	2553.0	4895.0	11123.0	37917.0	152785.0	266817.0			
SRR17011000_FR	SRR17011000	900.0	134.0	764.0	23.0	3120056.0	1472.305948	1907.15356	54011770.0	FR	607.0	1103.0	1339.0	1457.0	1529.0	1639.0	4255.0	9707.0	32925.0	153693.0	153823.0			
SRR17011001_FR	SRR17011001	562.0	124.0	447.0	27.0	3199057.0	936.415204	1193.402987	26478148.0	FR	453.0	667.0	775.0	841.0	895.0	1379.0	3587.0	7965.0	21799.0	61545.0	159725.0			
SRR17011002_FR	SRR17011002	607.0	124.0	490.0	27.0	3321285.0	1020.048938	1297.490223	27455186.0	FR	491.0	741.0	857.0	927.0	981.0	1367.0	3523.0	7671.0	20571.0	56823.0	167057.0			
