community_leiden	n_members	members	mean_degree	mean_mean_edge_sim
1	1	HCC_1143	7	0.5054671583672227
10	1	EFM_192B	3	0.41713339704679786
11	1	MCF_7	3	0.3682552484642299
12	1	HCC_1599	3	0.3636073997563387
13	1	EFM_192C	3	0.357937946702207
14	1	MDA_MB_231	2	0.698308135349172
15	1	CAL_51	2	0.6273218142548596
16	1	CAL_120	2	0.6095752339812814
17	1	BT_474	2	0.31378605035192464
18	1	KPL_1	2	0.2725548060708263
19	1	COLO_824	1	0.5066204772902232
2	1	HCC_1937	7	0.4887409298225417
20	1	EFM_192A	1	0.4057830675845635
21	1	ETCC_007	1	0.390871304907584
22	1	HS_578T	1	0.390871304907584
23	1	EVSA_T	1	0.3349490415243385
24	1	MDA_MB_453	1	0.3349490415243385
25	1	DU_4475	1	0.27944484544143405
26	1	CAL_148	0	NA
27	1	IPH_926	0	NA
28	1	MFM_223	0	NA
29	1	SK_BR_3	0	NA
3	1	HDQ_P1	7	0.48598620781619933
4	1	CAL_85_1	6	0.5572485866207622
5	1	MDA_MB_468	6	0.4508919566996697
6	1	JIMT_1	6	0.3288994242227143
7	1	ETCC_006	6	0.3273187829565341
8	1	T_47D	5	0.34805889441795923
9	1	EFM_19	3	0.4408875196182669
