cell_tech_id	tumour_id	n_methods	p_consensus	sample_id	cell_line	cell_line_canonical	cell_line_display
CELL:BT_474	TCGA-A2-A0YC-01A-11R-A109-07	2	1	NG-29643_BT_474_lib581288_7997_4	BT_474	BT_474	BT_474
CELL:BT_474	TCGA-A7-A0CD-01A-11R-A00Z-07	2	1	NG-29643_BT_474_lib581288_7997_4	BT_474	BT_474	BT_474
CELL:BT_474	TCGA-A8-A06P-01A-11R-A00Z-07	2	1	NG-29643_BT_474_lib581288_7997_4	BT_474	BT_474	BT_474
CELL:BT_474	TCGA-A8-A083-01A-21R-A00Z-07	2	1	NG-29643_BT_474_lib581288_7997_4	BT_474	BT_474	BT_474
CELL:BT_474	TCGA-A8-A08A-01A-11R-A32Y-07	2	1	NG-29643_BT_474_lib581288_7997_4	BT_474	BT_474	BT_474
CELL:BT_474	TCGA-A8-A093-01A-11R-A00Z-07	2	1	NG-29643_BT_474_lib581288_7997_4	BT_474	BT_474	BT_474
CELL:BT_474	TCGA-A8-A099-01A-11R-A00Z-07	2	1	NG-29643_BT_474_lib581288_7997_4	BT_474	BT_474	BT_474
CELL:BT_474	TCGA-A8-A09B-01A-11R-A00Z-07	2	1	NG-29643_BT_474_lib581288_7997_4	BT_474	BT_474	BT_474
CELL:BT_474	TCGA-A8-A09C-01A-11R-A00Z-07	2	1	NG-29643_BT_474_lib581288_7997_4	BT_474	BT_474	BT_474
CELL:BT_474	TCGA-A8-A09T-01A-11R-A00Z-07	2	1	NG-29643_BT_474_lib581288_7997_4	BT_474	BT_474	BT_474
CELL:BT_474	TCGA-A8-A09V-01A-11R-A034-07	2	1	NG-29643_BT_474_lib581288_7997_4	BT_474	BT_474	BT_474
CELL:BT_474	TCGA-A8-A0AD-01A-11R-A056-07	2	1	NG-29643_BT_474_lib581288_7997_4	BT_474	BT_474	BT_474
CELL:BT_474	TCGA-AC-A4ZE-01A-11R-A41B-07	2	1	NG-29643_BT_474_lib581288_7997_4	BT_474	BT_474	BT_474
CELL:BT_474	TCGA-AN-A0XP-01A-11R-A109-07	2	1	NG-29643_BT_474_lib581288_7997_4	BT_474	BT_474	BT_474
CELL:BT_474	TCGA-AO-A0J8-01A-21R-A034-07	2	1	NG-29643_BT_474_lib581288_7997_4	BT_474	BT_474	BT_474
CELL:BT_474	TCGA-AR-A0TZ-01A-12R-A084-07	2	1	NG-29643_BT_474_lib581288_7997_4	BT_474	BT_474	BT_474
CELL:BT_474	TCGA-AR-A2LL-01A-11R-A180-07	2	1	NG-29643_BT_474_lib581288_7997_4	BT_474	BT_474	BT_474
CELL:BT_474	TCGA-B6-A0RN-01A-12R-A084-07	2	1	NG-29643_BT_474_lib581288_7997_4	BT_474	BT_474	BT_474
CELL:BT_474	TCGA-B6-A0RP-01A-21R-A084-07	2	1	NG-29643_BT_474_lib581288_7997_4	BT_474	BT_474	BT_474
CELL:BT_474	TCGA-B6-A0WZ-01A-11R-A109-07	2	1	NG-29643_BT_474_lib581288_7997_4	BT_474	BT_474	BT_474
CELL:BT_474	TCGA-BH-A0DS-01A-11R-A056-07	2	1	NG-29643_BT_474_lib581288_7997_4	BT_474	BT_474	BT_474
CELL:BT_474	TCGA-BH-A0E7-01A-11R-A034-07	2	1	NG-29643_BT_474_lib581288_7997_4	BT_474	BT_474	BT_474
