GSM2672002	ATRX wild-type metastatic neuroblastoma_LAN6_nChIP_Input
GSM2672003	ATRX wild-type metastatic neuroblastoma_LAN6_H3K27me3
GSM2672004	ATRX wild-type metastatic neuroblastoma_LAN6_H3K9me3
GSM2672005	ATRX wild-type metastatic neuroblastoma_LAN6_H3K9ac
GSM2672006	ATRX wild-type metastatic neuroblastoma_LAN6_RNA-seq_r1
GSM2672007	ATRX wild-type metastatic neuroblastoma_SKNFI_nChIP_Input
GSM2672008	ATRX wild-type metastatic neuroblastoma_SKNFI_H3K27me3
GSM2672009	ATRX wild-type metastatic neuroblastoma_SKNFI_H3K9me3
GSM2672010	ATRX wild-type metastatic neuroblastoma_SKNFI_H3K9ac
GSM2672011	ATRX wild-type metastatic neuroblastoma_SKNFI_RNA-seq_r1
GSM2672012	ATRX in-frame fusion metastatic neuroblastoma_SKNMM_nChIP_Input
GSM2672013	ATRX in-frame fusion metastatic neuroblastoma_SKNMM_H3K27me3
GSM2672014	ATRX in-frame fusion metastatic neuroblastoma_SKNMM_H3K9me3
GSM2672015	ATRX in-frame fusion metastatic neuroblastoma_SKNMM_H3K9ac
GSM2672016	ATRX in-frame fusion metastatic neuroblastoma_SKNMM_RNA-seq_r1
GSM2672017	ATRX in-frame fusion metastatic neuroblastoma_CHLA90_nChIP_Input
GSM2672018	ATRX in-frame fusion metastatic neuroblastoma_CHLA90_H3K27me3
GSM2672019	ATRX in-frame fusion metastatic neuroblastoma_CHLA90_H3K9me3
GSM2672020	ATRX in-frame fusion metastatic neuroblastoma_CHLA90_H3K9ac
GSM2672021	ATRX in-frame fusion metastatic neuroblastoma_CHLA90_RNA-seq_r1
GSM2672022	ATRX wild-type metastatic neuroblastoma_SKNFI_EPZ_DMSO_R1
GSM2672023	ATRX wild-type metastatic neuroblastoma_SKNFI_EPZ_D4_R1
GSM2672024	ATRX wild-type metastatic neuroblastoma_SKNFI_EPZ_D7_R1
GSM2672025	ATRX in-frame fusion metastatic neuroblastoma_SKNMM_EPZ_DMSO_R1
GSM2672026	ATRX in-frame fusion metastatic neuroblastoma_SKNMM_EPZ_D4_R1
GSM2672027	ATRX in-frame fusion metastatic neuroblastoma_SKNMM_EPZ_D7_R1
GSM2672028	ATRX in-frame fusion metastatic neuroblastoma_CHLA90_EPZ_DMSO_R1
GSM2672029	ATRX in-frame fusion metastatic neuroblastoma_CHLA90_EPZ_D4_R1
GSM2672030	ATRX in-frame fusion metastatic neuroblastoma_CHLA90_EPZ_D7_R1
GSM2672031	ATRX in-frame fusion neuroblastoma_SJNBL030014_XL_Input
GSM2672032	ATRX in-frame fusion neuroblastoma_SJNBL030014_H3K27me3
GSM2672033	ATRX in-frame fusion neuroblastoma_SJNBL030014_RNA-seq_r1
GSM3389344	SKNFI ATRX wild-type metastatic neuroblastoma Input XL
GSM3389345	SKNFI ATRX wild-type metastatic neuroblastoma ChIP-seq ATRX
GSM3389346	SKNMM ATRX in-frame fusion metastatic neuroblastoma Input XL
GSM3389347	SKNMM ATRX in-frame fusion metastatic neuroblastoma ChIP-seq ATRX
GSM3389348	SKNMM ATRX in-frame fusion metastatic neuroblastoma ChIP-seq REST
GSM3389349	CHLA90 ATRX in-frame fusion metastatic neuroblastoma Input XL
GSM3389350	CHLA90 ATRX in-frame fusion metastatic neuroblastoma ChIP-seq ATRX
GSM3389351	CHLA90 ATRX in-frame fusion metastatic neuroblastoma ChIP-seq REST
GSM3389352	ATRX in-frame fusion neuroblastoma. Patient SJNBL047443 Input XL
GSM3389353	ATRX in-frame fusion neuroblastoma. Patient SJNBL047443 ChIP-seq H3K27me3
GSM3389354	ATRX wild-type neuroblastoma, patient MSK1129 RNA-seq
GSM3389355	ATRX wild-type neuroblastoma, patient MSK1894 RNA-seq
GSM3389356	ATRX wild-type neuroblastoma, patient MSK3263 RNA-seq
GSM3389357	ATRX wild-type neuroblastoma, patient MSK3597 RNA-seq
GSM3389358	ATRX wild-type neuroblastoma, patient MSK4438 RNA-seq
GSM3389359	MYCN Amplifed neuroblastoma, patient MSK2536 RNA-seq
GSM3389360	MYCN Amplifed neuroblastoma, patient MSK3071 RNA-seq
GSM3389361	MYCN Amplifed neuroblastoma, patient MSK3261 RNA-seq
GSM3389362	MYCN Amplifed neuroblastoma, patient MSK3820 RNA-seq
GSM3389363	MYCN Amplifed neuroblastoma, patient MSK4230 RNA-seq
GSM3389364	ATRX in-frame fusion neuroblastoma, patient MSK832 RNA-seq
GSM3389365	ATRX Mutant neuroblastoma, patient MSK2140 RNA-seq
GSM3389366	ATRX Mutant neuroblastoma, patient MSK3374 RNA-seq
GSM3389367	ATRX in-frame fusion neuroblastoma, patient MSK4297 RNA-seq
GSM3389368	ATRX in-frame fusion neuroblastoma, patient MSK4343 RNA-seq
GSM4106765	SK-N-FI-MS2-NLS_1
GSM4106766	SK-N-FI-MS2-NLS_2
GSM4106767	SK-N-FI-MS2-NLS-ATRX-helicase_1
GSM4106768	SK-N-FI-MS2-NLS-ATRX-helicase_2
GSM4106769	CHLA-90_control_1
GSM4106770	CHLA-90_control_2
GSM4106771	CHLA-90_shREST_1
GSM4106772	CHLA-90_shREST_2
